小时序号,时段,全市工作日负荷_kWh,全市周末负荷_kWh,全市综合典型日负荷_kWh
0,00-01,941,1214,1019
1,01-02,434,670,501.4285714
2,02-03,346,299,332.5714286
3,03-04,190,137,174.8571429
4,04-05,263,21,193.8571429
5,05-06,1698,1298,1583.714286
6,06-07,3402,2612,3176.285714
7,07-08,6256,4237,5679.142857
8,08-09,5670,5818,5712.285714
9,09-10,5606,7585,6171.428571
10,10-11,6041,9409,7003.285714
11,11-12,8248,10512,8894.857143
12,12-13,9560,11597,10142
13,13-14,7436,11774,8675.428571
14,14-15,7003,11917,8407
15,15-16,6797,10647,7897
16,16-17,10514,9316,10171.71429
17,17-18,14247,8173,12511.57143
18,18-19,13629,7321,11826.71429
19,19-20,11912,6078,10245.14286
20,20-21,8783,4882,7668.428571
21,21-22,5497,3674,4976.142857
22,22-23,3719,2598,3398.714286
23,23-00,1729,1433,1644.428571
