区域,工作日全天负荷_kWh,周末全天负荷_kWh,综合日均负荷_kWh,全市占比_raw,全市占比_pct,综合日均负荷排名
1,19206,14580,17884.28571,0.1295896999,12.95896999,2
2,17767,13348,16504.42857,0.1195912423,11.95912423,4
3,13486,11183,12828,0.09295180679,9.295180679,7
4,19888,15711,18694.57143,0.1354610377,13.54610377,1
5,13465,19105,15076.42857,0.109243941,10.9243941,5
6,18376,13350,16940,0.1227473969,12.27473969,3
7,7038,7864,7274,0.05270747136,5.270747136,10
8,9524,5775,8452.857143,0.06124948113,6.124948113,9
9,11642,23241,14956,0.1083713145,10.83713145,6
10,9529,9065,9396.428571,0.06808660844,6.808660844,8
