区域,日期类型,调度前峰值_kW,峰值时段,调度前谷值_kW,谷值时段,调度前峰谷差_kW_x,调度前方差_x,调度前最大负荷率_raw,调度前最大负荷率_pct,调度前峰谷差_kW_y,调度后峰谷差_kW,峰谷差改善率_raw,峰谷差改善率_pct,调度前最大负荷_kW,调度后最大负荷_kW,最大负荷削减率_raw,最大负荷削减率_pct,调度前方差_y,调度后方差,方差改善率_raw,方差改善率_pct,调度后最大负荷率_raw,调度后最大负荷率_pct,最小安全裕度_kW,2100kW风险小时数,第二阶段求解器,第二阶段状态,是否补算,z_00_01_kW,z_01_02_kW,z_02_03_kW,z_03_04_kW,z_04_05_kW,z_05_06_kW,z_06_07_kW
1,工作日,2221,17,19,03,2202,371711.8542,0.4398890869,43.98890869,2202,1521.8,0.3089009991,30.89009991,2221,1776.8,0.2,20.0,371711.8542,136030.5846,0.6340429203,63.40429203,0.3519112696,35.19112696,1495.89155,0,SLSQP,,False,394.1084502,446.1145342,450.1131377,502.1131377,497.1120676,334.1246488,22.11402373
1,周末,1304,14,2,04,1302,165237.9167,0.3247820672,32.47820672,1302,1068.0,0.1797235023,17.97235023,1304,1304.0,0.0,0.0,165237.9167,82518.10429,0.5006103566,50.06103566,0.3247820672,32.47820672,1656.85872,0,SLSQP,,False,171.1412804,231.1501331,303.1412804,293.1412804,358.1412804,237.1412804,69.14346478
2,工作日,2078,17,15,03,2063,319456.0399,0.4241681976,42.41681976,2063,1465.4,0.2896752302,28.96752302,2078,1662.4,0.2,20.0,319456.0399,118952.5652,0.6276402688,62.76402688,0.3393345581,33.93345581,1325.171251,0,SLSQP,,False,351.8287485,418.8310218,472.8307858,475.8287485,427.8263638,245.8300638,51.82426772
2,周末,1280,14,3,03,1277,159596.3889,0.3311772316,33.11772316,1277,1095.0,0.1425215348,14.25215348,1280,1280.0,0.0,0.0,159596.3889,83938.01317,0.4740606992,47.40606992,0.3311772316,33.11772316,1506.142858,0,CVXPY/CLARABEL,optimal,True,183.8571424,244.8571423,245.8571423,306.8571423,300.8571423,194.8571424,63.85714588
3,工作日,1534,17,13,01;04,1521,192525.0764,0.3336958886,33.36958886,1521,1094.2,0.2806048652,28.06048652,1534,1227.2,0.2,20.0,192525.0764,70381.50306,0.6344294241,63.44294241,0.2669567109,26.69567109,1268.000663,0,SLSQP,,False,286.9993372,338.0001823,331.9994616,335.9995436,338.0015114,224.9998802,41.00008373
3,周末,1159,14,2,02,1157,131680.9566,0.3247408238,32.47408238,1157,1042.0,0.09939498704,9.939498704,1159,1159.0,0.0,0.0,131680.9566,73262.28041,0.4436379998,44.36379998,0.3247408238,32.47408238,1370.686534,0,SLSQP,,False,126.3134658,179.3142364,246.3154871,244.3154719,239.3140928,195.3121813,78.31506474
4,工作日,1985,17,16,04,1969,316140.4722,0.3546542791,35.46542791,1969,1280.0,0.3499238192,34.99238192,1985,1588.0,0.2,20.0,316140.4722,102825.2565,0.6747482036,67.47482036,0.2837234233,28.37234233,1651.6551,0,SLSQP,,False,377.3448997,431.3420696,493.3448997,505.3448997,550.3448997,259.3364834,17.34184821
4,周末,1396,14,1,04,1395,180167.8177,0.305738064,30.5738064,1395,1090.0,0.2186379928,21.86379928,1396,1396.0,0.0,0.0,180167.8177,87012.05866,0.5170499384,51.70499384,0.305738064,30.5738064,1826.545502,0,SLSQP,,False,209.4544984,275.4564743,335.4611949,328.4613041,390.4551748,206.4553927,34.45596084
5,工作日,1514,18,8,02,1506,182408.0399,0.3967505241,39.67505241,1506,1021.2,0.3219123506,32.19123506,1514,1211.2,0.2,20.0,182408.0399,73248.62755,0.5984353125,59.84353125,0.3174004193,31.74004193,1189.742857,0,CVXPY/CLARABEL,optimal,True,255.2571427,318.2571427,319.2571427,313.2571427,313.2571427,202.2571428,84.25714388
5,周末,1808,12,0,02;03;04,1808,384096.3733,0.5258132956,52.58132956,1808,1440.0,0.203539823,20.3539823,1808,1616.0,0.1061946903,10.61946903,384096.3733,200395.7476,0.4782670145,47.82670145,0.5258132956,52.58132956,1097.654694,0,SLSQP,,False,297.3453056,357.3453056,419.3436323,419.3387461,419.342525,241.3487581,124.3357273
6,工作日,1762,18,12,03,1750,285306.4722,0.3656360241,36.56360241,1750,1168.6,0.3322285714,33.22285714,1762,1409.6,0.2,20.0,285306.4722,94816.62651,0.6676674533,66.76674533,0.2925088193,29.25088193,1407.744456,0,SLSQP,,False,374.2555444,428.2554935,440.2574962,495.2546502,443.2573011,262.2612318,20.25828282
6,周末,1267,14,0,03;04,1267,159257.6875,0.3113787171,31.13787171,1267,1094.0,0.136543015,13.6543015,1267,1267.0,0.0,0.0,159257.6875,82969.0775,0.4790262322,47.90262322,0.3113787171,31.13787171,1602.199502,0,SLSQP,,False,191.8004982,257.8034389,250.8004982,312.8004982,312.8004982,199.8004982,15.79406989
7,工作日,727,17,8,02,719,42500.9375,0.2020566982,20.20566982,719,504.6,0.2981919332,29.81919332,727,581.6,0.2,20.0,42500.9375,14841.97417,0.6507847817,65.07847817,0.166142793,16.6142793,1032.600001,0,CVXPY/CLARABEL,optimal,True,124.3999991,173.3999991,178.3999991,175.3999991,175.3999991,78.39999936,26.40000527
7,周末,894,12,0,01;02;03;04;23,894,86149.80556,0.3030983386,30.30983386,894,729.0,0.1845637584,18.45637584,894,729.0,0.1845637584,18.45637584,86149.80556,52363.11334,0.3921853567,39.21853567,0.3030983386,30.30983386,1048.071715,0,SLSQP,,False,111.9282845,170.933954,170.9377576,170.9341532,170.9357815,52.93006927,0.0
