区域,实际综合日均负荷,LOOCV预测值,全样本拟合值_短期基准,样本内绝对误差
1,17884.285714,16742.628903,16959.632851,924.652863
2,16504.428571,16372.239757,16349.292725,155.135846
3,12828.000000,15790.585592,15299.143157,2471.143157
4,18694.571429,15301.521126,15957.021595,2737.549833
5,15076.428571,13221.110534,13402.567117,1673.861455
6,16940.000000,14371.520033,14823.037243,2116.962757
7,7274.000000,12088.644434,11088.453377,3814.453377
8,8452.857143,12754.615441,12087.271173,3634.414030
9,14956.000000,8943.492285,10613.844343,4342.155657
10,9396.428571,11885.305026,11426.736418,2030.307847
