区域,新增快充_xi,新增慢充_yi,新增总桩数,新增成本_万元,新覆盖率,新增额定接入功率_kW,新增接入压力_nu,服务能力裕度_车次日
1,15,10,25,98.000000,0.901511,1870.000000,0.005754,12338.628571428571
2,25,16,41,162.800000,0.940245,3112.000000,0.010443,12286.264285714286
3,11,5,16,70.000000,0.902728,1355.000000,0.004909,9228.042857142857
4,89,58,147,580.400000,0.903764,11086.000000,0.031494,16900.764285714286
5,96,63,159,626.400000,0.916057,11961.000000,0.053160,14775.042857142857
6,29,18,47,188.400000,0.904643,3606.000000,0.011708,10383.428571428572
7,117,78,195,764.400000,0.901351,14586.000000,0.078419,14427.207142857143
8,94,62,156,613.600000,0.906841,11714.000000,0.045937,13188.692857142858
9,138,92,230,901.600000,0.905271,17204.000000,0.113184,15195.364285714286
10,21,13,34,136.400000,0.901447,2611.000000,0.012737,6032.778571428572
全市,635,415,1050,4142.000000,0.906118,79105.000000,0.036775,
