区域,实际需求,PLSR折外预测,绝对误差,相对误差,是否重点校核区域
1,17884.285714,16700.902847,1183.382868,6.616886,否
2,16504.428571,15996.259141,508.169431,3.078988,否
3,12828.000000,15397.277591,2569.277591,20.028668,否
4,18694.571429,18944.019784,249.448355,1.334336,否
5,15076.428571,13682.253207,1394.175365,9.247385,否
6,16940.000000,14918.709165,2021.290835,11.932059,否
7,7274.000000,11997.771251,4723.771251,64.940490,是
8,8452.857143,12638.616693,4185.759550,49.518872,是
9,14956.000000,6852.772645,8103.227355,54.180445,是
10,9396.428571,10389.519752,993.091180,10.568815,否
