区域,实际综合日均负荷,LOOCV预测值,绝对误差,相对误差_percent
1,17884.285714,16742.628903,1141.656811,6.383575
2,16504.428571,16372.239757,132.188814,0.800929
3,12828.000000,15790.585592,2962.585592,23.094680
4,18694.571429,15301.521126,3393.050303,18.149923
5,15076.428571,13221.110534,1855.318037,12.306084
6,16940.000000,14371.520033,2568.479967,15.162219
7,7274.000000,12088.644434,4814.644434,66.189778
8,8452.857143,12754.615441,4301.758298,50.891175
9,14956.000000,8943.492285,6012.507715,40.201309
10,9396.428571,11885.305026,2488.876455,26.487473
