month,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events,delta_total_cost_yuan_vs_A
2025-02,1860170.487526679,33586.659002994995,66921.35175946502,604592.8579300473,491636.735226505,1117861.540003389,195508.97756667223,1313370.5175700611,257,82,80387.94427713193
2025-03,1719323.051551327,52157.19905999996,133441.85004238682,595728.5613014402,484007.82719916664,1016042.0543047688,315689.6218666144,1331731.6761713831,259,65,87461.49763272074
2025-04,1459843.344306467,40118.49212056376,180650.5538100823,540438.4023707819,438856.7187538333,848477.92884993,255973.18571634233,1104451.1145662724,189,59,37422.41470808699
2025-05,1434565.7009323537,52863.31056901802,199235.53700313423,521603.7293670406,420220.7198354696,846610.0356923784,327692.8938484236,1174302.929540802,235,48,15308.800066428958
2025-06,1887325.2487619752,82385.14936423252,108110.85437263372,579496.6007740741,467890.22320383333,1146712.588650154,493362.91191136994,1640075.500561524,372,61,-46018.41719529359
2025-07,2083653.5588081104,90029.84928326543,118402.8104363384,582781.7609037063,472320.42276533536,1294606.1342529848,510580.81288325833,1805186.947136243,426,64,-51346.08873852459
2025-08,1842351.3921022387,47687.937714358,198397.80692181576,573875.5577541102,466346.89912599593,1153801.3015316,307009.945327977,1460811.246859577,277,83,78905.44000706123
2025-09,1642889.902924017,67616.25366211313,214800.17625010927,575431.8707586444,468109.75767262344,1003992.2641382603,416912.85122988565,1420905.115368146,299,69,153330.36610314017
2025-10,1725511.352411941,37819.5354605617,165660.3943502616,632826.9460813316,510290.04359242384,1029218.6931059608,229783.59138727086,1259002.2844932317,239,61,34738.921188228065
2025-11,1935799.7020051398,28239.212001499964,54692.419421810686,646802.5200069959,525428.4334055,1175279.626535369,170568.23193226045,1345847.8584676296,197,67,-11874.999755358556
2025-12,2488874.0681121396,54431.01900354524,41262.80084279834,728111.3713757201,590106.0213361667,1540994.231747073,308416.26091575634,1849410.492662829,264,69,-51588.60551845399
