strategy_id,date,day_index,residual_window_days,validation_window_days,window_start,window_end,common_start_state_kWh,candidate_theta,window_cost_yuan,window_end_state_kWh,valuation_score_yuan,rank,selected,residual_days_min,residual_days_max,fallback_days,solver_failures,tied_within_tolerance
B_adaptive,2025-02-01,31,28,14,17,30,8368.995643333334,base,773363.1785548368,8801.462273333342,772975.2319618029,4,0,16,28,0,0,0
B_adaptive,2025-02-01,31,28,14,17,30,8368.995643333334,0.50,804584.4189544126,8244.36310407408,804696.221266158,5,0,16,28,0,0,0
B_adaptive,2025-02-01,31,28,14,17,30,8368.995643333334,0.65,745301.2881724888,10800.0,743120.5422087612,2,0,16,28,0,0,0
B_adaptive,2025-02-01,31,28,14,17,30,8368.995643333334,0.80,734706.4535605382,10800.0,732525.7075968107,1,1,16,28,0,0,1
B_adaptive,2025-02-01,31,28,14,17,30,8368.995643333334,0.90,762292.0850308851,10800.0,760111.3390671575,3,0,16,28,0,0,0
B_adaptive,2025-02-02,32,28,14,18,31,8212.515670555556,base,770029.3580681301,9221.38512481482,769124.3461193566,4,0,17,28,0,0,0
B_adaptive,2025-02-02,32,28,14,18,31,8212.515670555556,0.50,797972.8780965286,8529.422162037044,797688.5953677535,5,0,17,28,0,0,0
B_adaptive,2025-02-02,32,28,14,18,31,8212.515670555556,0.65,742944.1403017865,10800.0,740623.0231091453,2,0,17,28,0,0,0
B_adaptive,2025-02-02,32,28,14,18,31,8212.515670555556,0.80,732515.4324216412,10800.0,730194.315229,1,1,17,28,0,0,1
B_adaptive,2025-02-02,32,28,14,18,31,8212.515670555556,0.90,759552.1245672179,10800.0,757231.0073745768,3,0,17,28,0,0,0
B_adaptive,2025-02-03,33,28,14,19,32,8153.316651111111,base,757910.8120030002,9576.779617592596,756633.8866407904,4,0,18,28,0,0,0
B_adaptive,2025-02-03,33,28,14,19,32,8153.316651111111,0.50,783484.594969284,8770.338673518525,782931.0919361833,5,0,18,28,0,0,0
B_adaptive,2025-02-03,33,28,14,19,32,8153.316651111111,0.65,739309.7561898401,10800.0,736935.534187923,2,0,18,28,0,0,0
B_adaptive,2025-02-03,33,28,14,19,32,8153.316651111111,0.80,729532.1868326415,10800.0,727157.9648307243,1,1,18,28,0,0,1
B_adaptive,2025-02-03,33,28,14,19,32,8153.316651111111,0.90,756400.1077226247,10800.0,754025.8857207075,3,0,18,28,0,0,0
B_adaptive,2025-02-04,34,28,14,20,33,8222.930176666665,base,748841.488821599,9802.780789444445,747424.2750524589,3,0,19,28,0,0,0
B_adaptive,2025-02-04,34,28,14,20,33,8222.930176666665,0.50,774774.3665564924,8905.789558888891,774161.8037540067,5,0,19,28,0,0,0
B_adaptive,2025-02-04,34,28,14,20,33,8222.930176666665,0.65,733001.5570132704,10800.0,730689.7822111947,2,0,19,28,0,0,0
B_adaptive,2025-02-04,34,28,14,20,33,8222.930176666665,0.80,723112.2915581968,10800.0,720800.5167561211,1,1,19,28,0,0,1
B_adaptive,2025-02-04,34,28,14,20,33,8222.930176666665,0.90,749135.4583502542,10800.0,746823.6835481785,4,0,19,28,0,0,0
B_adaptive,2025-02-05,35,28,14,21,34,8443.394277037043,base,745008.0138732407,9997.819855555552,743613.607772333,4,0,20,28,0,0,0
B_adaptive,2025-02-05,35,28,14,21,34,8443.394277037043,0.50,774853.2375094752,8966.308069629637,774384.1547867534,5,0,20,28,0,0,0
B_adaptive,2025-02-05,35,28,14,21,34,8443.394277037043,0.65,728682.9219730627,10800.0,726568.9157170247,2,0,20,28,0,0,0
B_adaptive,2025-02-05,35,28,14,21,34,8443.394277037043,0.80,718279.9336452194,10800.0,716165.9273891815,1,1,20,28,0,0,1
B_adaptive,2025-02-05,35,28,14,21,34,8443.394277037043,0.90,743555.2417916064,10800.0,741441.2355355684,3,0,20,28,0,0,0
B_adaptive,2025-02-06,36,28,14,22,35,8267.548353703709,base,721295.8146705482,10150.09851444444,719607.0625902438,3,0,21,28,0,0,0
B_adaptive,2025-02-06,36,28,14,22,35,8267.548353703709,0.50,745690.3664208155,9068.820012037042,744971.5812281984,5,0,21,28,0,0,0
B_adaptive,2025-02-06,36,28,14,22,35,8267.548353703709,0.65,709702.9492671406,10800.0,707431.1994486547,1,1,21,28,0,0,1
