month,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events,delta_total_cost_yuan_vs_A
2025-02,1962042.574425545,7155.913643833325,137219.05921110703,612110.9096716049,494011.15288,1187582.8284392066,42148.40522252663,1229731.233661733,82,40,0.0
2025-03,1903164.2003664237,4853.6546395802425,261414.7924930762,633081.0318224279,512795.63577616663,1131977.8233008143,29148.235402913113,1161126.0587037273,26,11,0.0
2025-04,1661975.294847364,1901.4122018333378,334575.4974341996,587219.0032368312,475647.3926218333,965016.939938081,10581.013518921865,975597.9534570029,16,4,0.0
2025-05,1627327.7794511481,13714.497799666644,344306.32643869345,578555.188660288,468629.7028148333,960913.3368384012,89135.75753781569,1050049.0943762169,71,19,0.0
2025-06,2194730.624170276,21977.065190999987,359686.70426324283,563304.3100773662,456276.49116266664,1358467.2228707587,138651.8697287285,1497119.0925994872,101,24,0.0
2025-07,2382129.1022124463,36796.67162602672,362210.7970890543,589313.5208908017,477417.8036580494,1492506.8675454534,224274.75395655,1716781.6215020034,193,38,0.0
2025-08,1987426.0755864403,12564.108241333315,298593.01679320994,616897.1106915637,499612.8079236666,1240259.842805905,82911.56285149389,1323171.405657399,118,47,0.0
2025-09,1858092.0630161501,8948.983584683116,368226.44948430377,581214.3677185769,470783.63785204734,1142495.3464154315,55595.95714004462,1198091.303555476,53,25,0.0
2025-10,1862392.1315000905,5532.457483833307,271878.7416928517,636380.2960933622,515468.0398356234,1121150.9556741724,35733.286172742526,1156884.241846915,49,23,0.0
2025-11,2017708.509364753,4851.254702499968,107215.89880349796,670376.0909495885,543004.6336691667,1230682.610739612,28670.614896602216,1259353.2256362145,56,28,0.0
2025-12,2659527.3532515573,21361.580012917697,183270.22465884776,706219.4850497942,572637.7126775,1659277.3633282618,114848.53092745261,1774125.8942557145,117,36,0.0
