day_index,date,initial_kWh,final_kWh,planned_kWh,emergency_kWh,charge_kWh,discharge_kWh,unused_kWh,planned_cost_yuan,emergency_cost_yuan,note
0,2025-01-01,6000.0,6000.0,0.0,92035.17001666666,0.0,0.0,0.0,0.0,366613.5661568583,"cold start: zero plan, battery idle"
1,2025-01-02,6000.0,6049.009037222222,96853.44019506173,1298.0248914999975,25679.923261728392,20756.629708500004,342.93226666666635,61778.2123831795,6670.959150943904,"lag policy, shared warm-up"
2,2025-01-03,6049.009037222222,10800.0,97716.68498333333,0.0,14879.044341358023,7776.134049999999,45108.83332530864,62513.97506220537,0.0,"lag policy, shared warm-up"
3,2025-01-04,10800.0,10562.47902,49567.02851604938,473.0965156666626,21111.152163374485,17313.802134333335,1477.1726360082257,25911.301808035925,2590.770848903642,"lag policy, shared warm-up"
4,2025-01-05,10562.47902,8947.889384999999,48829.22963415638,43008.44273917696,11868.90918333333,11066.947110000001,0.0,25671.37088687932,224194.492621681,"lag policy, shared warm-up"
5,2025-01-06,8947.889384999999,8954.833334259256,95844.1202563786,660.1860333333326,25632.01185720165,20755.680050000003,995.4933825102829,61258.193570198964,3305.727048999993,"lag policy, shared warm-up"
6,2025-01-07,8954.833334259256,8949.06013055555,95366.59013333332,2243.5440805000017,24135.30119691358,19554.78985283333,462.7219197530867,60945.51032141811,15273.546312083345,"lag policy, shared warm-up"
7,2025-01-08,8949.06013055555,9091.343477037031,97764.30368847736,466.68924500000406,25806.87286028807,20775.512004999997,3673.630761522628,62559.563595490814,2278.551253396686,"lag policy, shared warm-up"
8,2025-01-09,9091.343477037031,9145.504922037033,95292.42341831274,1025.286934833322,25244.046768312754,20398.932581833345,381.04004999999995,61085.485304478694,7028.729045258341,"lag policy, shared warm-up"
9,2025-01-10,9145.504922037033,9187.874702037034,50000.297610699585,278.00038916666387,21846.339398559667,17657.40211083333,598.6939954732532,26038.866426416935,1578.650199693316,"lag policy, shared warm-up"
10,2025-01-11,9187.874702037034,9149.680024629626,49908.002507201636,201.16011533333344,21850.902047325097,17733.605868,1125.979826543211,26082.02838192218,965.8699583270004,"lag policy, shared warm-up"
11,2025-01-12,9149.680024629626,9215.636502222218,95795.1891366255,358.66169116665935,25559.322455144036,20643.69035883334,372.3303314814834,61321.963848138825,2135.0095971286178,"lag policy, shared warm-up"
12,2025-01-13,9215.636502222218,8965.638081111107,95959.76286481481,35.96117950000023,24653.784145884776,20194.563737166667,3262.546668930038,61224.86152941271,173.00972495558437,"lag policy, shared warm-up"
13,2025-01-14,8965.638081111107,8785.818827407404,92973.77436687241,1464.7100631666672,25369.805833539092,20711.380053499997,499.74571666666725,58911.33162232896,7661.450795143754,"lag policy, shared warm-up"
14,2025-01-15,8785.818827407404,8676.543494999998,93619.807345679,1804.7303066666643,25327.10063065843,20613.299310000002,640.3933983539137,59481.96083054238,11652.478102460154,"lag policy, shared warm-up"
15,2025-01-16,8676.543494999998,8567.809627222221,94968.4211755144,875.4425246666594,25091.198634979417,20421.73137533334,2100.2449905349854,60567.25560722254,4749.091342897291,"lag policy, shared warm-up"
16,2025-01-17,8567.809627222221,8368.995643333334,47806.35901666667,49.517049999999834,20540.19022366255,16816.486666666664,1443.0590430041134,25038.640588698334,225.65657894999927,"lag policy, shared warm-up"
17,2025-01-18,8368.995643333334,8212.515670555556,47371.073356172834,169.95181566667088,20918.964455349796,17085.19318433333,464.7448841563739,24634.812227249997,955.5119862036922,"lag policy, shared warm-up"
18,2025-01-19,8212.515670555556,8153.316651111111,93272.11181666667,1362.9760516666686,25452.70561419753,20669.970665,1169.2134524691367,59017.06752364036,9212.68643168251,"lag policy, shared warm-up"
19,2025-01-20,8153.316651111111,8222.930176666665,94269.49704670781,642.7342821666625,25540.6082808642,20625.240534500004,1929.787032510284,60041.136973465414,3427.2602687858043,"lag policy, shared warm-up"
20,2025-01-21,8222.930176666665,8443.394277037043,93372.00075020576,0.0,23684.849247325103,18986.3102,5197.557019547325,59385.23120405113,0.0,"lag policy, shared warm-up"
21,2025-01-22,8443.394277037043,8267.548353703709,89391.80541831275,3897.5088716666633,23199.491601646092,18949.849528333332,140.90785000000028,56700.98934959488,24008.781477108983,"lag policy, shared warm-up"
22,2025-01-23,8267.548353703709,8227.942094629636,93808.20557901234,753.0071023333373,25265.296231892993,20500.535580999996,230.52643045267934,59675.21038268592,4592.979509197944,"lag policy, shared warm-up"
23,2025-01-24,8227.942094629636,8238.075438333342,48145.11098415638,0.0,21395.89141069958,17321.552033333333,4241.358456790136,24846.186465912964,0.0,"lag policy, shared warm-up"
24,2025-01-25,8238.075438333342,8374.715879259267,44746.34052773868,32.40124999999824,21579.41620987655,17356.35073316667,2116.1008343621315,23255.63074864822,198.06884124998925,"lag policy, shared warm-up"
25,2025-01-26,8374.715879259267,8399.850666111119,88662.84828106995,3591.3267735,23184.964981069956,18757.200326500002,127.42036666666672,55873.518650392645,23180.176231869664,"lag policy, shared warm-up"
26,2025-01-27,8399.850666111119,8275.783400555563,92610.4957030864,0.0,23957.25575432099,19517.0377,3975.3608654320915,58463.662504814376,0.0,"lag policy, shared warm-up"
27,2025-01-28,8275.783400555563,8250.404954259266,89005.82283497942,2960.4010050000065,24624.309868312757,19968.531594999993,330.0462,55791.03272596833,17739.819402209203,"lag policy, shared warm-up"
28,2025-01-29,8250.404954259266,8724.84956148149,91903.63366995884,27.048333333333517,22692.85423436214,17954.211783333332,5806.83850226337,58127.860385050386,157.1102441666677,"lag policy, shared warm-up"
29,2025-01-30,8724.84956148149,8736.336912407414,86841.43237901235,2151.1737575000043,24363.338940329217,19723.965925833334,610.6503386831236,54243.56377614643,12036.145463933775,"lag policy, shared warm-up"
30,2025-01-31,8736.336912407414,8801.462273333342,42041.64792962963,949.0712956666548,20551.773554526753,16588.323754333345,262.94637510288067,21588.403601170226,6210.332179637251,"lag policy, shared warm-up"
