date,slot,allow_pv,actual_pv_kW,original_forecast_kW,gated_forecast_kW
2025-01-01,0,True,0.0,,
2025-01-01,1,True,0.0,,
2025-01-01,2,True,0.0,,
2025-01-01,3,True,0.0,,
2025-01-01,4,True,0.0,,
2025-01-01,5,True,0.0,,
2025-01-01,6,True,0.0,,
2025-01-01,7,True,0.0,,
2025-01-01,8,True,0.0,,
2025-01-01,9,True,0.0,,
2025-01-01,10,True,0.0,,
2025-01-01,11,True,0.0,,
2025-01-01,12,True,0.0,,
2025-01-01,13,True,0.0,,
2025-01-01,14,True,0.0,,
2025-01-01,15,True,0.0,,
2025-01-01,16,True,0.0,,
2025-01-01,17,True,0.0,,
2025-01-01,18,True,0.0,,
2025-01-01,19,True,0.0,,
2025-01-01,20,True,0.0,,
2025-01-01,21,True,0.0,,
2025-01-01,22,True,0.0,,
2025-01-01,23,True,0.0,,
2025-01-01,24,True,0.0,,
2025-01-01,25,True,0.0,,
2025-01-01,26,True,0.0,,
2025-01-01,27,True,0.0,,
2025-01-01,28,True,0.0,,
2025-01-01,29,True,0.0,,
2025-01-01,30,True,0.0021,,
2025-01-01,31,True,0.0,,
2025-01-01,32,True,0.0,,
2025-01-01,33,True,0.0299,,
2025-01-01,34,True,0.0,,
2025-01-01,35,True,0.0,,
2025-01-01,36,True,0.4169,,
2025-01-01,37,True,0.0,,
2025-01-01,38,True,0.0,,
2025-01-01,39,True,5.8062,,
2025-01-01,40,True,0.0,,
2025-01-01,41,True,3.075,,
2025-01-01,42,True,175.7953,,
2025-01-01,43,True,421.496,,
2025-01-01,44,True,677.1,,
2025-01-01,45,True,950.8112,,
2025-01-01,46,True,1255.5705,,
2025-01-01,47,True,1592.2875,,
2025-01-01,48,True,1937.5212,,
2025-01-01,49,True,2225.1261,,
2025-01-01,50,True,2490.1125,,
2025-01-01,51,True,2826.3146,,
2025-01-01,52,True,3122.1315,,
2025-01-01,53,True,3350.9625,,
2025-01-01,54,True,3601.7977,,
2025-01-01,55,True,3875.6352,,
2025-01-01,56,True,4149.825,,
2025-01-01,57,True,4403.4802,,
2025-01-01,58,True,4624.7505,,
2025-01-01,59,True,4836.6375,,
2025-01-01,60,True,5080.7024,,
2025-01-01,61,True,5338.7528,,
2025-01-01,62,True,5494.725,,
2025-01-01,63,True,5437.9778,,
2025-01-01,64,True,5396.2126,,
2025-01-01,65,True,5372.1,,
2025-01-01,66,True,5182.9722,,
2025-01-01,67,True,5131.5011,,
2025-01-01,68,True,5294.775,,
2025-01-01,69,True,5434.7444,,
2025-01-01,70,True,5455.5011,,
2025-01-01,71,True,5331.7125,,
2025-01-01,72,True,5126.6533,,
2025-01-01,73,True,5118.4895,,
2025-01-01,74,True,5302.575,,
2025-01-01,75,True,5399.7996,,
2025-01-01,76,True,5377.6488,,
2025-01-01,77,True,5261.8125,,
2025-01-01,78,True,5097.6164,,
2025-01-01,79,True,5029.4534,,
2025-01-01,80,True,5043.8625,,
2025-01-01,81,True,4973.5844,,
2025-01-01,82,True,4769.7524,,
2025-01-01,83,True,4478.625,,
2025-01-01,84,True,4209.3909,,
2025-01-01,85,True,4060.4316,,
2025-01-01,86,True,3934.425,,
2025-01-01,87,True,3648.1229,,
2025-01-01,88,True,3431.0164,,
2025-01-01,89,True,3327.3375,,
2025-01-01,90,True,3139.1175,,
2025-01-01,91,True,2860.4253,,
2025-01-01,92,True,2505.0,,
2025-01-01,93,True,2089.695,,
2025-01-01,94,True,1762.1562,,
2025-01-01,95,True,1525.8,,
2025-01-01,96,True,1249.2025,,
2025-01-01,97,True,968.2219,,
2025-01-01,98,True,706.6125,,
2025-01-01,99,True,440.4383,,
2025-01-01,100,True,180.885,,
2025-01-01,101,True,2.9625,,
2025-01-01,102,True,0.0,,
2025-01-01,103,True,5.9578,,
2025-01-01,104,True,0.0,,
2025-01-01,105,True,0.0,,
2025-01-01,106,True,0.4277,,
2025-01-01,107,True,0.0,,
2025-01-01,108,True,0.0,,
2025-01-01,109,True,0.0307,,
2025-01-01,110,True,0.0,,
2025-01-01,111,True,0.0,,
2025-01-01,112,True,0.0022,,
2025-01-01,113,True,0.0,,
2025-01-01,114,True,0.0,,
2025-01-01,115,True,0.0,,
2025-01-01,116,True,0.0,,
2025-01-01,117,True,0.0,,
2025-01-01,118,True,0.0,,
2025-01-01,119,True,0.0,,
2025-01-01,120,True,0.0,,
2025-01-01,121,True,0.0,,
2025-01-01,122,True,0.0,,
2025-01-01,123,True,0.0,,
2025-01-01,124,True,0.0,,
2025-01-01,125,True,0.0,,
2025-01-01,126,True,0.0,,
2025-01-01,127,True,0.0,,
2025-01-01,128,True,0.0,,
2025-01-01,129,True,0.0,,
2025-01-01,130,True,0.0,,
2025-01-01,131,True,0.0,,
2025-01-01,132,True,0.0,,
2025-01-01,133,True,0.0,,
2025-01-01,134,True,0.0,,
2025-01-01,135,True,0.0,,
2025-01-01,136,True,0.0,,
2025-01-01,137,True,0.0,,
2025-01-01,138,True,0.0,,
2025-01-01,139,True,0.0,,
2025-01-01,140,True,0.0,,
2025-01-01,141,True,0.0,,
2025-01-01,142,True,0.0,,
2025-01-01,143,True,0.0,,
2025-01-02,0,True,0.0,,
2025-01-02,1,True,0.0,,
2025-01-02,2,True,0.0,,
2025-01-02,3,True,0.0,,
2025-01-02,4,True,0.0,,
2025-01-02,5,True,0.0,,
2025-01-02,6,True,0.0,,
2025-01-02,7,True,0.0,,
2025-01-02,8,True,0.0,,
2025-01-02,9,True,0.0,,
2025-01-02,10,True,0.0,,
2025-01-02,11,True,0.0,,
2025-01-02,12,True,0.0,,
2025-01-02,13,True,0.0,,
2025-01-02,14,True,0.0,,
2025-01-02,15,True,0.0,,
2025-01-02,16,True,0.0,,
