strategy_id,hours,actual_pv_kW,forecast_pv_kW,removed_forecast_kWh,delta_protected_kWh,delta_emergency_cost_yuan
C2_pv_original,0-6,31.359674201596803,42.11295582686806,0.0,0.0,0.0
C2_pv_original,6-19,4377.24339107938,4380.762011847588,0.0,0.0,0.0
C2_pv_original,19-21,0.08144179141716565,6.734630659124577,0.0,0.0,0.0
C2_pv_original,21-24,0.0,8.171495755165834,0.0,0.0,0.0
C2_pv_original,19-24,0.03257671656686626,7.596749716749331,0.0,0.0,0.0
C3_joint_original,0-6,31.359674201596803,42.11295582686806,0.0,0.0,0.0
C3_joint_original,6-19,4377.24339107938,4380.762011847588,0.0,0.0,0.0
C3_joint_original,19-21,0.08144179141716565,6.734630659124577,0.0,0.0,0.0
C3_joint_original,21-24,0.0,8.171495755165834,0.0,0.0,0.0
C3_joint_original,19-24,0.03257671656686626,7.596749716749331,0.0,0.0,0.0
G2_pv_gate,0-6,31.359674201596803,37.08145853874307,10083.120565402489,-122.20329262096732,-144.5307961590529
G2_pv_gate,6-19,4377.24339107938,4380.683916041918,339.0919882217483,-91.85932375067728,-566.3538815340828
G2_pv_gate,19-21,0.08144179141716565,3.2144238342250295,2351.4981590328985,-38.562734979870356,837.2913779586379
G2_pv_gate,21-24,0.0,0.0,8187.838746676166,-567.5142274450847,-82.46051225409698
G2_pv_gate,19-24,0.03257671656686626,1.285769533690012,10539.336905709064,-606.0769624249549,754.8308657045409
G3_joint_gate,0-6,31.359674201596803,37.08145853874307,10083.120565402489,317.47324125980214,0.0
G3_joint_gate,6-19,4377.24339107938,4380.683916041918,339.0919882217483,-61.47598281540394,223.99244103006083
G3_joint_gate,19-21,0.08144179141716565,3.2144238342250295,2351.4981590328985,-12.727440738203256,1662.455792622949
G3_joint_gate,21-24,0.0,0.0,8187.838746676166,-146.01394735918132,175.3710732177426
G3_joint_gate,19-24,0.03257671656686626,1.285769533690012,10539.336905709064,-158.74138809738457,1837.826865840692
