strategy_id,time_version,date,natural_slot,interval_start,interval_end,plan_source,price_yuan_kWh,load_kW,pv_kW,net_kWh,plan_kWh,charge_kWh,discharge_kWh,emergency_kWh,unused_kWh,state_start_kWh,state_end_kWh,planned_cost_yuan,emergency_cost_yuan,gap_unknown
N_free,start_time_v1,2025-01-01,0,2025-01-01 00:00:00,2025-01-01 00:10:00,carry from previous template slot 143,0.4276,,,,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,,,True
N_free,start_time_v1,2025-01-01,1,2025-01-01 00:10:00,2025-01-01 00:20:00,zeros template slot 0,0.4248,3529.7296,0.0,588.2882666666667,0.0,0.0,0.0,588.2882666666667,0.0,6000.0,6000.0,0.0,1249.5242784,False
N_free,start_time_v1,2025-01-01,2,2025-01-01 00:20:00,2025-01-01 00:30:00,zeros template slot 1,0.4245,3609.5287,0.0,601.5881166666666,0.0,0.0,0.0,601.5881166666666,0.0,6000.0,6000.0,0.0,1276.8707776249998,False
N_free,start_time_v1,2025-01-01,3,2025-01-01 00:30:00,2025-01-01 00:40:00,zeros template slot 2,0.4269,3726.56,0.0,621.0933333333332,0.0,0.0,0.0,621.0933333333332,0.0,6000.0,6000.0,0.0,1325.7237199999997,False
N_free,start_time_v1,2025-01-01,4,2025-01-01 00:40:00,2025-01-01 00:50:00,zeros template slot 3,0.4272,3510.6311,0.0,585.1051833333333,0.0,0.0,0.0,585.1051833333333,0.0,6000.0,6000.0,0.0,1249.7846716,False
N_free,start_time_v1,2025-01-01,5,2025-01-01 00:50:00,2025-01-01 01:00:00,zeros template slot 4,0.4271,3502.5625,0.0,583.7604166666666,0.0,0.0,0.0,583.7604166666666,0.0,6000.0,6000.0,0.0,1246.6203697916665,False
N_free,start_time_v1,2025-01-01,6,2025-01-01 01:00:00,2025-01-01 01:10:00,zeros template slot 5,0.4285,3787.01,0.0,631.1683333333333,0.0,0.0,0.0,631.1683333333333,0.0,6000.0,6000.0,0.0,1352.2781541666664,False
N_free,start_time_v1,2025-01-01,7,2025-01-01 01:10:00,2025-01-01 01:20:00,zeros template slot 6,0.4311,3900.3205,0.0,650.0534166666666,0.0,0.0,0.0,650.0534166666666,0.0,6000.0,6000.0,0.0,1401.1901396249998,False
N_free,start_time_v1,2025-01-01,8,2025-01-01 01:20:00,2025-01-01 01:30:00,zeros template slot 7,0.4302,3916.8376,0.0,652.8062666666666,0.0,0.0,0.0,652.8062666666666,0.0,6000.0,6000.0,0.0,1404.1862795999998,False
N_free,start_time_v1,2025-01-01,9,2025-01-01 01:30:00,2025-01-01 01:40:00,zeros template slot 8,0.4279,3817.28,0.0,636.2133333333334,0.0,0.0,0.0,636.2133333333334,0.0,6000.0,6000.0,0.0,1361.1784266666666,False
N_free,start_time_v1,2025-01-01,10,2025-01-01 01:40:00,2025-01-01 01:50:00,zeros template slot 9,0.4312,3533.0136,0.0,588.8356,0.0,0.0,0.0,588.8356,0.0,6000.0,6000.0,0.0,1269.5295536,False
N_free,start_time_v1,2025-01-01,11,2025-01-01 01:50:00,2025-01-01 02:00:00,zeros template slot 10,0.4333,3694.6613,0.0,615.7768833333333,0.0,0.0,0.0,615.7768833333333,0.0,6000.0,6000.0,0.0,1334.0806177416669,False
N_free,start_time_v1,2025-01-01,12,2025-01-01 02:00:00,2025-01-01 02:10:00,zeros template slot 11,0.4311,4064.73,0.0,677.4549999999999,0.0,0.0,0.0,677.4549999999999,0.0,6000.0,6000.0,0.0,1460.2542525,False
N_free,start_time_v1,2025-01-01,13,2025-01-01 02:10:00,2025-01-01 02:20:00,zeros template slot 12,0.4293,3810.671,0.0,635.1118333333333,0.0,0.0,0.0,635.1118333333333,0.0,6000.0,6000.0,0.0,1363.2675502499999,False
N_free,start_time_v1,2025-01-01,14,2025-01-01 02:20:00,2025-01-01 02:30:00,zeros template slot 13,0.4324,3844.9495,0.0,640.8249166666667,0.0,0.0,0.0,640.8249166666667,0.0,6000.0,6000.0,0.0,1385.4634698333334,False
N_free,start_time_v1,2025-01-01,15,2025-01-01 02:30:00,2025-01-01 02:40:00,zeros template slot 14,0.4367,4234.62,0.0,705.77,0.0,0.0,0.0,705.77,0.0,6000.0,6000.0,0.0,1541.048795,False
N_free,start_time_v1,2025-01-01,16,2025-01-01 02:40:00,2025-01-01 02:50:00,zeros template slot 15,0.4348,4109.9755,0.0,684.9959166666665,0.0,0.0,0.0,684.9959166666665,0.0,6000.0,6000.0,0.0,1489.1811228333331,False
N_free,start_time_v1,2025-01-01,17,2025-01-01 02:50:00,2025-01-01 03:00:00,zeros template slot 16,0.4335,3996.8945,0.0,666.1490833333332,0.0,0.0,0.0,666.1490833333332,0.0,6000.0,6000.0,0.0,1443.8781381249999,False
N_free,start_time_v1,2025-01-01,18,2025-01-01 03:00:00,2025-01-01 03:10:00,zeros template slot 17,0.4357,4102.19,0.0,683.6983333333333,0.0,0.0,0.0,683.6983333333333,0.0,6000.0,6000.0,0.0,1489.4368191666665,False
N_free,start_time_v1,2025-01-01,19,2025-01-01 03:10:00,2025-01-01 03:20:00,zeros template slot 18,0.4374,4086.0577,0.0,681.0096166666666,0.0,0.0,0.0,681.0096166666666,0.0,6000.0,6000.0,0.0,1489.36803165,False
N_free,start_time_v1,2025-01-01,20,2025-01-01 03:20:00,2025-01-01 03:30:00,zeros template slot 19,0.4371,4133.7626,0.0,688.9604333333333,0.0,0.0,0.0,688.9604333333333,0.0,6000.0,6000.0,0.0,1505.72302705,False
N_free,start_time_v1,2025-01-01,21,2025-01-01 03:30:00,2025-01-01 03:40:00,zeros template slot 20,0.4356,4179.18,0.0,696.53,0.0,0.0,0.0,696.53,0.0,6000.0,6000.0,0.0,1517.0423399999997,False
N_free,start_time_v1,2025-01-01,22,2025-01-01 03:40:00,2025-01-01 03:50:00,zeros template slot 21,0.4353,3953.3711,0.0,658.8951833333333,0.0,0.0,0.0,658.8951833333333,0.0,6000.0,6000.0,0.0,1434.085366525,False
N_free,start_time_v1,2025-01-01,23,2025-01-01 03:50:00,2025-01-01 04:00:00,zeros template slot 22,0.436,3910.7496,0.0,651.7916,0.0,0.0,0.0,651.7916,0.0,6000.0,6000.0,0.0,1420.905688,False
N_free,start_time_v1,2025-01-01,24,2025-01-01 04:00:00,2025-01-01 04:10:00,zeros template slot 23,0.4378,4099.31,0.0,683.2183333333334,0.0,0.0,0.0,683.2183333333334,0.0,6000.0,6000.0,0.0,1495.5649316666668,False
N_free,start_time_v1,2025-01-01,25,2025-01-01 04:10:00,2025-01-01 04:20:00,zeros template slot 24,0.4401,4123.8623,0.0,687.3103833333332,0.0,0.0,0.0,687.3103833333332,0.0,6000.0,6000.0,0.0,1512.4264985249997,False
N_free,start_time_v1,2025-01-01,26,2025-01-01 04:20:00,2025-01-01 04:30:00,zeros template slot 25,0.4389,4169.0068,0.0,694.8344666666667,0.0,0.0,0.0,694.8344666666667,0.0,6000.0,6000.0,0.0,1524.8142371000001,False
