month,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events,delta_total_cost_yuan_vs_A
2025-02,1900676.1361327611,14034.124459333321,89008.97922891151,601673.4774553498,489851.86815883336,1146298.5169081588,83892.97137430942,1230191.4882824682,140,52,0.0
2025-03,1765172.1667472715,32212.28360081721,156013.91143456788,604953.1347930925,489900.26234623836,1042294.8026494515,201957.69847025318,1244252.5011197047,177,53,0.0
2025-04,1483502.602455539,32209.435444179,192227.81335317905,557645.1588502057,451890.5333036666,860570.4291395197,206329.86438865098,1066900.2935281708,161,52,0.0
2025-05,1446406.8948630944,48962.78064949999,205201.9062738683,543448.9124318929,440091.6081598333,846194.8332950872,313768.31002926675,1159963.143324354,209,53,0.0
2025-06,1870230.3380818272,88217.10325074072,97847.03019938478,583554.6214220164,472947.3764721666,1129009.9708364634,548632.0643144855,1677642.035150949,387,68,0.0
2025-07,2069747.9332065822,96609.52603025982,108073.95848251025,596020.1069078868,482555.8656702216,1279474.6206756777,567748.786778818,1847223.4074544958,424,77,0.0
2025-08,1875468.9537869268,31210.904782,213126.78823546204,574069.6847831479,464629.47871634975,1173492.959026373,207330.8364827311,1380823.7955091042,188,63,0.0
2025-09,1685398.1237146296,34570.51924892796,224360.2996633745,566380.094638683,459155.6185885,1039906.8824889481,214219.72950313345,1254126.6119920814,177,56,0.0
2025-10,1728470.5045440616,29046.51179716666,165813.794377572,613358.4099674897,496788.7790371667,1038798.4656017413,175855.62217179794,1214654.0877735394,185,58,0.0
2025-11,1932418.3308694565,30865.944863820994,52608.516421193424,646325.4363899176,523622.08506116667,1172571.9740624079,186218.45477761346,1358790.4288400211,206,67,0.0
2025-12,2461530.967916255,66725.283032428,26043.00148662549,727640.6563687242,589464.34314,1521806.5050620828,379600.1641616853,1901406.6692237682,293,83,0.0
