strategy_id,hour,planned_kWh,emergency_kWh,unused_kWh,emergency_cost_yuan
T_q80_4800,0,2295349.8932923866,0.0,38829.473318107004,0.0
T_q80_4800,1,1372592.2882676953,0.0,8096.743901234572,0.0
T_q80_4800,2,1240836.195561111,0.0,17097.346965226367,0.0
T_q80_4800,3,1230467.4520437983,0.0,21211.63146399179,0.0
T_q80_4800,4,1176078.1416433332,67.49552449999771,28388.41993518521,148.89335529449494
T_q80_4800,5,1203329.3056750617,2151.978967166665,185259.28007199356,6841.242628301413
T_q80_4800,6,352583.2306221666,2777.161450000001,0.0,12300.174275925005
T_q80_4800,7,508399.8069867531,705.2328000000002,23554.727219341574,3228.009296591668
T_q80_4800,8,4541.060416666669,4994.151700438264,0.0,26670.539516611127
T_q80_4800,9,25418.31469999998,12072.170785166669,970.5043613168683,59032.762896125096
T_q80_4800,10,180946.6347824218,7666.268760999993,67906.33143238477,36828.75285594988
T_q80_4800,11,1029431.0702306584,0.0,432345.2011668807,0.0
T_q80_4800,12,821553.1978179464,0.0,927886.4115343725,0.0
T_q80_4800,13,72973.5842915,0.0,490956.9054099794,0.0
T_q80_4800,14,176024.36148518723,0.0,261234.04077736827,0.0
T_q80_4800,15,931671.2727814815,0.0,325145.24361801444,0.0
T_q80_4800,16,1189854.9245166667,0.0,100601.12366460905,0.0
T_q80_4800,17,1510679.7116,0.0,75005.39014567905,0.0
T_q80_4800,18,964400.0385333333,568.4354166666665,41063.49989238686,3827.2756604166657
T_q80_4800,19,63463.28976666669,13042.412151722201,0.0,87917.92357360316
T_q80_4800,20,578688.5196333333,41521.01343757197,0.0,281309.7930313887
T_q80_4800,21,1734053.7555666666,4697.314789499994,14038.315,21289.948993734804
T_q80_4800,22,2042624.3452833332,0.0,41924.25458333334,0.0
T_q80_4800,23,1441765.9278666666,0.0,130.36333333333414,0.0
T_q80_6000,0,2098925.89695679,0.0,29627.986982304523,0.0
T_q80_6000,1,1239803.958196502,0.0,7892.093150411539,0.0
T_q80_6000,2,1231485.5524968333,0.0,19558.281956995914,0.0
T_q80_6000,3,1218678.4901217984,0.0,22894.949663786025,0.0
T_q80_6000,4,1136156.7114585,67.49552449999646,29615.710777572025,148.32141508874224
T_q80_6000,5,1190660.6857398436,2151.0512129999984,189520.91784588472,6839.183477928496
T_q80_6000,6,352583.2306221666,2777.161450000001,0.0,12300.174275925005
T_q80_6000,7,508399.8069867531,705.2328000000002,23554.727219341574,3228.009296591668
T_q80_6000,8,4541.060416666669,4990.173535666656,0.0,26650.64042281744
T_q80_6000,9,25418.31469999998,12093.600688166673,429.22837962962075,59139.07664490811
T_q80_6000,10,180946.6347824218,7679.765870166659,67454.69289769547,36895.69176886196
T_q80_6000,11,1029431.0702306584,0.0,432903.7900054712,0.0
T_q80_6000,12,821129.9285012798,0.0,928250.9433757325,0.0
T_q80_6000,13,72973.5842915,0.0,491198.6410542181,0.0
T_q80_6000,14,176024.36148518723,0.0,261234.04077736827,0.0
T_q80_6000,15,931671.2727814815,0.0,325137.7913957922,0.0
T_q80_6000,16,1189854.9245166667,0.0,100601.12366460905,0.0
T_q80_6000,17,1510679.7116,0.0,75005.39014567906,0.0
T_q80_6000,18,964400.0385333333,568.4354166666665,41063.49989238686,3827.2756604166657
T_q80_6000,19,63463.28976666669,13042.412151722201,0.0,87917.92357360317
T_q80_6000,20,578688.5196333333,41521.013437571964,0.0,281309.7930313887
T_q80_6000,21,1734053.7555666666,4697.314789499994,14038.315,21289.948993734804
T_q80_6000,22,2320957.6786166667,0.0,55286.72458333335,0.0
T_q80_6000,23,1608765.9278666666,0.0,14754.005000000006,0.0
T_q80_7200,0,1791455.0792286005,0.0,21466.971178806587,0.0
T_q80_7200,1,1224731.1745833333,0.0,11721.260655555578,0.0
T_q80_7200,2,1227558.0389659998,0.0,23191.609717695515,0.0
T_q80_7200,3,1197980.6011898331,0.0,25301.40686880452,0.0
T_q80_7200,4,1098186.5956876315,67.49552449999646,30698.729362551458,148.32141508874224
T_q80_7200,5,1175555.4679980678,2151.051212999999,190530.67526255138,6839.183477928497
T_q80_7200,6,352583.2306221666,2777.161450000001,0.0,12300.174275925005
T_q80_7200,7,508399.8069867531,705.2328000000002,23554.727219341574,3228.009296591668
T_q80_7200,8,4541.060416666669,4954.41347116665,0.0,26463.94623225058
T_q80_7200,9,25418.31469999998,12070.01030633334,292.0362882716034,59020.08436433703
T_q80_7200,10,180946.6347824218,7706.602407499994,64477.35251646092,37028.78757576663
T_q80_7200,11,1029431.0702306584,0.0,432521.22361074697,0.0
T_q80_7200,12,820644.4179658889,0.0,928452.852774727,0.0
T_q80_7200,13,72973.5842915,0.0,491246.5830803498,0.0
T_q80_7200,14,176024.36148518723,0.0,261234.0407773683,0.0
T_q80_7200,15,931671.2727814815,0.0,325122.61048180045,0.0
T_q80_7200,16,1189854.9245166667,0.0,100601.12366460905,0.0
T_q80_7200,17,1510679.7116,0.0,75005.39014567906,0.0
T_q80_7200,18,964400.0385333333,568.4354166666665,41063.49989238686,3827.2756604166657
T_q80_7200,19,63463.28976666669,13042.412151722201,0.0,87917.92357360317
T_q80_7200,20,578688.5196333333,41521.01343757197,0.0,281309.7930313887
T_q80_7200,21,1734053.7555666666,4697.314789499994,14038.315,21289.948993734804
T_q80_7200,22,2320957.6786166667,0.0,55286.72458333335,0.0
T_q80_7200,23,2054099.2611999998,0.0,42899.15257901237,0.0
