start_time,end_time,load_kW,pv_kW,price_yuan_kWh
2025-01-01 00:00:00,2025-01-01 00:10:00,3529.7296,0.0,0.4527
2025-01-01 00:10:00,2025-01-01 00:20:00,3609.5287,0.0,0.4733
2025-01-01 00:20:00,2025-01-01 00:30:00,3726.56,0.0,0.4843
2025-01-01 00:30:00,2025-01-01 00:40:00,3510.6311,0.0,0.4541
2025-01-01 00:40:00,2025-01-01 00:50:00,3502.5625,0.0,0.4266
2025-01-01 00:50:00,2025-01-01 01:00:00,3787.01,0.0,0.4311
2025-01-01 01:00:00,2025-01-01 01:10:00,3900.3205,0.0,0.4544
2025-01-01 01:10:00,2025-01-01 01:20:00,3916.8376,0.0,0.4483
2025-01-01 01:20:00,2025-01-01 01:30:00,3817.28,0.0,0.4251
2025-01-01 01:30:00,2025-01-01 01:40:00,3533.0136,0.0,0.444
2025-01-01 01:40:00,2025-01-01 01:50:00,3694.6613,0.0,0.478
2025-01-01 01:50:00,2025-01-01 02:00:00,4064.73,0.0,0.4941
2025-01-01 02:00:00,2025-01-01 02:10:00,3810.671,0.0,0.484
2025-01-01 02:10:00,2025-01-01 02:20:00,3844.9495,0.0,0.4751
2025-01-01 02:20:00,2025-01-01 02:30:00,4234.62,0.0,0.488
2025-01-01 02:30:00,2025-01-01 02:40:00,4109.9755,0.0,0.5215
2025-01-01 02:40:00,2025-01-01 02:50:00,3996.8945,0.0,0.5498
2025-01-01 02:50:00,2025-01-01 03:00:00,4102.19,0.0,0.5471
2025-01-01 03:00:00,2025-01-01 03:10:00,4086.0577,0.0,0.5067
2025-01-01 03:10:00,2025-01-01 03:20:00,4133.7626,0.0,0.4769
2025-01-01 03:20:00,2025-01-01 03:30:00,4179.18,0.0,0.4669
2025-01-01 03:30:00,2025-01-01 03:40:00,3953.3711,0.0,0.4501
2025-01-01 03:40:00,2025-01-01 03:50:00,3910.7496,0.0,0.4608
2025-01-01 03:50:00,2025-01-01 04:00:00,4099.31,0.0,0.4927
2025-01-01 04:00:00,2025-01-01 04:10:00,4123.8623,0.0,0.4976
2025-01-01 04:10:00,2025-01-01 04:20:00,4169.0068,0.0,0.4889
2025-01-01 04:20:00,2025-01-01 04:30:00,4260.24,0.0,0.4885
2025-01-01 04:30:00,2025-01-01 04:40:00,4217.2222,0.0,0.5042
2025-01-01 04:40:00,2025-01-01 04:50:00,4261.857,0.0,0.5178
2025-01-01 04:50:00,2025-01-01 05:00:00,4341.9,0.0,0.5042
2025-01-01 05:00:00,2025-01-01 05:10:00,4208.2208,0.0021,0.4639
2025-01-01 05:10:00,2025-01-01 05:20:00,4302.1233,0.0,0.4899
2025-01-01 05:20:00,2025-01-01 05:30:00,4456.59,0.0,0.5194
2025-01-01 05:30:00,2025-01-01 05:40:00,4148.637,0.0299,0.4459
2025-01-01 05:40:00,2025-01-01 05:50:00,4498.1333,0.0,0.6726
2025-01-01 05:50:00,2025-01-01 06:00:00,5369.38,0.0,1.0693
2025-01-01 06:00:00,2025-01-01 06:10:00,5440.8991,0.4169,1.0696
2025-01-01 06:10:00,2025-01-01 06:20:00,5316.893,0.0,0.9974
2025-01-01 06:20:00,2025-01-01 06:30:00,5399.82,0.0,1.0451
2025-01-01 06:30:00,2025-01-01 06:40:00,5447.4007,5.8062,1.0684
2025-01-01 06:40:00,2025-01-01 06:50:00,5444.401,0.0,1.0267
2025-01-01 06:50:00,2025-01-01 07:00:00,5433.63,3.075,0.9814
2025-01-01 07:00:00,2025-01-01 07:10:00,5449.2818,175.7953,1.0187
2025-01-01 07:10:00,2025-01-01 07:20:00,5510.0042,421.496,1.0362
2025-01-01 07:20:00,2025-01-01 07:30:00,5476.0,677.1,0.967
2025-01-01 07:30:00,2025-01-01 07:40:00,5329.4215,950.8112,0.893
2025-01-01 07:40:00,2025-01-01 07:50:00,6084.1163,1255.5705,1.136
2025-01-01 07:50:00,2025-01-01 08:00:00,7316.0,1592.2875,1.5209
2025-01-01 08:00:00,2025-01-01 08:10:00,7469.4947,1937.5212,1.5206
2025-01-01 08:10:00,2025-01-01 08:20:00,7225.691,2225.1261,1.4132
2025-01-01 08:20:00,2025-01-01 08:30:00,7216.13,2490.1125,1.3895
2025-01-01 08:30:00,2025-01-01 08:40:00,7361.7004,2826.3146,1.361
2025-01-01 08:40:00,2025-01-01 08:50:00,7275.513,3122.1315,1.3028
2025-01-01 08:50:00,2025-01-01 09:00:00,7077.29,3350.9625,1.2562
2025-01-01 09:00:00,2025-01-01 09:10:00,7221.8762,3601.7977,1.2749
2025-01-01 09:10:00,2025-01-01 09:20:00,7229.5513,3875.6352,1.2735
2025-01-01 09:20:00,2025-01-01 09:30:00,7099.33,4149.825,1.2135
2025-01-01 09:30:00,2025-01-01 09:40:00,7297.1521,4403.4802,1.1586
2025-01-01 09:40:00,2025-01-01 09:50:00,7313.1756,4624.7505,1.2464
2025-01-01 09:50:00,2025-01-01 10:00:00,7099.46,4836.6375,1.3947
2025-01-01 10:00:00,2025-01-01 10:10:00,7125.5214,5080.7024,1.3761
2025-01-01 10:10:00,2025-01-01 10:20:00,7096.3104,5338.7528,1.3294
2025-01-01 10:20:00,2025-01-01 10:30:00,6986.17,5494.725,1.3646
2025-01-01 10:30:00,2025-01-01 10:40:00,7098.9702,5437.9778,1.4099
2025-01-01 10:40:00,2025-01-01 10:50:00,7193.993,5396.2126,1.1773
2025-01-01 10:50:00,2025-01-01 11:00:00,7135.18,5372.1,0.806
2025-01-01 11:00:00,2025-01-01 11:10:00,7042.947,5182.9722,0.7483
2025-01-01 11:10:00,2025-01-01 11:20:00,7069.1675,5131.5011,0.7981
2025-01-01 11:20:00,2025-01-01 11:30:00,7129.17,5294.775,0.7929
2025-01-01 11:30:00,2025-01-01 11:40:00,6971.0393,5434.7444,0.7713
2025-01-01 11:40:00,2025-01-01 11:50:00,6648.4937,5455.5011,0.726
2025-01-01 11:50:00,2025-01-01 12:00:00,6471.29,5331.7125,0.7133
2025-01-01 12:00:00,2025-01-01 12:10:00,6681.1855,5126.6533,0.8026
2025-01-01 12:10:00,2025-01-01 12:20:00,6585.2714,5118.4895,0.8183
2025-01-01 12:20:00,2025-01-01 12:30:00,6283.97,5302.575,0.7305
2025-01-01 12:30:00,2025-01-01 12:40:00,6547.9322,5399.7996,0.712
2025-01-01 12:40:00,2025-01-01 12:50:00,6747.6789,5377.6488,0.903
2025-01-01 12:50:00,2025-01-01 13:00:00,6682.36,5261.8125,1.1525
2025-01-01 13:00:00,2025-01-01 13:10:00,6790.9628,5097.6164,1.1607
2025-01-01 13:10:00,2025-01-01 13:20:00,6916.0165,5029.4534,1.1437
2025-01-01 13:20:00,2025-01-01 13:30:00,6834.78,5043.8625,1.1537
2025-01-01 13:30:00,2025-01-01 13:40:00,6546.5252,4973.5844,1.0571
2025-01-01 13:40:00,2025-01-01 13:50:00,6539.873,4769.7524,1.1423
2025-01-01 13:50:00,2025-01-01 14:00:00,6773.97,4478.625,1.3627
2025-01-01 14:00:00,2025-01-01 14:10:00,6736.8117,4209.3909,1.363
2025-01-01 14:10:00,2025-01-01 14:20:00,6623.3813,4060.4316,1.3215
2025-01-01 14:20:00,2025-01-01 14:30:00,6548.98,3934.425,1.3884
2025-01-01 14:30:00,2025-01-01 14:40:00,6398.5627,3648.1229,1.4736
2025-01-01 14:40:00,2025-01-01 14:50:00,6196.5854,3431.0164,1.2203
2025-01-01 14:50:00,2025-01-01 15:00:00,6154.69,3327.3375,0.8295
2025-01-01 15:00:00,2025-01-01 15:10:00,6459.5818,3139.1175,0.8782
2025-01-01 15:10:00,2025-01-01 15:20:00,6622.8857,2860.4253,0.974
2025-01-01 15:20:00,2025-01-01 15:30:00,6493.61,2505.0,0.9257
2025-01-01 15:30:00,2025-01-01 15:40:00,6375.0516,2089.695,0.9368
2025-01-01 15:40:00,2025-01-01 15:50:00,6354.113,1762.1562,0.9885
2025-01-01 15:50:00,2025-01-01 16:00:00,6404.25,1525.8,1.0236
2025-01-01 16:00:00,2025-01-01 16:10:00,6444.972,1249.2025,1.0256
2025-01-01 16:10:00,2025-01-01 16:20:00,6399.4586,968.2219,1.0518
2025-01-01 16:20:00,2025-01-01 16:30:00,6292.15,706.6125,1.0918
2025-01-01 16:30:00,2025-01-01 16:40:00,6236.9153,440.4383,1.0866
2025-01-01 16:40:00,2025-01-01 16:50:00,6299.9437,180.885,1.1196
2025-01-01 16:50:00,2025-01-01 17:00:00,6389.06,2.9625,1.1821
2025-01-01 17:00:00,2025-01-01 17:10:00,6325.1833,0.0,1.1719
2025-01-01 17:10:00,2025-01-01 17:20:00,6169.4734,5.9578,1.1271
2025-01-01 17:20:00,2025-01-01 17:30:00,6191.99,0.0,1.1001
2025-01-01 17:30:00,2025-01-01 17:40:00,6464.5067,0.0,1.1206
2025-01-01 17:40:00,2025-01-01 17:50:00,5764.0309,0.4277,1.2125
2025-01-01 17:50:00,2025-01-01 18:00:00,4529.45,0.0,1.3246
2025-01-01 18:00:00,2025-01-01 18:10:00,4490.5328,0.0,1.3543
2025-01-01 18:10:00,2025-01-01 18:20:00,4644.0206,0.0307,1.2951
2025-01-01 18:20:00,2025-01-01 18:30:00,4469.21,0.0,1.2214
2025-01-01 18:30:00,2025-01-01 18:40:00,4470.465,0.0,1.2363
2025-01-01 18:40:00,2025-01-01 18:50:00,4510.8756,0.0022,1.3339
2025-01-01 18:50:00,2025-01-01 19:00:00,4486.17,0.0,1.4613
2025-01-01 19:00:00,2025-01-01 19:10:00,4471.7293,0.0,1.5521
2025-01-01 19:10:00,2025-01-01 19:20:00,4439.8235,0.0,1.5622
2025-01-01 19:20:00,2025-01-01 19:30:00,4387.19,0.0,1.5218
2025-01-01 19:30:00,2025-01-01 19:40:00,4347.9765,0.0,1.5047
2025-01-01 19:40:00,2025-01-01 19:50:00,4300.6345,0.0,1.4843
