start_minute,end_minute,price_yuan_kWh,load_kW,pv_kW
0,10,0.4248,3439.8466,0.0
10,20,0.4245,3437.9792,0.0
20,30,0.4269,3444.3031,0.0
30,40,0.4272,3454.4437,0.0
40,50,0.4271,3458.8273,0.0
50,60,0.4285,3459.8401,0.0
60,70,0.4311,3467.1582,0.0
70,80,0.4302,3467.9632,0.0
80,90,0.4279,3466.9683,0.0
90,100,0.4312,3482.4927,0.0
100,110,0.4333,3495.0841,0.0
110,120,0.4311,3498.4443,0.0
120,130,0.4293,3505.2295,0.0
130,140,0.4324,3512.6387,0.0
140,150,0.4367,3516.8685,0.0
150,160,0.4348,3517.9246,0.0
160,170,0.4335,3518.5518,0.0
170,180,0.4357,3521.0976,0.0
180,190,0.4374,3526.9261,0.0
190,200,0.4371,3537.2854,0.0
200,210,0.4356,3544.8808,0.0
210,220,0.4353,3541.2787,0.0
220,230,0.436,3546.3976,0.0
230,240,0.4378,3560.207,0.0
240,250,0.4401,3561.9581,0.0
250,260,0.4389,3556.7183,0.0
260,270,0.4364,3560.0272,0.0
270,280,0.4393,3580.654,0.5994
280,290,0.4422,3586.916,0.2345
290,300,0.4395,3571.2635,0.2885
300,310,0.4333,3562.3171,18.6781
310,320,0.4439,3591.3809,54.4698
320,330,0.4301,3579.7045,108.9718
330,340,0.3713,3486.119,184.1603
340,350,0.5708,3823.8994,277.0582
350,360,0.9099,4398.0727,388.5494
360,370,0.9368,4454.0123,521.2803
370,380,0.8758,4371.7919,672.7677
380,390,0.8759,4392.953,844.2261
390,400,0.8601,4384.5956,1039.6744
400,410,0.8442,4434.7757,1259.3375
410,420,0.8334,4523.4561,1508.6318
420,430,0.8092,4524.0721,1791.4107
430,440,0.7972,4545.8867,2085.4865
440,450,0.7644,4523.2418,2381.2611
450,460,0.6899,4383.3566,2683.1752
460,470,0.86,4910.4599,2986.3552
470,480,1.1617,5799.7327,3289.204
480,490,1.1683,5884.826,3593.3613
490,500,1.0956,5748.0713,3890.7332
500,510,1.0849,5769.0581,4181.3417
510,520,1.061,5754.2105,4471.7657
520,530,1.043,5824.1807,4752.8272
530,540,1.036,5954.2601,5021.9074
540,550,1.0147,5958.9696,5285.4126
550,560,0.9922,5929.5554,5543.1742
560,570,0.97,5923.7828,5788.4093
570,580,0.9422,5907.586,6012.1304
580,590,0.9569,5899.1262,6216.1528
590,600,0.9977,5902.2196,6409.5941
600,610,0.9919,5897.4793,6599.3808
610,620,0.9588,5886.7568,6766.7204
620,630,0.9549,5873.4708,6914.5923
630,640,0.9839,5858.0308,7064.2053
640,650,0.799,5844.9948,7197.4315
650,660,0.5025,5839.0587,7303.1142
660,670,0.4662,5838.7103,7387.6848
670,680,0.5007,5823.4378,7459.227
680,690,0.4827,5814.7932,7520.7191
690,700,0.4785,5832.3951,7568.2039
700,710,0.4662,5712.901,7592.1539
710,720,0.4432,5519.4607,7601.0433
720,730,0.4411,5494.7907,7612.316
730,740,0.4551,5514.4524,7602.6524
740,750,0.4463,5485.829,7554.1872
750,760,0.4113,5462.3628,7472.7384
760,770,0.5682,5566.1066,7393.4172
770,780,0.8279,5725.7548,7312.7979
780,790,0.8636,5739.4957,7194.541
790,800,0.8416,5714.6836,7053.1371
800,810,0.8618,5717.8505,6910.4064
810,820,0.8623,5708.2486,6772.4075
820,830,0.9026,5696.9182,6607.36
830,840,0.9754,5692.2983,6412.5085
840,850,1.0002,5687.1291,6214.0158
850,860,0.9978,5678.962,6000.7112
860,870,1.0271,5669.4508,5766.9816
870,880,1.0906,5664.1948,5521.5066
880,890,0.9376,5672.7011,5268.781
890,900,0.6694,5682.2544,5009.7152
900,910,0.66,5669.0195,4743.4484
910,920,0.7217,5656.3651,4471.224
920,930,0.7308,5657.0867,4188.2025
930,940,0.7534,5662.6008,3889.3931
940,950,0.7823,5669.2596,3594.5946
950,960,0.8055,5673.4767,3303.8878
960,970,0.8271,5671.0146,2998.4247
970,980,0.8519,5661.5926,2687.4131
980,990,0.8791,5665.8922,2383.1779
990,1000,0.9024,5689.0372,2089.1246
1000,1010,0.9163,5603.6614,1791.0829
1010,1020,0.9264,5466.7124,1501.7283
1020,1030,0.9462,5467.3939,1255.1723
1030,1040,0.9742,5464.727,1036.3323
1040,1050,0.9862,5492.4458,836.7775
1050,1060,0.976,5621.7308,665.2313
1060,1070,1.0742,5091.2126,516.6758
1070,1080,1.2313,4208.5688,386.6731
1080,1090,1.2561,4122.7611,275.7933
1090,1100,1.2447,4255.9358,182.9526
1100,1110,1.2545,4225.9524,108.3414
1110,1120,1.2522,4233.3384,54.3121
1120,1130,1.2881,4246.4625,18.6569
1130,1140,1.3466,4239.1795,0.2753
1140,1150,1.3523,4244.6684,0.2296
1150,1160,1.3445,4251.9187,0.6007
1160,1170,1.3483,4256.6813,0.0
1170,1180,1.349,4267.3947,0.0
1180,1190,1.3473,4269.975,0.0
1190,1200,1.3482,4268.6702,0.0
1200,1210,1.3513,4282.2245,0.0
1210,1220,1.34,4291.7049,0.0
1220,1230,1.3489,4291.3611,0.0
1230,1240,1.3952,4293.9182,0.0
1240,1250,1.2226,4295.2135,0.0
1250,1260,0.9332,4302.0307,0.0
1260,1270,0.9068,4320.9618,0.0
1270,1280,0.9371,4302.3292,0.0
1280,1290,0.9371,4322.6758,0.0
1290,1300,0.9871,4428.8083,0.0
1300,1310,0.7764,4030.1614,0.0
1310,1320,0.4209,3362.7419,0.0
1320,1330,0.3859,3309.3934,0.0
1330,1340,0.4368,3412.9563,0.0
1340,1350,0.4198,3381.9313,0.0
1350,1360,0.4186,3386.5592,0.0
1360,1370,0.4241,3400.4846,0.0
1370,1380,0.4237,3399.2426,0.0
1380,1390,0.4248,3406.9809,0.0
1390,1400,0.424,3416.1518,0.0
1400,1410,0.422,3421.9811,0.0
1410,1420,0.424,3429.6923,0.0
1420,1430,0.4271,3439.061,0.0
1430,1440,0.4276,3444.7259,0.0
