hour,emergency_kWh,emergency_cost_yuan
0,329.6414476666666,702.0071129758331
1,1396.1810230000003,3006.611686759834
2,1530.0726999999997,3318.9046279166664
3,1231.7434674999997,2689.3919661308328
4,1223.3391711666663,2685.6653139522496
5,1232.3593183333346,3919.206419049173
6,7190.9648819053455,31417.08278039214
7,15267.88932948204,67203.32148488001
8,36942.93093129445,197727.01315588158
9,48355.36904949998,237261.65439073465
10,20105.140273166682,95768.75091143422
11,340.67488333333324,819.1710992749998
15,1427.0165223333356,5429.603069722675
16,2650.386919833334,11840.17882452742
17,2476.3271666666665,12866.060154124998
18,5919.154783333332,39117.57687098332
19,61948.698577644034,417573.8786695234
20,273407.345750589,1850537.8340382595
21,22738.646681166665,100365.09846109607
22,6593.301506333332,13781.537679852914
23,7016.371666946243,14901.348492918785
