threshold,true_positive,false_positive,true_negative,false_negative,sensitivity,specificity,precision,youden_j
0.05,57,281,256,10,0.8507462686567164,0.4767225325884544,0.16863905325443787,0.32746880124517075
0.1,49,149,388,18,0.7313432835820896,0.7225325884543762,0.2474747474747475,0.45387587203646573
0.15000000000000002,43,86,451,24,0.6417910447761194,0.839851024208566,0.3333333333333333,0.4816420689846854
0.2,38,51,486,29,0.5671641791044776,0.9050279329608939,0.42696629213483145,0.47219211206537137
0.25,32,33,504,35,0.47761194029850745,0.9385474860335196,0.49230769230769234,0.41615942633202696
0.3,26,21,516,41,0.3880597014925373,0.9608938547486033,0.5531914893617021,0.34895355624114055
0.35000000000000003,24,14,523,43,0.3582089552238806,0.9739292364990689,0.631578947368421,0.33213819172294956
0.4,21,10,527,46,0.31343283582089554,0.9813780260707635,0.6774193548387096,0.29481086189165895
0.45,19,8,529,48,0.2835820895522388,0.9851024208566108,0.7037037037037037,0.26868451040884955
0.5,17,5,532,50,0.2537313432835821,0.9906890130353817,0.7727272727272727,0.24442035631896375
