bmi_group,q,bmi_used_for_conservative_group_decision,continuous_threshold_week,recommended_complete_week,status,bootstrap_replicate
20-<28,0.9,27.97521095,17.68542299999176,18.0,within_window,0
28-<32,0.9,31.99217133,18.911635889621504,19.0,within_window,0
32-<36,0.9,35.9610279813552,20.123164688166554,21.0,within_window,0
36-<40,0.9,39.89611954,21.324386391797955,22.0,within_window,0
40+,0.9,46.875,23.45475173417087,24.0,within_window,0
20-<28,0.9,27.97521095,12.863408456428722,13.0,within_window,1
28-<32,0.9,31.99217133,17.295105389297508,18.0,within_window,1
32-<36,0.9,35.9610279813552,21.673732058452433,22.0,within_window,1
36-<40,0.9,39.89611954,26.015107511850356,,beyond_25_week_window,1
40+,0.9,46.875,33.71453200292285,,beyond_25_week_window,1
20-<28,0.9,27.97521095,14.326591449620018,15.0,within_window,2
28-<32,0.9,31.99217133,17.611888610356804,18.0,within_window,2
32-<36,0.9,35.9610279813552,20.857843823902762,21.0,within_window,2
36-<40,0.9,39.89611954,24.076184036871222,25.0,within_window,2
40+,0.9,46.875,29.78390679025308,,beyond_25_week_window,2
20-<28,0.9,27.97521095,14.418543849376196,15.0,within_window,3
28-<32,0.9,31.99217133,16.855257680902575,17.0,within_window,3
32-<36,0.9,35.9610279813552,19.26279148329041,20.0,within_window,3
36-<40,0.9,39.89611954,21.649843164709402,22.0,within_window,3
40+,0.9,46.875,25.88327664095673,,beyond_25_week_window,3
20-<28,0.9,27.97521095,12.577694511570472,13.0,within_window,4
28-<32,0.9,31.99217133,16.773792116071476,17.0,within_window,4
32-<36,0.9,35.9610279813552,20.919640795654278,21.0,within_window,4
36-<40,0.9,39.89611954,25.03021862085094,,beyond_25_week_window,4
40+,0.9,46.875,32.32032377750296,,beyond_25_week_window,4
20-<28,0.9,27.97521095,21.935712065184028,22.0,within_window,5
28-<32,0.9,31.99217133,20.19272451461959,21.0,within_window,5
32-<36,0.9,35.9610279813552,18.47060951250773,19.0,within_window,5
36-<40,0.9,39.89611954,16.763145423193237,17.0,within_window,5
40+,0.9,46.875,13.734959778340695,14.0,within_window,5
20-<28,0.9,27.97521095,17.752144763687642,18.0,within_window,6
28-<32,0.9,31.99217133,18.21336763679371,19.0,within_window,6
32-<36,0.9,35.9610279813552,18.669067293877248,19.0,within_window,6
36-<40,0.9,39.89611954,19.120890080990122,20.0,within_window,6
40+,0.9,46.875,19.922197286520735,20.0,within_window,6
20-<28,0.9,27.97521095,16.132709923548123,17.0,within_window,7
28-<32,0.9,31.99217133,18.905501169206996,19.0,within_window,7
32-<36,0.9,35.9610279813552,21.645087806143824,22.0,within_window,7
36-<40,0.9,39.89611954,24.36136737887798,25.0,within_window,7
40+,0.9,46.875,29.178686150637375,,beyond_25_week_window,7
20-<28,0.9,27.97521095,14.078526525953585,15.0,within_window,8
28-<32,0.9,31.99217133,17.58820095074717,18.0,within_window,8
32-<36,0.9,35.9610279813552,21.05584647552908,22.0,within_window,8
36-<40,0.9,39.89611954,24.493990966911085,25.0,within_window,8
40+,0.9,46.875,30.591536361210864,,beyond_25_week_window,8
20-<28,0.9,27.97521095,14.118573277336157,15.0,within_window,9
28-<32,0.9,31.99217133,17.732096911057834,18.0,within_window,9
32-<36,0.9,35.9610279813552,21.302348034253,22.0,within_window,9
36-<40,0.9,39.89611954,24.84222520576288,25.0,within_window,9
40+,0.9,46.875,31.120193394019793,,beyond_25_week_window,9
20-<28,0.9,27.97521095,21.170857303462682,22.0,within_window,10
28-<32,0.9,31.99217133,21.362558425046416,22.0,within_window,10
32-<36,0.9,35.9610279813552,21.551963895724683,22.0,within_window,10
36-<40,0.9,39.89611954,21.7397579972256,22.0,within_window,10
40+,0.9,46.875,22.072810625337603,23.0,within_window,10
20-<28,0.9,27.97521095,21.89365952577603,22.0,within_window,11
28-<32,0.9,31.99217133,22.12096900793425,23.0,within_window,11
32-<36,0.9,35.9610279813552,22.345556423501378,23.0,within_window,11
36-<40,0.9,39.89611954,22.56823315909834,23.0,within_window,11
40+,0.9,46.875,22.963150099605166,23.0,within_window,11
20-<28,0.9,27.97521095,18.66955444539235,19.0,within_window,12
28-<32,0.9,31.99217133,18.947615531180013,19.0,within_window,12
32-<36,0.9,35.9610279813552,19.222346791987572,20.0,within_window,12
36-<40,0.9,39.89611954,19.494740773496208,20.0,within_window,12
40+,0.9,46.875,19.977831193793037,20.0,within_window,12
20-<28,0.9,27.97521095,16.241265521033114,17.0,within_window,13
28-<32,0.9,31.99217133,18.121209487241565,19.0,within_window,13
32-<36,0.9,35.9610279813552,19.97864083050552,20.0,within_window,13
36-<40,0.9,39.89611954,21.820270055674055,22.0,within_window,13
