model,fold,test_rows,test_abnormal_rows,test_mothers,roc_auc,average_precision,brier_score
autosomal_z,1,121,14,30,0.6154873164218959,0.2362762905608071,0.10105060105667625
autosomal_z,2,121,13,28,0.38461538461538464,0.08981014151068452,0.09899848944488109
autosomal_z,3,121,12,29,0.441131498470948,0.10596381467820437,0.09113652152929141
autosomal_z,4,121,14,30,0.5854472630173565,0.15965653719019565,0.10157882220754684
autosomal_z,5,120,14,30,0.4845013477088949,0.11462325485691545,0.10519320141141326
extended,1,121,14,30,0.8411214953271028,0.564141656662665,0.0739320300445708
extended,2,121,13,28,0.7955840455840456,0.44258482619048467,0.07805647790178068
extended,3,121,12,29,0.8577981651376146,0.5826222249240542,0.06296681625080373
extended,4,121,14,30,0.7910547396528704,0.4897279774481256,0.08219916841055688
extended,5,120,14,30,0.7560646900269542,0.6010224506592372,0.07475764736676155
