bmi_group,q,bmi_used_for_conservative_group_decision,continuous_threshold_week,recommended_complete_week,status
20-<28,0.8,27.97521095,10.269962891725891,11.0,within_window
28-<32,0.8,31.99217133,12.68121391753106,13.0,within_window
32-<36,0.8,35.9610279813552,15.063589835277577,16.0,within_window
36-<40,0.8,39.89611954,17.425697663042495,18.0,within_window
40+,0.8,46.875,21.614893242847206,22.0,within_window
20-<28,0.85,27.97521095,12.815398214206956,13.0,within_window
28-<32,0.85,31.99217133,15.226649240012126,16.0,within_window
32-<36,0.85,35.9610279813552,17.609025157758644,18.0,within_window
36-<40,0.85,39.89611954,19.97113298552356,20.0,within_window
40+,0.85,46.875,24.16032856532827,25.0,within_window
20-<28,0.9,27.97521095,16.196264195698888,17.0,within_window
28-<32,0.9,31.99217133,18.60751522150406,19.0,within_window
32-<36,0.9,35.9610279813552,20.989891139250577,21.0,within_window
36-<40,0.9,39.89611954,23.351998967015493,24.0,within_window
40+,0.9,46.875,27.541194546820204,,beyond_25_week_window
20-<28,0.95,27.97521095,21.656928498695507,22.0,within_window
28-<32,0.95,31.99217133,24.068179524500678,25.0,within_window
32-<36,0.95,35.9610279813552,26.450555442247193,,beyond_25_week_window
36-<40,0.95,39.89611954,28.81266327001211,,beyond_25_week_window
40+,0.95,46.875,33.00185884981682,,beyond_25_week_window
