province,topsis_score_3d_balanced,distance_to_pressure_ideal_3d,distance_to_low_pressure_ideal_3d,provisional_level_3d
内蒙古,0.9708832314416607,0.01676504615741233,0.5590215877137666,I-高压力
山西,0.8486606302254287,0.08927542353857836,0.5006267524223711,I-高压力
新疆,0.8448097287218678,0.09011435460039939,0.4905557728388153,I-高压力
河北,0.8057415417129137,0.11995430855769973,0.49754420149648987,I-高压力
宁夏,0.7769505874768063,0.1447947684402411,0.5043652844928043,I-高压力
辽宁,0.756140498207689,0.1431497296927591,0.44386750211753195,I-高压力
山东,0.7350357080650923,0.17130886700353828,0.475226806737823,I-高压力
江苏,0.709005836963471,0.18942059582200846,0.46152234353251803,I-高压力
陕西,0.6813551725160337,0.194745529909701,0.4164224951526241,II-较高压力
安徽,0.6617041219716174,0.20883733820318445,0.40848421895058995,II-较高压力
黑龙江,0.6277068060400297,0.21643787099268333,0.3649261574240037,II-较高压力
浙江,0.6232917985116859,0.23579082870854942,0.39013350152099546,II-较高压力
河南,0.6137209564225538,0.24039291123107706,0.38193676268735793,II-较高压力
甘肃,0.6089921026320284,0.23542252472158764,0.3666689581009066,II-较高压力
吉林,0.6068072883057705,0.2418043580410618,0.3731723463824513,II-较高压力
广西,0.6063305628434909,0.24423674481391072,0.37617399008601693,III-中压力
广东,0.5967969083805128,0.2654728299603725,0.39293687839301933,III-中压力
福建,0.5928086094722795,0.2535592763419012,0.3691436644380797,III-中压力
湖北,0.5658666857588391,0.2612234763333005,0.34048910310765657,III-中压力
天津,0.5549622484623948,0.2665729711648897,0.33241659824552616,III-中压力
江西,0.5328676349424294,0.2879072661802837,0.32842182534991093,III-中压力
贵州,0.5230549245479895,0.2755872805141616,0.30223036495158095,III-中压力
云南,0.5090152838045352,0.29631926705662387,0.30720108150481057,III-中压力
四川,0.4811902350020097,0.3200636392162625,0.2968554336494965,IV-低压力
湖南,0.47849034721975736,0.31305136727436267,0.28722777541348793,IV-低压力
重庆,0.46760564280760936,0.3238217427652011,0.28441487430356716,IV-低压力
青海,0.43378551009740124,0.36416221192423714,0.2789901948375202,IV-低压力
上海,0.400238959906644,0.3482844351263669,0.23242089890492423,IV-低压力
海南,0.3360897420522263,0.4325476635896883,0.2189675953050079,IV-低压力
北京,0.08674044883094571,0.5459560185291624,0.05185433870202083,IV-低压力
