province,topsis_score_4d,distance_to_pressure_ideal_4d,distance_to_low_pressure_ideal_4d,provisional_level_4d
内蒙古,0.9653230321207742,0.018287823865337862,0.5090888466968466,I-高压力
山西,0.8246501001164876,0.0935745773182629,0.44007030859513613,I-高压力
新疆,0.8166055647446883,0.09650581681471376,0.4297141673432769,I-高压力
河北,0.7835332721060869,0.12449210655200518,0.4506175547028037,I-高压力
辽宁,0.7353109592155852,0.1421440257402519,0.39487868331866227,I-高压力
山东,0.7243397172837183,0.16618804277253843,0.4366845986358158,I-高压力
宁夏,0.717781381810272,0.16351858209330528,0.4158853677317771,I-高压力
江苏,0.7004256347980502,0.1795673338207343,0.41984087555553823,I-高压力
陕西,0.635156717947642,0.19881810439831812,0.34612300916667305,II-较高压力
安徽,0.6273387595704812,0.20888556625745186,0.3516384260329627,II-较高压力
河南,0.6041186485859018,0.23107149860159523,0.35261727020805445,II-较高压力
浙江,0.6026087020082435,0.22615962143978355,0.342951032423792,II-较高压力
广东,0.5915752093211174,0.25069743268128325,0.36311798303962506,II-较高压力
黑龙江,0.5875517498367887,0.2199538608424965,0.3133345232286149,II-较高压力
湖北,0.5585912096021018,0.24442632553264018,0.30931508345087266,II-较高压力
福建,0.5458693535486946,0.2511761868302458,0.3019161640009558,III-中压力
广西,0.5443470835415287,0.25492858561459825,0.30455117717505287,III-中压力
甘肃,0.5344443883288423,0.2535353045736635,0.29105120285468356,III-中压力
吉林,0.5250659364323911,0.25961060511979084,0.28701391612353355,III-中压力
贵州,0.5139265440339448,0.2603884418671646,0.27530927762597457,III-中压力
天津,0.486593397828583,0.274634697544103,0.2602916091737206,III-中压力
湖南,0.48628564800245716,0.28722112656931703,0.27188555490157723,III-中压力
江西,0.47504451120638175,0.29111060662428273,0.2634328029384476,III-中压力
四川,0.47325913728461355,0.30366661462108996,0.2728343484059041,IV-低压力
云南,0.4631168700730246,0.2960190186901344,0.255346822755466,IV-低压力
重庆,0.4055489616890713,0.32357994133739887,0.2207541088760853,IV-低压力
上海,0.399891695088258,0.31738298262353926,0.21149318860394742,IV-低压力
青海,0.3481053106167525,0.38661375481766164,0.20644791774088286,IV-低压力
海南,0.23756267165242323,0.4524154596449686,0.14096506203736345,IV-低压力
北京,0.10833108298183813,0.4815373947195546,0.058503180351591966,IV-低压力
