group_type,strategy_id,publication_hour,version,age_bin,age_lower_h,age_upper_h,clock_hours,n_intervals_self,n_emergency_self,days_with_emergency_self,emergency_kWh_self,emergency_cost_yuan_self,emergency_rate_self,mean_kWh_per_interval_self,n_intervals_L80,n_emergency_L80,days_with_emergency_L80,emergency_kWh_L80,emergency_cost_yuan_L80,emergency_rate_L80,mean_kWh_per_interval_L80,d_emergency_kWh_self_minus_L80,n_paired_all,pv_mae_kW_all,net_mae_kWh_all,mean_a_load_kWh_all,mean_a_pv_kWh_all,mean_eps_kWh_all,mean_g_kWh_all,mean_pos_a_load_kWh_all,mean_pos_a_pv_kWh_all,share_load_under_all,share_pv_over_all,share_g_positive_all,pv_prominent_share_all,n_paired_em,pv_mae_kW_em,net_mae_kWh_em,mean_a_load_kWh_em,mean_a_pv_kWh_em,mean_eps_kWh_em,mean_g_kWh_em,mean_pos_a_load_kWh_em,mean_pos_a_pv_kWh_em,share_load_under_em,share_pv_over_em,share_g_positive_em,pv_prominent_share_em,n_em_emsoc,mean_state_start_kWh_emsoc,median_state_start_kWh_emsoc,median_state_end_kWh_emsoc,mean_state_end_kWh_emsoc,intervals_start_at_floor_emsoc,intervals_start_above_floor_emsoc,inventory_limited_share_emsoc,power_limited_share_emsoc,close_share_emsoc,mean_need_kWh_emsoc,mean_cap_kWh_emsoc,energy_share_pct,cost_share_pct,n_intervals_L75,n_emergency_L75,days_with_emergency_L75,emergency_kWh_L75,emergency_cost_yuan_L75,emergency_rate_L75,mean_kWh_per_interval_L75,d_emergency_kWh_self_minus_L75
node_age,L75,0,0,"[0,1)",0.0,1.0,0,1670,0,0,0.0,0.0,0.0,0.0,1670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1670.0,0.0,23.20903877873075,0.6279514843905197,0.0,0.6279514843905183,-17.275266603053716,11.918495131560634,0.0,0.5335329341317365,0.0,0.28502994011976046,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
node_age,L75,0,0,"[1,2)",1.0,2.0,1,2004,0,0,0.0,0.0,0.0,0.0,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,0.0,23.83772693956924,0.2666081974450313,0.0,0.26660819744503106,-17.47931251275059,12.052167568507134,0.0,0.5164670658682635,0.0,0.29241516966067865,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
node_age,L75,0,0,"[2,3)",2.0,3.0,2,2004,0,0,0.0,0.0,0.0,0.0,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,0.0,22.848379409112827,0.6619450366666452,0.0,0.6619450366666445,-16.308217446484402,11.755162222889735,0.0,0.5234530938123753,0.0,0.2879241516966068,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
node_age,L75,0,0,"[3,4)",3.0,4.0,3,2004,0,0,0.0,0.0,0.0,0.0,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,0.0008103293413173654,22.65070012307449,0.6496040419391431,-0.00013505489021956087,0.649468987048923,-16.395452149855927,11.65015283516816,0.0,0.5144710578842315,0.0,0.29141716566866266,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
node_age,L75,0,0,"[4,5)",4.0,5.0,4,2004,0,0,0.0,0.0,0.0,0.0,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,0.2523135978043912,22.207724105062912,0.45812533873504296,-0.001408325016633398,0.4567170137184086,-15.653661329853204,11.335504722525151,0.020321970642049235,0.5194610778443114,0.05439121756487026,0.2749500998003992,0.030439121756487025,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
node_age,L75,0,0,"[5,6)",5.0,6.0,5,2004,0,0,0.0,0.0,0.0,0.0,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,94.1701494261477,28.79723997373512,0.8354620886992092,15.658043005655355,16.49350509435456,-15.751966791722685,11.20483399228251,15.67653395500665,0.49251497005988026,0.5429141716566867,0.2879241516966068,0.4411177644710579,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
node_age,L75,6,1,"[0,1)",0.0,1.0,6,2004,43,25,705.049341102306,3180.283144141071,0.021457085828343315,0.3518210284941647,2004.0,37.0,23.0,544.3740682698012,2459.771274931422,0.018463073852295408,0.2716437466416174,160.6752728325048,2004.0,170.3742203925482,36.22376245219703,1.2602042244876175,28.069548644377907,29.329752868865523,-17.064036909964802,11.545220286000351,28.23262602156797,0.5169660678642715,0.9181636726546906,0.28892215568862273,0.7629740518962076,43.0,232.27883178294576,56.77691534573911,18.06377671524818,38.71313863049095,56.77691534573911,22.72381053955544,19.334178838689066,38.71313863049095,0.7906976744186046,1.0,1.0,0.6976744186046512,43.0,9583.832488578852,9874.074074074077,8948.14814814815,8657.906562652926,0.0,43.0,0.0,1.0,0.0,849.7298296380382,7545.449239720965,1.9302208420389986,1.7075648197280826,,,,,,,,
node_age,L75,6,1,"[1,2)",1.0,2.0,7,2004,6,3,257.5093546636207,1038.8427399721486,0.0029940119760479044,0.1284976819678746,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,257.5093546636207,2004.0,167.1521618263473,35.6825694152254,0.9542111545854512,25.92700452428476,26.881215678870213,-18.634795943572943,11.600261377971306,26.892849081004655,0.5184630738522954,0.9216566866267465,0.29191616766467066,0.7544910179640718,6.0,75.60357638888877,28.6235117072262,20.01262860537436,8.61088310185183,28.6235117072262,-12.747201772163644,24.098281316206638,10.605739583333312,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.3333333333333333,6.0,1243.166887232137,1204.8599838371777,1200.0,1200.0,3.0,3.0,1.0,0.0,0.0,81.76842428619332,38.85019850892321,0.7049860122053624,0.5577777938654142,,,,,,,,
node_age,L75,6,1,"[2,3)",2.0,3.0,8,2004,24,13,1175.661817717318,6480.6855118128,0.011976047904191617,0.5866575936713163,2004.0,15.0,8.0,491.31646331144395,2842.0980066092934,0.0074850299401197605,0.24516789586399398,684.345354405874,2004.0,166.83010117265468,35.64391534303122,1.2826032008894395,20.064996024617432,21.347599225506873,-22.009443138183656,11.698455626284069,23.935006443363275,0.5199600798403193,0.7969061876247505,0.281437125748503,0.6482035928143712,24.0,207.80595381944434,90.51439246774866,56.671709192285675,33.84268327546295,90.51439246774866,46.40385813235673,56.70110375089198,34.238504456018504,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.3333333333333333,24.0,7257.102892680462,8831.100930823472,7905.175004897545,6547.005897624268,3.0,21.0,0.25,0.75,0.0,688.0732046221315,5451.392603412417,3.218621465838852,3.4796243246705543,,,,,,,,
node_age,L75,6,1,"[3,4)",3.0,4.0,9,2004,40,14,3723.1284763130034,18170.873685093968,0.01996007984031936,1.857848541074353,2004.0,19.0,7.0,1697.2966426187822,8209.666444555533,0.009481037924151697,0.8469544124844223,2025.8318336942211,2004.0,207.33131975216236,40.9690493374795,1.4485176776774509,10.193318471390551,11.641836149068002,-29.833705752863924,11.490094906457411,22.37426921504214,0.5139720558882236,0.6307385229540918,0.27095808383233533,0.5079840319361277,40.0,352.3396727083333,83.05637931072657,33.16568512638274,43.38211135416667,76.54779648054941,37.92822686757232,36.28289919341811,51.05269506944444,0.75,0.9,0.85,0.65,40.0,1245.0824907351036,1200.0,1200.0,1200.0,28.0,12.0,1.0,0.0,0.0,133.65245356941824,40.57424166159318,10.192847171990293,9.75634660251902,,,,,,,,
node_age,L75,6,1,"[4,5)",4.0,5.0,10,2004,36,12,6353.197839420677,30918.428052334923,0.017964071856287425,3.1702584029045293,2004.0,23.0,7.0,5064.025274692582,24768.25374797875,0.011477045908183632,2.526958719906478,1289.1725647280955,2004.0,268.5080604374584,50.477542298219696,1.4325553197340828,4.018582900864935,5.4511382205990175,-37.24532127576238,11.304749993209311,24.384963153554,0.5224550898203593,0.5444111776447106,0.2774451097804391,0.47005988023952094,36.0,276.5227960648148,93.09232929312473,56.43211374528527,36.660215547839485,93.09232929312473,64.62953804223004,58.17866633943922,41.37367411265431,0.8333333333333334,0.7777777777777778,0.9166666666666666,0.5,36.0,1228.66067531502,1200.0,1200.0,1200.0,30.0,6.0,1.0,0.0,0.0,202.2723255452033,25.79460778351786,17.3932151529626,16.600792329049018,,,,,,,,
node_age,L75,6,1,"[5,6)",5.0,6.0,11,2004,0,0,0.0,0.0,0.0,0.0,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,334.80757091650037,60.18719180123415,1.1482338556138012,-5.366707526613441,-4.21847367099964,-43.58333750910379,11.981738616393766,25.21727714640164,0.5189620758483033,0.48353293413173654,0.2844311377245509,0.42065868263473055,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
node_age,L75,12,2,"[0,1)",0.0,1.0,12,2004,0,0,0.0,0.0,0.0,0.0,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,281.4600528942116,51.53110184964243,0.6583652419015855,-14.664085986360611,-14.00572074445903,-37.98520837200447,11.584100578598317,16.12296141467066,0.49700598802395207,0.4101796407185629,0.281437125748503,0.3498003992015968,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
node_age,L75,12,2,"[1,2)",1.0,2.0,13,2004,0,0,0.0,0.0,0.0,0.0,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,187.33030383399867,39.93258991786732,0.765679025917242,-17.008061343978714,-16.24238231806147,-29.44739813882733,12.109267953071127,7.106827980843867,0.5299401197604791,0.29291417165668665,0.26996007984031933,0.2120758483033932,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
node_age,L75,12,2,"[2,3)",2.0,3.0,14,2004,0,0,0.0,0.0,0.0,0.0,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,203.06852991516965,41.615159658940975,0.31682496587371656,-24.263316741516967,-23.946491775643253,-27.96635151754566,12.08543978317943,4.790719122172322,0.5154690618762475,0.21706586826347304,0.27844311377245506,0.15718562874251496,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
node_age,L75,12,2,"[3,4)",3.0,4.0,15,2004,0,0,0.0,0.0,0.0,0.0,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,192.17300432468394,40.31823856705637,0.02494334513965499,-25.309116175981366,-25.284172830841708,-27.314048027786242,12.130516025851467,3.3598589390663127,0.5164670658682635,0.18163672654690619,0.281936127744511,0.12125748502994012,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
