month,clock_hour,n_intervals,n_midnight,n_intervals_L75,n_emergency_L75,days_with_emergency_L75,emergency_kWh_L75,emergency_cost_yuan_L75,emergency_rate_L75,mean_kWh_per_interval_L75,n_intervals_L80,n_emergency_L80,days_with_emergency_L80,emergency_kWh_L80,emergency_cost_yuan_L80,emergency_rate_L80,mean_kWh_per_interval_L80,d_emergency_kWh_L75_minus_L80,d_emergency_cost_yuan_L75_minus_L80,n_paired_all,pv_mae_kW_all,net_mae_kWh_all,mean_a_load_kWh_all,mean_a_pv_kWh_all,mean_eps_kWh_all,mean_g_kWh_all,mean_pos_a_load_kWh_all,mean_pos_a_pv_kWh_all,share_load_under_all,share_pv_over_all,share_g_positive_all,pv_prominent_share_all,n_paired_em,pv_mae_kW_em,net_mae_kWh_em,mean_a_load_kWh_em,mean_a_pv_kWh_em,mean_eps_kWh_em,mean_g_kWh_em,mean_pos_a_load_kWh_em,mean_pos_a_pv_kWh_em,share_load_under_em,share_pv_over_em,share_g_positive_em,pv_prominent_share_em
2025-02,0,168,28,168,1,1,17.07564493544669,36.50772887198502,0.005952380952380952,0.10164074366337315,168,1,1,10.440628484194349,22.32206369920752,0.005952380952380952,0.062146598120204455,6.635016451252341,14.185665172777504,140,0.0,17.66280861191974,-5.774231995693758,0.0,-5.774231995693757,-17.61890628132152,5.944288308112993,0.0,0.42142857142857143,0.0,0.22142857142857142,0.0,,,,,,,,,,,,,
2025-02,1,168,0,168,0,0,0.0,0.0,0.0,0.0,168,0,0,0.0,0.0,0.0,0.0,0.0,0.0,168,0.0,18.87738672291466,-7.930999498744561,0.0,-7.930999498744565,-19.531492307289533,5.473193612085048,0.0,0.4166666666666667,0.0,0.25,0.0,,,,,,,,,,,,,
2025-02,2,168,0,168,0,0,0.0,0.0,0.0,0.0,168,0,0,0.0,0.0,0.0,0.0,0.0,0.0,168,0.0,19.078342899089815,-10.308273758171762,0.0,-10.308273758171765,-17.401257562966528,4.385034570459027,0.0,0.3273809523809524,0.0,0.25,0.0,,,,,,,,,,,,,
2025-02,3,168,0,168,0,0,0.0,0.0,0.0,0.0,168,0,0,0.0,0.0,0.0,0.0,0.0,0.0,168,0.0,19.61931429955198,-7.969492524226845,0.0,-7.969492524226849,-16.910257225342924,5.8249108876625675,0.0,0.375,0.0,0.25,0.0,,,,,,,,,,,,,
2025-02,4,168,0,168,0,0,0.0,0.0,0.0,0.0,168,0,0,0.0,0.0,0.0,0.0,0.0,0.0,168,0.00029642857142857145,21.53832318207995,-10.74861261633647,-4.940476190476191e-05,-10.748662021098376,-22.72612475668703,5.394841691601897,0.0,0.32142857142857145,0.0,0.20238095238095238,0.0,,,,,,,,,,,,,
2025-02,5,168,0,168,0,0,0.0,0.0,0.0,0.0,168,0,0,0.0,0.0,0.0,0.0,0.0,0.0,168,0.06750476190476191,20.65122883795247,-10.569572740889342,-0.01125079365079365,-10.580823534540135,-19.647393925600635,5.037791937420454,0.0,0.2976190476190476,0.0,0.23809523809523808,0.0,,,,,,,,,,,,,
2025-02,6,168,0,168,30,14,570.5181712830611,2554.6288350160607,0.17857142857142858,3.3959414957325063,168,25,13,437.87988133896556,1963.789240849575,0.1488095238095238,2.6064278651128903,132.6382899440955,590.8395941664858,168,235.76341904761904,35.28340833513622,-9.94507967410469,39.293903174603166,29.34882350049848,-2.1893263569849224,5.088324010124749,39.293903174603166,0.3630952380952381,1.0,0.4880952380952381,0.9523809523809523,30.0,262.7485086111111,53.369713054086255,9.578294952234419,43.791418101851846,53.369713054086255,22.002949644677937,11.31392603898575,43.791418101851846,0.7333333333333333,1.0,1.0,0.9
2025-02,7,168,0,168,0,0,0.0,0.0,0.0,0.0,168,0,0,0.0,0.0,0.0,0.0,0.0,0.0,168,173.48672242063492,29.689734975997094,-9.446487771885009,28.786336011904762,19.33984824001975,-23.44625573631843,6.821792188868655,28.850394874338626,0.375,0.9880952380952381,0.25,0.8809523809523809,,,,,,,,,,,,,
2025-02,8,168,0,168,2,1,28.664213705230168,167.1908299068294,0.011904761904761904,0.1706203196739891,168,2,1,27.204021673302464,158.70930448937736,0.011904761904761904,0.16192870043632418,1.4601920319277042,8.481525417452048,168,157.46387777777778,26.991306558645235,-12.571689339261756,24.434998908730158,11.863309569468404,-17.336537011146298,5.652387023657375,25.33948926917989,0.30952380952380953,0.9226190476190477,0.31547619047619047,0.8809523809523809,2.0,201.57915000000025,55.5169486722495,21.920423672249473,33.59652500000004,55.5169486722495,28.41375757204429,21.920423672249473,33.59652500000004,1.0,1.0,1.0,1.0
2025-02,9,168,0,168,2,1,78.35749621662023,372.66919570149787,0.011904761904761904,0.4664136679560728,168,0,0,0.0,0.0,0.0,0.0,78.35749621662023,372.66919570149787,168,176.5119666666667,31.960078391600593,-9.308890268547975,15.883768055555553,6.574877787007578,-22.715035279742306,5.588822141959941,22.651214583333335,0.34523809523809523,0.7559523809523809,0.31547619047619047,0.6964285714285714,2.0,144.28845,27.509899666220004,3.4618246662200054,24.048075,27.509899666220004,-3.7084389449670745,5.89611497977277,24.048075,0.5,1.0,0.5,1.0
2025-02,10,168,0,168,8,3,416.5730714302381,2019.2346918108583,0.047619047619047616,2.479601615656179,168,0,0,0.0,0.0,0.0,0.0,416.5730714302381,2019.2346918108583,168,258.6870675595239,44.86479073057097,-7.831087609126779,9.309588293650801,1.4785006845240207,-24.847383598697974,5.628654013984667,26.21204977678572,0.40476190476190477,0.6428571428571429,0.3869047619047619,0.5952380952380952,8.0,314.7273104166667,51.00119305988704,-1.4533586762240702,52.45455173611111,51.00119305988704,25.22752732294097,5.994998126484801,52.45455173611111,0.375,1.0,0.875,1.0
2025-02,11,168,0,168,0,0,0.0,0.0,0.0,0.0,168,0,0,0.0,0.0,0.0,0.0,0.0,0.0,168,273.5642245039682,45.0007170911355,-6.3960600598017505,-8.469888988095233,-14.865949047896985,-32.45168834810187,7.463300729876651,18.5620742146164,0.4166666666666667,0.47023809523809523,0.2916666666666667,0.42857142857142855,,,,,,,,,,,,,
2025-02,12,168,0,168,0,0,0.0,0.0,0.0,0.0,168,0,0,0.0,0.0,0.0,0.0,0.0,0.0,168,214.4329216269841,45.85060741755461,-8.25956429374001,-6.949088392857153,-15.20865268659716,-28.122998880042672,7.066726960314376,14.39486593915343,0.36904761904761907,0.44642857142857145,0.3392857142857143,0.36904761904761907,,,,,,,,,,,,,
2025-02,13,168,0,168,0,0,0.0,0.0,0.0,0.0,168,0,0,0.0,0.0,0.0,0.0,0.0,0.0,168,179.00360029761902,43.83944646698308,-8.301341725040967,-21.426910714285707,-29.72825243932667,-25.396562430100147,8.089156174042532,4.203511334325397,0.375,0.2619047619047619,0.30952380952380953,0.17261904761904762,,,,,,,,,,,,,
2025-02,14,168,0,168,0,0,0.0,0.0,0.0,0.0,168,0,0,0.0,0.0,0.0,0.0,0.0,0.0,168,176.18001478174594,40.65956529761705,-8.427295672626155,-25.25943482142855,-33.6867304940547,-25.939876288835997,5.888520593990244,2.051950487764552,0.35119047619047616,0.16071428571428573,0.2857142857142857,0.11904761904761904,,,,,,,,,,,,,
2025-02,15,168,0,168,0,0,0.0,0.0,0.0,0.0,168,0,0,0.0,0.0,0.0,0.0,0.0,0.0,168,162.0353833333333,37.929205828229634,-7.5191758319104265,-23.273753869047606,-30.792929700958027,-20.341097377556263,5.82483282589001,1.8660716765873033,0.35714285714285715,0.17261904761904762,0.2976190476190476,0.125,,,,,,,,,,,,,
2025-02,16,168,0,168,0,0,0.0,0.0,0.0,0.0,168,0,0,0.0,0.0,0.0,0.0,0.0,0.0,168,126.38217529761907,29.21913927277228,-4.255218718906026,-20.926952281746036,-25.182171000652065,-16.02432067595679,6.909830899760165,0.06837180059523797,0.42857142857142855,0.047619047619047616,0.30952380952380953,0.02976190476190476,,,,,,,,,,,,,
2025-02,17,168,0,168,0,0,0.0,0.0,0.0,0.0,168,0,0,0.0,0.0,0.0,0.0,0.0,0.0,168,145.7560736111111,28.253134295124124,-0.7618997443070434,21.599091468253967,20.837191723946916,-5.101858649599252,8.205209662703222,22.945885201719573,0.47023809523809523,0.8333333333333334,0.44047619047619047,0.7440476190476191,,,,,,,,,,,,,
2025-02,18,168,0,168,0,0,0.0,0.0,0.0,0.0,168,0,0,0.0,0.0,0.0,0.0,0.0,0.0,168,0.07169404761904762,15.126816613122818,1.860183928260805,-0.011949007936507935,1.8482349203242965,-11.81348661103172,8.49384779053308,0.0,0.5595238095238095,0.0,0.27976190476190477,0.0,,,,,,,,,,,,,
2025-02,19,168,0,168,0,0,0.0,0.0,0.0,0.0,168,0,0,0.0,0.0,0.0,0.0,0.0,0.0,168,0.0003119047619047619,15.96882710746696,3.1314928642426585,-5.198412698412698e-05,3.131440880115675,-10.21665802288268,9.550158001727826,0.0,0.5476190476190477,0.0,0.30357142857142855,0.0,,,,,,,,,,,,,
