date,slot,load_forecast_kW,pv_forecast_kW,support_start_slot,support_end_slot,support_valid,support_defined
2025-01-01,0,,,0,143,0,False
2025-01-01,1,,,0,143,0,False
2025-01-01,2,,,0,143,0,False
2025-01-01,3,,,0,143,0,False
2025-01-01,4,,,0,143,0,False
2025-01-01,5,,,0,143,0,False
2025-01-01,6,,,0,143,0,False
2025-01-01,7,,,0,143,0,False
2025-01-01,8,,,0,143,0,False
2025-01-01,9,,,0,143,0,False
2025-01-01,10,,,0,143,0,False
2025-01-01,11,,,0,143,0,False
2025-01-01,12,,,0,143,0,False
2025-01-01,13,,,0,143,0,False
2025-01-01,14,,,0,143,0,False
2025-01-01,15,,,0,143,0,False
2025-01-01,16,,,0,143,0,False
2025-01-01,17,,,0,143,0,False
2025-01-01,18,,,0,143,0,False
2025-01-01,19,,,0,143,0,False
2025-01-01,20,,,0,143,0,False
2025-01-01,21,,,0,143,0,False
2025-01-01,22,,,0,143,0,False
2025-01-01,23,,,0,143,0,False
2025-01-01,24,,,0,143,0,False
2025-01-01,25,,,0,143,0,False
2025-01-01,26,,,0,143,0,False
2025-01-01,27,,,0,143,0,False
2025-01-01,28,,,0,143,0,False
2025-01-01,29,,,0,143,0,False
2025-01-01,30,,,0,143,0,False
2025-01-01,31,,,0,143,0,False
2025-01-01,32,,,0,143,0,False
2025-01-01,33,,,0,143,0,False
2025-01-01,34,,,0,143,0,False
2025-01-01,35,,,0,143,0,False
2025-01-01,36,,,0,143,0,False
2025-01-01,37,,,0,143,0,False
2025-01-01,38,,,0,143,0,False
2025-01-01,39,,,0,143,0,False
2025-01-01,40,,,0,143,0,False
2025-01-01,41,,,0,143,0,False
2025-01-01,42,,,0,143,0,False
2025-01-01,43,,,0,143,0,False
2025-01-01,44,,,0,143,0,False
2025-01-01,45,,,0,143,0,False
2025-01-01,46,,,0,143,0,False
2025-01-01,47,,,0,143,0,False
2025-01-01,48,,,0,143,0,False
2025-01-01,49,,,0,143,0,False
2025-01-01,50,,,0,143,0,False
2025-01-01,51,,,0,143,0,False
2025-01-01,52,,,0,143,0,False
2025-01-01,53,,,0,143,0,False
2025-01-01,54,,,0,143,0,False
2025-01-01,55,,,0,143,0,False
2025-01-01,56,,,0,143,0,False
2025-01-01,57,,,0,143,0,False
2025-01-01,58,,,0,143,0,False
2025-01-01,59,,,0,143,0,False
2025-01-01,60,,,0,143,0,False
2025-01-01,61,,,0,143,0,False
2025-01-01,62,,,0,143,0,False
2025-01-01,63,,,0,143,0,False
2025-01-01,64,,,0,143,0,False
2025-01-01,65,,,0,143,0,False
2025-01-01,66,,,0,143,0,False
2025-01-01,67,,,0,143,0,False
2025-01-01,68,,,0,143,0,False
2025-01-01,69,,,0,143,0,False
2025-01-01,70,,,0,143,0,False
2025-01-01,71,,,0,143,0,False
2025-01-01,72,,,0,143,0,False
2025-01-01,73,,,0,143,0,False
2025-01-01,74,,,0,143,0,False
2025-01-01,75,,,0,143,0,False
2025-01-01,76,,,0,143,0,False
2025-01-01,77,,,0,143,0,False
2025-01-01,78,,,0,143,0,False
2025-01-01,79,,,0,143,0,False
2025-01-01,80,,,0,143,0,False
2025-01-01,81,,,0,143,0,False
2025-01-01,82,,,0,143,0,False
2025-01-01,83,,,0,143,0,False
2025-01-01,84,,,0,143,0,False
2025-01-01,85,,,0,143,0,False
2025-01-01,86,,,0,143,0,False
2025-01-01,87,,,0,143,0,False
2025-01-01,88,,,0,143,0,False
2025-01-01,89,,,0,143,0,False
2025-01-01,90,,,0,143,0,False
2025-01-01,91,,,0,143,0,False
2025-01-01,92,,,0,143,0,False
2025-01-01,93,,,0,143,0,False
2025-01-01,94,,,0,143,0,False
2025-01-01,95,,,0,143,0,False
2025-01-01,96,,,0,143,0,False
2025-01-01,97,,,0,143,0,False
2025-01-01,98,,,0,143,0,False
2025-01-01,99,,,0,143,0,False
2025-01-01,100,,,0,143,0,False
2025-01-01,101,,,0,143,0,False
2025-01-01,102,,,0,143,0,False
2025-01-01,103,,,0,143,0,False
2025-01-01,104,,,0,143,0,False
2025-01-01,105,,,0,143,0,False
2025-01-01,106,,,0,143,0,False
2025-01-01,107,,,0,143,0,False
2025-01-01,108,,,0,143,0,False
2025-01-01,109,,,0,143,0,False
2025-01-01,110,,,0,143,0,False
2025-01-01,111,,,0,143,0,False
2025-01-01,112,,,0,143,0,False
2025-01-01,113,,,0,143,0,False
