date,day_index,n_template_days,template_mean_kW,template_amplitude_kW,near_constant_template,n_high_slots,n_low_slots,n_rising_slots,n_falling_slots,n_level_slots
2025-01-01,0,0,,,,0,0,0,0,0
2025-01-02,1,0,,,,0,0,0,0,0
2025-01-03,2,0,,,,0,0,0,0,0
2025-01-04,3,0,,,,0,0,0,0,0
2025-01-05,4,0,,,,0,0,0,0,0
2025-01-06,5,0,,,,0,0,0,0,0
2025-01-07,6,0,,,,0,0,0,0,0
2025-01-08,7,1,5303.589682638889,4179.5047,False,69,75,75,69,0
2025-01-09,8,1,5319.044936805555,4600.4999,False,71,73,68,76,0
2025-01-10,9,1,3411.814863194444,2299.7880999999998,False,57,87,68,76,0
2025-01-11,10,1,3412.1554194444443,2265.157,False,60,84,82,62,0
2025-01-12,11,1,5319.754951388889,4237.7078,False,69,75,68,76,0
2025-01-13,12,1,5284.445421527778,4070.3543,False,66,78,67,77,0
2025-01-14,13,1,5288.64425625,4078.7776,False,69,75,69,75,0
2025-01-15,14,2,5291.293673611111,4261.25205,False,72,72,73,71,0
2025-01-16,15,2,5306.743680902778,4586.690450000001,False,72,72,64,80,0
2025-01-17,16,2,3403.5457319444445,2219.9139,False,58,86,72,72,0
2025-01-18,17,2,3406.2901048611116,2189.46295,False,61,83,75,69,0
2025-01-19,18,2,5295.6967875,4083.8551000000007,False,71,73,60,84,0
2025-01-20,19,2,5287.646872916666,4059.430050000001,False,70,74,70,74,0
2025-01-21,20,2,5292.436515972223,4068.2964,False,70,74,70,74,0
2025-01-22,21,3,5290.916601388889,4195.8674,False,70,74,73,71,0
2025-01-23,22,3,5299.048067592592,4642.796433333333,False,72,72,66,78,0
2025-01-24,23,3,3392.309324074074,2232.9900000000007,False,58,86,75,69,0
2025-01-25,24,3,3398.7497574074073,2147.8774666666664,False,61,83,75,69,0
2025-01-26,25,3,5283.392944675926,4071.4775666666674,False,70,74,68,76,0
2025-01-27,26,3,5282.954389583334,4044.3424999999993,False,70,74,76,68,0
2025-01-28,27,3,5274.820814583333,4074.9357000000005,False,69,75,73,71,0
2025-01-29,28,4,5287.7664984375,4122.4158,False,71,73,75,69,0
2025-01-30,29,4,5290.488458506944,4675.042374999999,False,72,72,66,78,0
2025-01-31,30,4,3381.1021565972223,2173.2790999999997,False,59,85,80,63,1
2025-02-01,31,4,3388.979654340278,2101.7167,False,61,83,76,68,0
2025-02-02,32,4,5279.055631944444,4075.2205749999994,False,71,73,65,79,0
2025-02-03,33,4,5270.996523784723,3974.4730999999997,False,71,73,76,68,0
2025-02-04,34,4,5273.788641493055,4077.6499999999996,False,70,74,75,69,0
2025-02-05,35,4,5268.384128472222,4102.826625,False,68,76,74,70,0
2025-02-06,36,4,5273.342327951389,4681.888500000001,False,72,72,66,78,0
2025-02-07,37,4,3361.585107291667,2198.6731250000003,False,60,84,80,64,0
2025-02-08,38,4,3330.786698263889,2111.949125,False,61,83,80,64,0
2025-02-09,39,4,5216.887442534722,4001.2106999999996,False,71,73,66,78,0
2025-02-10,40,4,5227.007762152778,3929.9982249999994,False,71,73,77,67,0
2025-02-11,41,4,5218.066107118056,3997.76155,False,70,74,72,72,0
2025-02-12,42,4,5219.375175173611,4024.947225,False,66,78,74,70,0
2025-02-13,43,4,5223.191749826389,4795.5738,False,72,72,65,79,0
2025-02-14,44,4,3306.1888418402773,2193.1430250000003,False,60,84,80,64,0
2025-02-15,45,4,3269.709537326389,2002.3235750000003,False,60,84,80,64,0
2025-02-16,46,4,5165.101782118055,3930.9400000000005,False,70,74,66,78,0
2025-02-17,47,4,5169.686978125001,3957.8762750000005,False,71,73,74,70,0
