predictor,subset,n,mae_kW,bias_kW
V0,valid_morning_tau_lt_0.2,5675,70.26815517237948,-7.41712468185252
V0,valid_midday_tau_0.2_0.8,17041,384.41623518714573,-1.4868265975007593
V0,valid_evening_tau_gt_0.8,5675,66.82591339133991,-8.983458530636641
V0,outside_window,19705,0.0007050241055569652,0.0007050241055569652
V0,no_valid_window,0,,
V1,valid_morning_tau_lt_0.2,5675,71.42302767632296,-4.915034720438201
V1,valid_midday_tau_0.2_0.8,17041,382.35012134264224,9.208908883773692
V1,valid_evening_tau_gt_0.8,5675,67.18650644211912,-6.053907736627879
V1,outside_window,19705,0.0007050241055569652,0.0007050241055569652
V1,no_valid_window,0,,
