predictor,grouping,subset,n,mae_kW,bias_kW,mean_forecast_kW
V0,truth_subset,all,48096,152.37981943245296,-2.461668938765935,2381.3152111397803
V0,truth_subset,actual_zero,21216,0.7213694834614434,-0.7213694834614434,0.7213694834614434
V0,truth_subset,actual_0_1kW,1808,2.5029349151820672,-2.3654223471746,2.4898908759356617
V0,truth_subset,actual_1_100kW,1081,9.988316169154515,-4.416856860745204,27.603182485167036
V0,truth_subset,actual_gt_100kW,23991,304.2071003441555,-3.919826120112175,4771.876581094894
V1,truth_subset,all,48096,151.82658467278205,1.9688572925926817,2376.884684908422
V1,truth_subset,actual_zero,21216,0.7557884774720962,-0.7557884774720962,0.7557884774720962
V1,truth_subset,actual_0_1kW,1808,2.6860590361571477,-2.5351231362325,2.659591664993562
V1,truth_subset,actual_1_100kW,1081,10.67084098296654,-3.7739743528186844,26.960299977240513
V1,truth_subset,actual_gt_100kW,23991,303.0230100556092,4.976538601487682,4762.980216373295
