target,day_index,date,n_train_days,n_rows,trained,branch,n_trees,model_file,model_sha256,constant_new_columns,n_template_days,near_constant_template_days,correction_min_kW,correction_max_kW,reason,train_first,train_last,prediction_min_kW,prediction_max_kW
load,1,2025-01-02,0,0,False,feature_history_fallback,0,,,,0,0,,,day_index<8: published naive fallback,,,,
load,2,2025-01-03,0,0,False,feature_history_fallback,0,,,,0,0,,,day_index<8: published naive fallback,,,,
load,3,2025-01-04,0,0,False,feature_history_fallback,0,,,,0,0,,,day_index<8: published naive fallback,,,,
load,4,2025-01-05,0,0,False,feature_history_fallback,0,,,,0,0,,,day_index<8: published naive fallback,,,,
load,5,2025-01-06,0,0,False,feature_history_fallback,0,,,,0,0,,,day_index<8: published naive fallback,,,,
load,6,2025-01-07,0,0,False,feature_history_fallback,0,,,,0,0,,,day_index<8: published naive fallback,,,,
load,7,2025-01-08,0,0,False,feature_history_fallback,0,,,,0,0,,,day_index<8: published naive fallback,,,,
load,8,2025-01-09,0,0,False,insufficient_history,0,,,,0,0,,,train_days=0<14,,,,
load,9,2025-01-10,1,0,False,insufficient_history,0,,,,0,0,,,train_days=1<14,,,,
load,10,2025-01-11,2,0,False,insufficient_history,0,,,,0,0,,,train_days=2<14,,,,
load,11,2025-01-12,3,0,False,insufficient_history,0,,,,0,0,,,train_days=3<14,,,,
load,12,2025-01-13,4,0,False,insufficient_history,0,,,,0,0,,,train_days=4<14,,,,
load,13,2025-01-14,5,0,False,insufficient_history,0,,,,0,0,,,train_days=5<14,,,,
load,14,2025-01-15,6,0,False,insufficient_history,0,,,,0,0,,,train_days=6<14,,,,
load,15,2025-01-16,7,0,False,insufficient_history,0,,,,0,0,,,train_days=7<14,,,,
load,16,2025-01-17,8,0,False,insufficient_history,0,,,,0,0,,,train_days=8<14,,,,
load,17,2025-01-18,9,0,False,insufficient_history,0,,,,0,0,,,train_days=9<14,,,,
load,18,2025-01-19,10,0,False,insufficient_history,0,,,,0,0,,,train_days=10<14,,,,
load,19,2025-01-20,11,0,False,insufficient_history,0,,,,0,0,,,train_days=11<14,,,,
load,20,2025-01-21,12,0,False,insufficient_history,0,,,,0,0,,,train_days=12<14,,,,
load,21,2025-01-22,13,0,False,insufficient_history,0,,,,0,0,,,train_days=13<14,,,,
load,22,2025-01-23,14,2016,True,fitted,100,,e20c35ff7e4081e617e139bbb91b61d0186acd27f14119d6d7125b7c35ed37e7,,3,0,-224.21150825770292,200.02404022951754,,2025-01-09,2025-01-22,2822.8617637146763,7338.4577625996535
load,23,2025-01-24,15,2160,True,fitted,100,,b97367057692bbd9483a9e95901aa8cdb7e75a5207bcb1209ed0020e43b41ce0,,3,0,-152.21913235639397,114.5640971697295,,2025-01-09,2025-01-23,2325.2086191259154,4660.759643782872
load,24,2025-01-25,16,2304,True,fitted,100,,8cde28ccb403e93e1d71ac5e583afaa8fff418526445a864df3d68798eca8635,,3,0,-226.81400260260037,202.17118607315717,,2025-01-09,2025-01-24,2335.9158496012074,4533.299948575295
load,25,2025-01-26,17,2448,True,fitted,100,,8318ed7be78e09915d72ab864477d11b9ab5fe1e1e4d715820689b9c9e06688a,,3,0,-176.44346512788402,112.3548391655441,,2025-01-09,2025-01-25,3220.984768289512,7296.581950907629
load,26,2025-01-27,18,2592,True,fitted,100,,eaa48061bc640566fce770cf9e4a5da96c792433d14b9c7e5a77739d16ffc476,,3,0,-210.69285549449512,210.88287223516585,,2025-01-09,2025-01-26,3308.1201721413154,7373.302350977155
load,27,2025-01-28,19,2736,True,fitted,100,,e13459fde0f49a9cecef2b44ef29598fbb6a902108ea6ae22173f6daffa4c3a1,,3,0,-210.30521559829558,228.959012402839,,2025-01-09,2025-01-27,3320.54536239205,7333.177114176189
load,28,2025-01-29,20,2880,True,fitted,100,,0d53da05b9f794bda796ca32cc3d691e4f051b02ead482ff93e08257abb39709,,4,0,-222.995141868462,199.8286353340729,,2025-01-09,2025-01-28,3226.4927935241276,7352.335857790216
load,29,2025-01-30,21,3024,True,fitted,100,,20cd57cf2f04dc86fd08d29a5e00c4c0b284321885cfd6d615b4a1b07128950b,,4,0,-224.6002172037389,228.00686875780093,,2025-01-09,2025-01-29,2760.7939777612373,7393.384322162648
load,30,2025-01-31,22,3168,True,fitted,100,,aca27993a189c5b871caf2c0dc3fc4a5eb9a7eb00706f29df25f657cd20d2647,,4,0,-190.2190790015019,156.03756325287515,,2025-01-09,2025-01-30,2362.590236450187,4550.711071282477
load,31,2025-02-01,23,3312,True,fitted,100,,940e683704278a46c170e28e3faba9d432feb87a8a64e6781eef241c85d5e613,,4,0,-235.52446365940688,208.37330521021676,,2025-01-09,2025-01-31,2376.687788298501,4543.979917122633
load,32,2025-02-02,24,3456,True,fitted,100,,b43c732c88c46eefbd1c7494ca262ce707ad06432bdc17df76ac633d8cfc3579,,4,0,-188.00173876768574,161.69254926163205,,2025-01-09,2025-02-01,3252.7990665876086,7327.501892188572
load,33,2025-02-03,25,3600,True,fitted,100,,a563a907b04b0e5b2e6fb729cea31e36df2ade240e551f3d16fbd8be224ac0d1,,4,0,-309.9246021291791,68.00273597432425,,2025-01-09,2025-02-02,3216.49265022734,7166.469070522438
