contrast,date,delta_total_cost_yuan,delta_planned_cost_yuan,delta_emergency_cost_yuan,delta_unused_kWh,delta_morning_emergency_cost_yuan
no_correction,2025-02-01,-1320.8994854896337,-1320.8994854896337,0.0,-50.09341666666751,0.0
no_correction,2025-02-02,-212.33031335649866,-212.33031335649866,0.0,-140.20751666666456,0.0
no_correction,2025-02-03,-222.8772557080083,-222.8772557080083,0.0,-170.15328703704085,0.0
no_correction,2025-02-04,-174.79417484759324,-174.79417484759324,0.0,-221.42019362139808,0.0
no_correction,2025-02-05,-185.28176875875943,-185.2817687587667,0.0,-105.63058786008423,0.0
no_correction,2025-02-06,-121.06415727086278,-121.06415727086278,0.0,-38.99831584362073,0.0
no_correction,2025-02-07,-235.09544926496164,-235.095449264958,0.0,-95.28516666666928,0.0
no_correction,2025-02-08,-175.27001845620907,-175.2700184562127,3.979039320256561e-12,-134.64085493827133,0.0
no_correction,2025-02-09,-52.687743567737925,-52.687743567737925,0.0,-16.9273728395072,0.0
no_correction,2025-02-10,-5.764512792877213,-5.764512792884489,0.0,-30.276602880659084,0.0
no_correction,2025-02-11,62.497913521379814,62.497913521379814,0.0,-23.630063374483257,0.0
no_correction,2025-02-12,-2.969254271214595,-2.969254271214595,0.0,-22.62249814814163,0.0
no_correction,2025-02-13,6.4861568966225605,6.4861568966225605,0.0,-72.07739382715954,0.0
no_correction,2025-02-14,-160.6320926557164,-233.20019430930188,72.56810165358684,4.549199999999928,72.5681016535869
no_correction,2025-02-15,-190.77490726887117,-190.77490726887117,0.0,-0.8487956790190765,0.0
no_correction,2025-02-16,147.24453531395557,91.44505356195441,55.79948175199752,-19.93165000000033,0.0
no_correction,2025-02-17,24.621213992555568,24.621213992555568,0.0,-32.01671234568312,0.0
no_correction,2025-02-18,211.49860442605132,8.373706571379444,203.1248978546755,-16.81443333333334,0.0
no_correction,2025-02-19,116.2158656135216,-33.39771119481156,149.61357680833135,-9.790416666666943,149.61357680833044
no_correction,2025-02-20,119.96083388738771,119.96083388738771,0.0,-45.268429629629736,0.0
no_correction,2025-02-21,-127.70175013481276,-127.70175013481276,0.0,-19.28696399176988,0.0
no_correction,2025-02-22,-144.49889303245072,-144.49889303245436,0.0,-82.84646893003764,0.0
no_correction,2025-02-23,15.88156612975581,15.881566129763087,0.0,-53.49372777777853,0.0
no_correction,2025-02-24,48.33572512448882,48.33572512448882,0.0,-24.262304526749176,0.0
no_correction,2025-02-25,3.5605335570435273,3.5605335570435273,0.0,1.195316666661256,0.0
no_correction,2025-02-26,90.66274401683768,90.66274401683768,0.0,-81.4872292181094,0.0
no_correction,2025-02-27,-77.79354118841002,-77.79354118841002,0.0,-36.042371399179046,0.0
no_correction,2025-02-28,-227.61538487604412,-227.61538487604776,4.206412995699793e-12,-46.315232510290116,0.0
no_correction,2025-03-01,-214.89500598688392,-214.89500598688392,0.0,-53.70178641975508,0.0
no_correction,2025-03-02,-14.463231756722962,-14.463231756722962,0.0,1.2931532921843427,0.0
no_correction,2025-03-03,39.25271029605938,39.2527102960521,0.0,-69.80456666667033,0.0
no_correction,2025-03-04,24.284878396509157,24.28487839650188,0.0,-17.749769958848447,0.0
no_correction,2025-03-05,80.67336369516852,80.6733636951758,0.0,-15.74473271604893,0.0
no_correction,2025-03-06,42.01965034420573,42.01965034420573,0.0,11.821831275720797,0.0
no_correction,2025-03-07,-108.41770836130308,-108.41770836130308,0.0,-92.09636358025455,0.0
no_correction,2025-03-08,-187.25400898678345,-197.67107318978742,10.417064203003292,-20.312066666665487,10.417064203003292
no_correction,2025-03-09,119.22442900921305,19.217116918640386,100.00731209057778,-17.241566666666813,100.00731209057776
no_correction,2025-03-10,107.29050073843973,-0.280659797223052,107.57116053566278,-3.6493333333332885,107.57116053566051
no_correction,2025-03-11,-10.93326824473479,-10.933268244727515,0.0,-90.83370864197786,0.0
no_correction,2025-03-12,-48.23430272249243,-48.23430272249243,0.0,3.994590740739568,0.0
no_correction,2025-03-13,74.60324580245651,74.60324580246379,0.0,-19.040673456790387,0.0
no_correction,2025-03-14,-163.26385994470547,-167.40903421138137,4.145174266677259,-5.832133333333331,4.145174266677259
no_correction,2025-03-15,-107.37493363601243,-178.44760673961355,71.07267310360203,0.0,71.07267310360226
no_correction,2025-03-16,109.69311185518018,109.69311185518018,0.0,-3.1396532921803555,0.0
no_correction,2025-03-17,71.26869724569406,71.26869724569406,0.0,-44.71588230452835,0.0
no_correction,2025-03-18,-52.58172258709965,-52.58172258709965,0.0,-32.984149999997044,0.0
no_correction,2025-03-19,70.11726455962344,70.11726455962344,0.0,-60.266251646091405,0.0
no_correction,2025-03-20,133.9727595281729,-83.01349407185626,216.98625360002916,-18.50569999999982,0.0
no_correction,2025-03-21,-139.04806400359666,-186.34576662530162,47.2977026217045,-20.74435000000085,47.29770262170473
no_correction,2025-03-22,-105.69562766164381,-105.69562766164381,0.0,-60.2914495884761,0.0
no_correction,2025-03-23,-97.43817217685864,-97.43817217685864,0.0,-41.01231502057544,0.0
no_correction,2025-03-24,-28.628954780419008,-28.628954780419008,0.0,-6.175902469138464,0.0
no_correction,2025-03-25,279.7911423107362,141.33230932198785,138.45883298874105,25.242100000000036,138.45883298874105
no_correction,2025-03-26,46.31353998787381,46.31353998787381,0.0,-13.632067695479236,0.0
no_correction,2025-03-27,74.04100203063717,71.55179692230013,2.489205108337046,-36.72761666666668,2.489205108336705
no_correction,2025-03-28,-35.4257094960285,-59.01614876270105,23.590439266674508,-1.1882499999992433,23.590439266674508
no_correction,2025-03-29,-127.47730088621756,-127.47730088621938,2.0463630789890885e-12,-54.002524074072426,0.0
no_correction,2025-03-30,142.83164591139212,-1.190867408629856,144.02251332002197,34.32540000000006,144.0225133199997
no_correction,2025-03-31,8.076510562597832,41.17752332925738,-33.10101276664864,-39.88438333333329,0.0
no_correction,2025-04-01,-126.7775886118834,-66.44786964521336,-60.32971896667186,-40.33719999999994,0.0
no_correction,2025-04-02,-8.94057205622812,-18.795519363731728,9.85494730749815,4.743483333333415,9.85494730749997
no_correction,2025-04-03,19.247813940324704,19.247813940324704,0.0,-13.976866666666865,0.0
no_correction,2025-04-04,-120.43336165341134,-120.43336165341134,0.0,-38.15731666666761,0.0
no_correction,2025-04-05,-120.954471721976,-120.954471721976,0.0,-1.0506609053500142,0.0
no_correction,2025-04-06,64.1910078821893,64.19100788219657,0.0,7.425246913578576,0.0
no_correction,2025-04-07,-17.520158248480584,-17.520158248480584,0.0,-3.5541734567832464,0.0
no_correction,2025-04-08,109.45785005404468,109.45785005404468,0.0,-2.5011104298755527e-12,0.0
no_correction,2025-04-09,90.75289683318988,90.75289683320443,-1.0913936421275139e-11,7.359612345680944,0.0
no_correction,2025-04-10,78.08413124217623,78.08413124217623,0.0,1.8189894035458565e-12,0.0
no_correction,2025-04-11,-92.60268569072832,-108.09403752372782,15.491351832999015,0.0,15.491351832999015
no_correction,2025-04-12,23.88827514526929,23.88827514526929,0.0,-28.861654299931615,0.0
no_correction,2025-04-13,13.772206214438484,13.772206214438484,0.0,-45.750464197530164,0.0
no_correction,2025-04-14,-16.66842335241381,-16.66842335241381,0.0,2.283127572017065,0.0
no_correction,2025-04-15,-4.38125224027317,-4.38125224027317,0.0,-38.455784567902356,0.0
no_correction,2025-04-16,27.273741581266222,-73.00727465206728,100.28101623332623,16.17330000000004,100.28101623332668
