date,initial_kWh,final_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,loss_kWh,morning_emergency_cost_yuan,full_end,strategy_id
2025-03-20,8157.39086166439,8155.93486240513,39123.740206365066,12312.807001780415,51436.54720814548,64547.59531255144,1816.103320833333,289.6125166666669,20349.656312551444,16484.5320125,3866.5802993107004,0.0,0,A_base
2025-06-21,2538.6363581298606,3306.3924590557854,19106.653810550826,1505.2405943446654,20611.89440489549,33535.785704526745,360.0878393333331,11291.0077,13574.447121193416,10304.321677333333,2502.3693429341565,1505.2405943446654,0,A_base
2025-09-23,9867.461517592592,9975.10291259259,40472.87304342183,13479.741257797603,53952.61430121943,65308.337991975306,2128.409406584355,1247.4366236625522,20925.357558230447,16852.66236666667,3965.0537965637864,2248.165939299995,0,A_base
2025-12-21,6477.927864629622,6524.623568184717,59839.261842958615,4236.960830216158,64076.22267317477,93516.64874526748,617.767560499999,264.1111166666668,25213.143101234575,20380.61977880042,4785.8276188790605,182.69426645833371,0,A_base
2025-03-20,10800.0,10800.0,42714.72030278099,0.0,42714.72030278099,70059.88962119342,0.0,3964.9631137860056,20452.445740740743,16566.48105,3885.964690740741,0.0,1,B_fixed_q80
2025-06-21,10800.0,10800.0,24178.03133051167,0.0,24178.03133051167,41209.64,0.0,18204.178203703705,19319.586296296296,15648.864899999999,3670.7213962962965,0.0,1,B_fixed_q80
2025-09-23,10767.93711,10800.0,44767.7436926911,42.996187500000005,44810.739880191104,72148.11518703702,6.375,5992.301840534975,21140.61137983539,17095.03861666667,4013.509873168725,0.0,1,B_fixed_q80
2025-12-21,10800.0,10800.0,65811.12013183,0.0,65811.12013183,101663.40441666666,0.0,8303.245197736625,22749.35448559671,18426.977133333334,4322.377352263375,0.0,1,B_fixed_q80
2025-03-20,6190.23759166667,6058.04116611111,39040.72671229321,12529.793255380444,51570.51996767365,64336.22021069958,1848.4893288333374,271.1068166666671,20124.30362736625,16419.662721166664,3836.8373317551436,0.0,0,T_base_6000
2025-06-21,6002.971511481484,6675.449899444444,19349.778655909395,1497.07483289792,20846.853488807315,34190.22463966666,358.1890458333341,11398.535166666667,16894.250366666667,13079.112247833336,3142.659730870371,1497.07483289792,0,T_base_6000
2025-09-23,5901.844597592592,6277.515405,40524.48589451693,13479.741257797603,54004.22715231453,65417.39955020575,2128.409406584355,1068.9167841563776,21169.330855967073,16809.054266666673,3984.605781893005,2248.165939299995,0,T_base_6000
2025-12-21,5845.238578148149,6059.962302962962,59914.774933599976,4374.245148709493,64289.02008230947,93688.60588065843,652.1315951666661,290.11271666666687,25366.271263991766,20353.428371500002,4798.119167676955,182.69426645833371,0,T_base_6000
2025-03-20,6717.952724444446,6461.482022777781,42324.96540957802,0.0,42324.96540957802,69262.1643718107,0.0,3450.8941191357985,20174.379302674897,16572.070866666665,3858.7791376748974,0.0,0,T_q80_6000
2025-06-21,8384.896603333333,8825.15336814815,22849.510490358567,0.0,22849.510490358567,38049.89972366666,0.0,15031.979430246909,17299.730553086425,13616.550659666666,3242.923128604939,0.0,0,T_q80_6000
2025-09-23,6066.475940185187,6572.7758487037045,44689.73820879084,42.996187500000005,44732.734396290834,72074.25303127572,6.375,5394.822634773656,21650.104713168723,17080.9149,4062.889904650206,0.0,0,T_q80_6000
2025-12-21,6771.598737222225,6735.447915925927,65395.90126456185,0.0,65395.90126456185,100806.07248641974,0.0,7486.080846707818,22709.186906378596,18426.977133333334,4318.360594341564,0.0,0,T_q80_6000
2025-03-20,10800.0,10800.0,42714.72030278099,0.0,42714.72030278099,70059.88962119342,0.0,3964.9631137860056,20452.445740740743,16566.48105,3885.964690740741,0.0,1,B_adaptive
2025-06-21,10800.0,10800.0,22002.572280181666,0.0,22002.572280181666,38136.590216666664,0.0,14925.328387860078,20402.74436213992,16526.22293333333,3876.521428806585,0.0,1,B_adaptive
2025-09-23,10767.93711,10800.0,44767.7436926911,42.996187500000005,44810.739880191104,72148.11518703702,6.375,5992.301840534975,21140.61137983539,17095.03861666667,4013.509873168725,0.0,1,B_adaptive
2025-12-21,10800.0,10800.0,63083.9350291765,0.0,63083.9350291765,97947.82796502057,0.0,4358.935267901226,23953.21489711935,19402.104066666667,4551.110830452676,0.0,1,B_adaptive
