strategy_id,date,block,charge_kWh,discharge_kWh,initial_kWh,final_kWh
A_base,2025-03-20,0,2247.3980925951228,338.6256333333333,8157.39086166439,9803.798441296294
A_base,2025-03-20,1,1079.9745833333332,5387.870616666668,9803.798441296294,4789.252658888884
A_base,2025-03-20,2,4729.144100000005,2777.3772166666663,4789.252658888884,5959.507663703705
A_base,2025-03-20,3,4358.01306255144,670.1993500000001,5959.507663703705,9137.053475555556
A_base,2025-03-20,4,104.14769999999987,6075.883316666666,9137.053475555556,2479.804942592593
A_base,2025-03-20,5,7830.978774071544,1234.5758791666667,2479.804942592593,8155.93486240513
A_base,2025-06-21,0,316.461666666667,306.3817,2538.6363581298606,2483.0277470187502
A_base,2025-06-21,1,772.2818899380144,1501.265360666667,2483.0277470187502,1510.008825
A_base,2025-06-21,2,10322.212416666667,0.0,1510.008825,10800.0
A_base,2025-06-21,3,0.0,0.0,10800.0,10800.0
A_base,2025-06-21,4,81.66296666666659,5860.194033333334,10800.0,4362.169966296296
A_base,2025-06-21,5,2081.8281812554005,2636.4805833333335,4362.169966296296,3306.3924590557854
A_base,2025-09-23,0,721.3236193415645,135.19438333333335,9867.461517592592,10366.436793518518
A_base,2025-09-23,1,573.3371430041151,7266.5252833333325,10366.436793518518,2808.5232407407416
A_base,2025-09-23,2,4130.0146985596675,1451.0598833333343,2808.5232407407416,4913.247710185184
A_base,2025-09-23,3,5615.302883333333,640.3114565843622,4913.247710185184,9255.563131202562
A_base,2025-09-23,4,116.63038333333282,5820.714383333334,9255.563131202562,2893.070050276641
A_base,2025-09-23,5,9768.748830658435,1538.8569767489766,2893.070050276641,9975.10291259259
A_base,2025-12-21,0,4222.438339300419,419.04211666666674,6477.927864629622,9812.520018148149
A_base,2025-12-21,1,1859.91685,1723.8919499999997,9812.520018148149,9571.00968314815
A_base,2025-12-21,2,5138.062449999999,7620.784589833334,9571.00968314815,5727.727455
A_base,2025-12-21,3,7883.6678786008215,2344.24465,5727.727455,10218.312267962963
A_base,2025-12-21,4,151.27118333333362,5970.768583333333,10218.312267962963,3720.269018148149
