month,initial_kWh,final_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,loss_kWh,morning_emergency_cost_yuan,full_end,strategy_id
2025-02,8801.462273333342,9187.369293145868,1149570.7079766884,83411.86531624083,1232982.5732929292,1908033.3616351886,13948.220717666652,90593.60271862346,616636.796051232,499128.4884836667,117122.40054775284,13813.701505106812,0,A_base
2025-03,9187.369293145868,7591.628610553276,1043145.4373867476,201124.7411519148,1244270.1785386624,1768021.8008496047,32048.360112370912,156776.51155679012,623221.8397518537,506245.85681333486,118571.72362111148,27567.903453320676,0,A_base
2025-04,7591.628610553276,6475.809093886608,860771.5923681853,206257.1074900001,1067028.6998581854,1484401.612580027,32192.501576179,192486.6580280551,565168.9194376365,458791.0623094856,107493.67664481762,28635.536132396486,0,A_base
2025-05,6475.809093886608,3803.983211666669,842822.9871576362,316171.1423167368,1158994.129474373,1436796.0093434064,49565.37235433333,203716.3559434976,517048.44253459794,421213.8817470223,98506.38666979561,22955.613700545342,0,A_base
2025-06,3803.983211666669,3601.387596726394,1124705.7557802917,561388.1619765258,1686093.9177568175,1857448.9148464284,94827.2559472739,96275.00202572017,558896.5191478693,452888.5165632204,106210.5981995892,64772.05012560465,0,A_base
2025-07,3601.387596726394,4879.685985925929,1274714.2671029454,581818.7687718222,1856533.0358747677,2056239.9869270106,104389.27763769371,106325.72817278616,570177.9385524837,460693.6616772322,108205.97848605194,117056.52298013851,0,A_base
2025-08,4879.685985925929,7427.083978703709,1174372.7228223048,207533.08403021106,1381905.8068525158,1877496.2072408386,31238.421239999996,212906.6448668521,575907.6902832622,464192.57093594235,109167.72135454204,9515.932585436138,0,A_base
2025-09,7427.083978703709,9693.040641851849,1053888.079048129,213686.6702168769,1267574.7492650058,1718168.0925382036,34432.777525927966,248393.82526954738,598862.1923565842,483039.014812,113557.22088143621,46122.99012203368,6,A_base
2025-10,9693.040641851849,9258.541487962952,1046869.8776715467,177393.48563345693,1224263.3633050036,1747405.5889511337,29398.641728999966,179274.13596193414,646250.2785440328,523853.77485916665,122831.00283875514,50077.99387287205,7,A_base
2025-11,9258.541487962952,8080.879298148136,1173523.4697626184,184199.38846036987,1357722.8582229882,1934550.1266631295,30496.049580987645,53122.43572962962,657953.8342209875,534002.5016898332,125128.99472096912,42011.60203573003,0,A_base
