strategy_id,date,previous_final_kWh,initial_kWh,morning_emergency_cost_yuan
A_base,2025-02-02,9221.38512481482,9221.38512481482,0.0
A_base,2025-02-03,9576.779617592596,9576.779617592596,0.0
A_base,2025-02-04,9802.780789444443,9802.780789444443,0.0
A_base,2025-02-05,9997.819855555552,9997.819855555552,0.0
A_base,2025-02-06,10150.09851444444,10150.09851444444,171.32531989999995
A_base,2025-02-07,10537.008327962963,10537.008327962963,0.0
A_base,2025-02-08,10573.523100740744,10573.523100740744,0.0
A_base,2025-02-09,10506.993585740744,10506.993585740744,7.527344133333336
A_base,2025-02-10,10450.954320740742,10450.954320740742,0.0
A_base,2025-02-11,10282.438365740742,10282.438365740742,1116.5609277745823
A_base,2025-02-12,10253.349945740742,10253.349945740742,0.0
A_base,2025-02-13,10214.67244574074,10214.67244574074,0.0
A_base,2025-02-14,10202.88687074074,10202.88687074074,197.50663536639968
A_base,2025-02-15,10169.296214814816,10169.296214814816,0.0
A_base,2025-02-16,10001.475674814816,10001.475674814816,200.1070254666656
A_base,2025-02-17,9929.114024814817,9929.114024814817,12.818234399999781
A_base,2025-02-18,9892.632209074078,9892.632209074078,155.62323000000018
A_base,2025-02-19,9918.805475370376,9918.805475370376,4126.842008891657
A_base,2025-02-20,9646.56183703704,9646.56183703704,229.2326799499996
A_base,2025-02-21,9532.332618148152,9532.332618148152,0.0
A_base,2025-02-22,9459.143793148152,9459.143793148152,0.0
A_base,2025-02-23,9386.448551108831,9386.448551108831,44.24209746666736
A_base,2025-02-24,9249.889535923645,9249.889535923645,240.8110123166668
A_base,2025-02-25,9217.54893073846,9217.54893073846,226.05982486666682
A_base,2025-02-26,9047.936514812534,9047.936514812534,416.74704141167734
A_base,2025-02-27,9150.373764812535,9150.373764812535,6668.298123162497
A_base,2025-02-28,9205.347609812536,9205.347609812536,0.0
A_base,2025-03-01,9187.369293145868,9187.369293145868,0.0
A_base,2025-03-02,9222.22335314587,9222.22335314587,0.0
A_base,2025-03-03,9169.858840923647,9169.858840923647,0.0
A_base,2025-03-04,9078.878326108834,9078.878326108834,0.0
A_base,2025-03-05,8915.425795182908,8915.425795182908,0.0
A_base,2025-03-06,8833.310022034759,8833.310022034759,0.0
A_base,2025-03-07,8657.252399627352,8657.252399627352,0.0
A_base,2025-03-08,8626.943648701423,8626.943648701423,1093.0509377440028
A_base,2025-03-09,8593.284807219943,8593.284807219943,161.87196038104932
A_base,2025-03-10,8572.052864997722,8572.052864997722,3762.6340087644953
A_base,2025-03-11,8588.885439812537,8588.885439812537,0.0
A_base,2025-03-12,8627.343903331055,8627.343903331055,0.0
A_base,2025-03-13,8492.249405182907,8492.249405182907,3764.283117733839
A_base,2025-03-14,8429.71671814587,8429.71671814587,1287.888020045319
A_base,2025-03-15,8422.749383145869,8422.749383145869,596.1252893720775
A_base,2025-03-16,8221.45469388661,8221.45469388661,7.461180000000455
A_base,2025-03-17,8092.695735738462,8092.695735738462,0.0
A_base,2025-03-18,8182.78592814587,8182.78592814587,9411.38882174165
A_base,2025-03-19,8024.82448999772,8024.82448999772,0.0
