contrast,date,delta_total_cost_yuan,delta_planned_cost_yuan,delta_emergency_cost_yuan,delta_unused_kWh,delta_morning_emergency_cost_yuan,extreme
no_correction,2025-07-06,-2780.463294346351,608.974042591668,-3389.43733693799,0.0,249.93547051199494,best
no_correction,2025-09-08,-2585.2004265475334,-1515.8271933392607,-1069.37323320828,-252.77401872427964,0.0,best
no_correction,2025-06-05,-2539.9468861005444,548.5606981549936,-3088.5075842555525,0.0,269.6250685527648,best
no_correction,2025-07-03,-1975.8538321503438,611.7126989600001,-2587.5665311103367,0.0,273.6329871729904,best
no_correction,2025-09-07,-1909.763536199389,-1909.763536199389,0.0,-3437.8386534979427,0.0,best
q80,2025-09-07,-2112.047841553416,-2112.047841553416,0.0,-4032.462146296295,0.0,best
q80,2025-09-02,-1970.2487250524064,-1970.2487250524064,0.0,-4235.068484773667,0.0,best
q80,2025-09-06,-1936.314093699133,-1936.314093699133,0.0,-4919.149669135797,0.0,best
q80,2025-09-04,-1865.5940841006159,-1865.5940841006159,0.0,-4108.252023251029,0.0,best
q80,2025-09-03,-1854.3199051197516,-1854.3199051197516,0.0,-4261.627210288063,0.0,best
no_correction,2025-09-10,930.8008264540113,-109.71384693633445,1040.5146733903312,120.02869999999962,1040.514673390333,worst
no_correction,2025-06-08,421.0286347958245,481.4909504271636,-60.46231563133006,71.82839032922129,0.0,worst
no_correction,2025-05-17,418.8231656705502,432.54316254205696,-13.719996871506737,63.88833333333423,-13.719996871506623,worst
no_correction,2025-09-28,403.5356664178835,122.02329383356118,281.5123725843241,0.6983166666664147,281.5123725843241,worst
no_correction,2025-11-11,387.25395112072874,-13.844501582614612,401.09845270333665,68.61641666666651,3.471537889420791,worst
q80,2025-06-03,433.0386673932662,433.0386673932662,0.0,73.1085166666644,0.0,worst
q80,2025-07-07,430.3112813011321,430.3112813011321,0.0,18.720473251030853,0.0,worst
q80,2025-06-02,426.41432315560087,426.4143231555936,0.0,92.18142427983457,0.0,worst
q80,2025-06-05,370.52527194158756,370.52527194158756,0.0,36.35363436214311,0.0,worst
q80,2025-06-06,336.6717981091133,336.6717981091133,0.0,-8.268444238682605,0.0,worst
