date,delta_total,delta_emergency,delta_unused
2025-02-01,-564.7499999999927,0.0,-60.76499999999942
2025-02-02,-21.099050879085553,0.0,-191.98166666666475
2025-02-03,-77.06558043661789,0.0,-188.77833333333365
2025-02-04,-75.53836895171116,0.0,-159.45833333333485
2025-02-05,-63.08028343481419,0.0,-101.97666666666555
2025-02-06,-38.18784837934072,0.0,-89.34999999999854
2025-02-07,-32.95678087510532,0.0,-59.28666666666322
2025-02-08,-20.25692182781495,0.0,-100.83499999999913
2025-02-09,-37.657478206376254,0.0,-65.68084362140053
2025-02-10,-22.520078645437025,0.0,-27.616666666666788
2025-02-11,-5.844656582354219,0.0,-27.851666666666006
2025-02-12,-5.040044631721685,0.0,-36.40833333333103
2025-02-13,-7.951021179498639,0.0,-32.09833333333336
2025-02-14,-9.674350400022377,0.0,-63.590551851853434
2025-02-15,-25.18437849053589,0.0,-42.93166666666457
2025-02-16,-10.159580700405058,0.0,-4.1700000000005275
2025-02-17,5.240291043075558,0.0,-20.377880658432332
2025-02-18,-3.9394036416124436,0.0,-29.609650205761227
2025-02-19,-10.12735336915648,0.0,-41.25952674897326
2025-02-20,-13.791404693860386,0.0,-47.850761316874014
2025-02-21,-15.025147256543278,0.0,-49.52226337449156
2025-02-22,-19.609489337035484,0.0,-41.20333333333383
2025-02-23,-11.977821463595319,0.0,-35.63500000000204
2025-02-24,-9.292307573545258,0.0,-56.48913580247063
2025-02-25,-20.1934659499384,0.0,-62.01666666666824
2025-02-26,-18.63297026167129,0.0,-44.308333333330665
2025-02-27,-12.596511233772617,0.0,-92.35500000000138
2025-02-28,-37.62294329062206,0.0,-25.340164609055137
2025-03-01,-10.571729405804945,0.0,-59.7738534979444
2025-03-02,-23.34112774127425,0.0,-75.18611111111022
2025-03-03,-26.071090549135988,0.0,-81.10166666666282
2025-03-04,-28.670276428485522,0.0,-41.979999999997744
2025-03-05,-10.498422123178898,0.0,-74.83166666666511
2025-03-06,-26.003490228453302,0.0,-0.3400000000019645
2025-03-07,-19.41577422695991,0.0,-62.26002366255307
2025-03-08,-103.73544866358134,0.0,-68.95666666666511
2025-03-09,-23.991039954511507,0.0,-55.27333333333172
2025-03-10,-17.922686560479633,0.0,11.813148148148912
2025-03-11,7.4702724713642965,0.0,-127.83337448560087
2025-03-12,-49.8577613202724,0.0,-1.031666666665842
2025-03-13,8.495877174878842,0.0,-63.87333333333356
2025-03-14,-106.16883849190162,0.0,-15.752337654324947
2025-03-15,-88.34453029800352,0.0,-17.264403705760742
2025-03-16,8.040437150848447,0.0,-27.978333333332557
2025-03-17,-6.455026384755911,0.0,-85.53499999999985
2025-03-18,-31.08571782783838,0.0,-20.258333333333212
2025-03-19,3.5415764475765172,0.0,-93.87166666667144
2025-03-20,-34.70942717456637,0.0,-63.820576131686266
2025-03-21,-114.06627679289886,0.0,-52.171568724281315
2025-03-22,-94.8956284365704,0.0,-31.157303092593793
2025-03-23,-6.191733453415509,0.0,-90.52342037037124
2025-03-24,-33.02125541667192,0.0,-73.48666666666304
2025-03-25,-19.57360947217967,0.0,-50.9067695473268
2025-03-26,-19.601954825186112,0.0,-35.793333333334886
2025-03-27,-7.687493542813172,0.0,-10.28646090534994
2025-03-28,-91.13376165150112,0.0,-96.79498148148195
2025-03-29,-120.88443479443231,0.0,-86.87726646090232
2025-03-30,-27.854304957567365,0.0,-22.823333333332357
2025-03-31,-4.238651296982425,0.0,-73.03508230452508
2025-04-01,-27.72748359561956,0.0,-57.6548971193406
2025-04-02,-20.74331425469427,0.0,-90.38479423868193
2025-04-03,-33.18761011578317,0.0,-55.744835390953085
2025-04-04,-102.99655230483586,0.0,-40.49756522633834
2025-04-05,-102.48724978405153,0.0,-59.03566316872275
2025-04-06,-14.1489474427799,0.0,-73.55458847736554
2025-04-07,-26.589557023071393,0.0,-18.645000000001346
2025-04-08,-1.0874508747510845,0.0,-26.920000000000982
2025-04-09,-5.386913375063159,0.0,-51.9350000000004
2025-04-10,-16.51460091604531,0.0,-88.16333333333387
2025-04-11,-120.99229950329936,0.0,-96.13951481481854
2025-04-12,-123.15187038906515,0.0,-85.83151172839644
2025-04-13,-24.251695887491223,0.0,-53.71166666666704
