month,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,loss_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events,emergency_days
2025-02,1977903.8515754875,1191.6220918648614,156582.69691819794,583048.438404222,474415.3337217342,111017.6586983927,1200130.066736418,6496.954084782135,1206627.0208212002,23,18,12
2025-03,1839573.9552711253,4152.289288063201,202416.13735933305,604742.2352847437,489749.7945515547,114890.86736753603,1095110.9776930627,26572.272352819004,1121683.2500458818,27,8,6
2025-04,1593949.2786010494,6194.148365617907,277381.32897504914,553588.5601327213,448556.061141103,105198.4183622836,925995.3709864372,39292.22914444982,965287.600130887,23,6,6
2025-05,1605899.0810264084,5778.0688010491,321078.66051267606,541209.9344968956,437421.91014878097,102723.42791066525,950661.5916518676,36382.13125290974,987043.7229047774,41,11,10
2025-06,2096409.8728404269,14963.302014539158,255709.6963520042,557341.5168880327,451671.2045684041,105919.84108529265,1302260.2849848699,95567.42357232652,1397827.7085571964,76,31,16
2025-07,2297900.767463234,8001.462156302018,248284.69505493212,593353.092194409,480554.81714647176,112730.28890238224,1438444.781938657,51210.85774873988,1489655.6396873968,74,28,17
2025-08,2002003.9091030555,3670.7863840002365,315268.5215187109,561475.4994496054,455182.189747927,106723.34880584133,1251737.8770846038,24235.709625443924,1275973.5867100477,63,35,20
2025-09,1773582.7027539993,7221.914390417791,286032.6246658716,563186.4389235345,456798.3136949889,107074.01208068557,1091881.695200061,47098.38235856405,1138980.077558625,38,17,14
2025-10,1830725.7789963707,2307.5289278557757,242912.9911866115,604213.628304069,489226.90259978746,114779.90756371664,1102497.8865350306,15320.747734793475,1117818.634269824,27,12,11
2025-11,2052152.4636827686,282.07691568237703,146546.54525872524,620174.5092862905,502258.92192989786,117823.99780972883,1259617.0693820578,1753.1377105335953,1261370.2070925913,8,7,6
2025-12,2642901.010371677,8736.181180714966,153201.9967043894,708219.6618736743,573821.4032590046,134579.8998828124,1652336.8033807871,44263.77077908564,1696600.5741598727,36,12,5
