strategy_id,terminal_mode,date,day_index,elapsed_seconds,mip_gap,mip_node_count,mip_dual_bound_yuan,objective_bound_gap_yuan,terminal_target,terminal_lower_kWh,terminal_upper_kWh,fallback,residual_days,reason,check_bus_balance_max_abs_kWh,check_battery_balance_max_abs_kWh,check_boundary_error_kWh,check_state_bound_violation_kWh,check_flow_bound_violation_kWh,check_simultaneous_charge_discharge_kWh,check_binary_integrality_error,check_binary_bound_violation,check_binary_gate_violation_kWh
T_fixed6000,fixed6000,2025-02-01,31,0.023156700190156698,0.0,1,23542.794649841628,0.0,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,1.5543122344752192e-15,0.0,0.0
T_fixed6000,fixed6000,2025-02-02,32,0.02514549996703863,0.0,1,58828.136938661926,0.0,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,7.389644451905042e-13,0.0,0.0,0.0,0.0,1.2212453270876722e-15,0.0,0.0
T_fixed6000,fixed6000,2025-02-03,33,0.021602099994197488,0.0,1,55134.997484899905,-7.275957614183426e-12,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,2.4424906541753444e-15,1.3322676295501878e-15,1.1102230246251565e-12
T_fixed6000,fixed6000,2025-02-04,34,0.033239000011235476,0.0,1,55661.787179826,0.0,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,2.9531932455029164e-14,0.0,0.0
T_fixed6000,fixed6000,2025-02-05,35,0.02622610004618764,0.0,1,54467.03550158215,0.0,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,1.5543122344752192e-15,1.5543122344752192e-15,1.2952601953960159e-12
T_fixed6000,fixed6000,2025-02-06,36,0.02748239994980395,0.0,1,55856.03429408558,0.0,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,1.5543122344752192e-15,2.220446049250313e-16,1.850371707708594e-13
T_fixed6000,fixed6000,2025-02-07,37,0.03580249985679984,0.0,1,22727.821357504967,0.0,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,8.526512829121202e-13,0.0,0.0,0.0,0.0,1.1102230246251565e-15,1.1102230246251565e-15,9.25185853854297e-13
T_fixed6000,fixed6000,2025-02-08,38,0.04123299987986684,0.0,1,20931.495392884368,0.0,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,2.914335439641027e-15,0.0,0.0
T_fixed6000,fixed6000,2025-02-09,39,0.02946220012381673,0.0,1,55729.1088161092,0.0,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0
T_fixed6000,fixed6000,2025-02-10,40,0.01479980000294745,0.0,1,55882.71716342737,0.0,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-11,41,0.01540559995919466,0.0,1,54698.14041801573,7.275957614183426e-12,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-12,42,0.01448539993725717,0.0,1,54163.43064196798,0.0,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,9.663381206337363e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-13,43,0.031495700124651194,0.0,1,53383.330321856425,-7.275957614183426e-12,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,7.958078640513122e-13,0.0,0.0,0.0,0.0,5.551115123125783e-16,0.0,0.0
T_fixed6000,fixed6000,2025-02-14,44,0.044124200008809566,0.0,1,19398.351801030778,0.0,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,4.426762551048296e-12,1.5916157281026244e-12,5.3121150612579556e-15,5.3121150612579556e-15,3.14563190310461e-12
T_fixed6000,fixed6000,2025-02-15,45,0.05514990002848208,1.974395757752121e-16,1,18425.783143059452,3.637978807091713e-12,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,1.0231815394945443e-12,0.0,2.9558577807620168e-12,3.2842864230689076e-12,0.0,1.1777359888980554e-14,1.1777359888980554e-14,6.530180151081553e-12
T_fixed6000,fixed6000,2025-02-16,46,0.019952500006183982,0.0,1,50773.19461235581,0.0,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,6.821210263296962e-13,0.0,0.0,0.0,0.0,1.887379141862766e-15,0.0,0.0
T_fixed6000,fixed6000,2025-02-17,47,0.02494259993545711,0.0,1,51239.33485092257,0.0,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-18,48,0.02053950005210936,0.0,1,50331.35530541003,-7.275957614183426e-12,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-19,49,0.012870199978351593,0.0,1,49171.89976992526,0.0,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,7.105427357601002e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-20,50,0.021757700014859438,0.0,1,49824.251179809056,7.275957614183426e-12,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,8.100187187665142e-13,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0
T_fixed6000,fixed6000,2025-02-21,51,0.08692389982752502,0.0,1,18414.538638879956,0.0,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,1.5347723092418164e-12,0.0,0.0,1.5414438010103344e-12,0.0,4.5942557487163724e-15,4.5942557487163724e-15,3.828546457263643e-12
T_fixed6000,fixed6000,2025-02-22,52,0.07574500003829598,0.0,1,18006.04323572376,0.0,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,1.3642420526593924e-12,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0
T_fixed6000,fixed6000,2025-02-23,53,0.029225199948996305,0.0,1,47259.57249302515,0.0,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,1.9984014443252818e-15,1.9984014443252818e-15,1.6653345369377346e-12
T_fixed6000,fixed6000,2025-02-24,54,0.02253049984574318,1.5000431403093593e-16,1,48504.989081066546,7.275957614183426e-12,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,8.633094239485217e-13,0.0,0.0,0.0,0.0,3.3306690738754696e-15,0.0,0.0
T_fixed6000,fixed6000,2025-02-25,55,0.027586900163441896,0.0,1,47545.0469518386,0.0,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,4.884981308350689e-15,4.884981308350689e-15,4.070817756958907e-12
T_fixed6000,fixed6000,2025-02-26,56,0.02458340022712946,0.0,1,45845.768524936975,0.0,6000.0,6000.0,6000.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,1.850371707708594e-13
