strategy_id,predictor_id,alpha,date,slot,terminal_mode,nominal_charge_kWh,nominal_discharge_kWh,nominal_unused_kWh,nominal_binary_mode,nominal_state_start_kWh,nominal_state_end_kWh,nominal_planned_cost_yuan
T_fixed6000,P1,0.8,2025-02-01,0,fixed6000,553.9308074073981,0.0,0.0,0.9999999999999984,8801.462273333342,9300.0,430.35624856763866
T_fixed6000,P1,0.8,2025-02-01,1,fixed6000,833.3333333333333,0.0,0.0,1.0,9300.0,10050.0,550.9314804332919
T_fixed6000,P1,0.8,2025-02-01,2,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,202.71379086779396
T_fixed6000,P1,0.8,2025-02-01,3,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,201.52685253779896
T_fixed6000,P1,0.8,2025-02-01,4,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,202.74242218291235
T_fixed6000,P1,0.8,2025-02-01,5,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,216.18482459995994
T_fixed6000,P1,0.8,2025-02-01,6,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,214.45500324218582
T_fixed6000,P1,0.8,2025-02-01,7,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,209.80285215046584
T_fixed6000,P1,0.8,2025-02-01,8,fixed6000,0.0,0.0,0.0,-0.0,10050.0,10050.0,210.06688217902294
T_fixed6000,P1,0.8,2025-02-01,9,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,213.45242128423533
T_fixed6000,P1,0.8,2025-02-01,10,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,221.56660354380818
T_fixed6000,P1,0.8,2025-02-01,11,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,231.62764670595072
T_fixed6000,P1,0.8,2025-02-01,12,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,215.70277294735007
T_fixed6000,P1,0.8,2025-02-01,13,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,222.5827586677447
T_fixed6000,P1,0.8,2025-02-01,14,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,230.88576020678695
T_fixed6000,P1,0.8,2025-02-01,15,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,229.51959567307705
T_fixed6000,P1,0.8,2025-02-01,16,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,236.4974232186507
T_fixed6000,P1,0.8,2025-02-01,17,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,243.95803750722735
T_fixed6000,P1,0.8,2025-02-01,18,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,236.6955486198415
T_fixed6000,P1,0.8,2025-02-01,19,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,238.07237112788061
T_fixed6000,P1,0.8,2025-02-01,20,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,238.15270358928464
T_fixed6000,P1,0.8,2025-02-01,21,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,228.05725275824005
T_fixed6000,P1,0.8,2025-02-01,22,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,231.11699404077126
T_fixed6000,P1,0.8,2025-02-01,23,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,244.44862155968673
T_fixed6000,P1,0.8,2025-02-01,24,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,243.13847239261938
T_fixed6000,P1,0.8,2025-02-01,25,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,242.18139267891635
T_fixed6000,P1,0.8,2025-02-01,26,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,247.16344555098988
T_fixed6000,P1,0.8,2025-02-01,27,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,248.47529462595799
T_fixed6000,P1,0.8,2025-02-01,28,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,252.32041021439298
T_fixed6000,P1,0.8,2025-02-01,29,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,244.9756697577309
T_fixed6000,P1,0.8,2025-02-01,30,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,249.95785210985065
T_fixed6000,P1,0.8,2025-02-01,31,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,267.6490663926874
T_fixed6000,P1,0.8,2025-02-01,32,fixed6000,0.0,0.0,0.0,0.0,10050.0,10050.0,256.7468337760455
T_fixed6000,P1,0.8,2025-02-01,33,fixed6000,833.3333333333333,0.0,0.0,1.0,10050.0,10800.0,527.3226100132694
T_fixed6000,P1,0.8,2025-02-01,34,fixed6000,0.0,-0.0,0.0,0.0,10800.0,10800.0,322.92189414555736
T_fixed6000,P1,0.8,2025-02-01,35,fixed6000,0.0,566.4466098600742,0.0,0.0,10800.0,10170.61487793325,0.0
T_fixed6000,P1,0.8,2025-02-01,36,fixed6000,0.0,573.6900466400259,0.0,0.0,10170.61487793325,9533.181492777667,0.0
T_fixed6000,P1,0.8,2025-02-01,37,fixed6000,0.0,575.0569644094265,0.0,0.0,9533.181492777667,8894.229310100527,0.0
T_fixed6000,P1,0.8,2025-02-01,38,fixed6000,0.0,575.9472217807079,0.0,0.0,8894.229310100527,8254.287952566407,0.0
T_fixed6000,P1,0.8,2025-02-01,39,fixed6000,0.0,575.6946117683082,0.0,0.0,8254.287952566407,7614.627272823842,0.0
T_fixed6000,P1,0.8,2025-02-01,40,fixed6000,0.0,605.3307457725022,0.0,0.0,7614.627272823842,6942.037555298839,0.0
T_fixed6000,P1,0.8,2025-02-01,41,fixed6000,0.0,610.5270516275538,0.0,0.0,6942.037555298839,6263.674164601557,0.0
T_fixed6000,P1,0.8,2025-02-01,42,fixed6000,0.0,572.5359359477634,0.0,0.0,6263.674164601557,5627.523124659598,0.0
T_fixed6000,P1,0.8,2025-02-01,43,fixed6000,0.0,516.8737321813171,0.0,0.0,5627.523124659598,5053.218977791467,0.0
T_fixed6000,P1,0.8,2025-02-01,44,fixed6000,0.0,477.96532628872234,0.0,0.0,5053.218977791467,4522.14639302622,0.0
T_fixed6000,P1,0.8,2025-02-01,45,fixed6000,0.0,432.1899523270068,0.0,0.0,4522.14639302622,4041.935334885101,0.0
T_fixed6000,P1,0.8,2025-02-01,46,fixed6000,0.0,378.83379798745136,0.0,0.0,4041.935334885101,3621.0088926768217,0.0
T_fixed6000,P1,0.8,2025-02-01,47,fixed6000,0.0,337.8781911224214,0.0,0.0,3621.0088926768217,3245.588680318576,0.0
T_fixed6000,P1,0.8,2025-02-01,48,fixed6000,0.0,297.99246300209103,0.0,0.0,3245.588680318576,2914.485943649586,0.0
T_fixed6000,P1,0.8,2025-02-01,49,fixed6000,0.0,221.70306411229495,0.0,0.0,2914.485943649586,2668.149205747036,0.0
T_fixed6000,P1,0.8,2025-02-01,50,fixed6000,0.0,200.1140405235423,0.0,0.0,2668.149205747036,2445.800271831989,0.0
T_fixed6000,P1,0.8,2025-02-01,51,fixed6000,0.0,125.4016535816711,0.0,0.0,2445.800271831989,2306.4651011856877,0.0
