strategy_id,predictor_id,alpha,date,issue_time,slot,start_time,end_time,price_yuan_kWh,load_kW,pv_kW,load_forecast_kW,pv_forecast_kW,net_forecast_kWh,residual_adjustment_kWh,protected_net_kWh,residual_days,fallback_reason,planned_kWh,charge_kWh,discharge_kWh,emergency_kWh,unused_kWh,state_start_kWh,state_end_kWh,nominal_state_end_kWh,planned_cost_yuan,emergency_cost_yuan,terminal_mode,nominal_terminal_target_kWh,nominal_terminal_lower_kWh,nominal_terminal_upper_kWh,nominal_terminal_violation_kWh
T_fixed6000,P1,0.8,2025-02-01,2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:10:00,0.4248,2532.1822,0.0,2639.7079699313745,0.0,439.95132832189574,19.19754545629621,459.14887377819196,28,,1013.0796811855901,591.0493145189234,0.0,0.0,0.0,8801.462273333342,9333.406656400373,9300.0,430.35624856763866,0.0,fixed6000,6000.0,6000.0,6000.0,0.0
T_fixed6000,P1,0.8,2025-02-01,2025-02-01,1,2025-02-01 00:10:00,2025-02-01 00:20:00,0.4245,2492.4439,0.0,2710.0206912832773,0.0,451.6701152138795,12.832783333333396,464.5028985472129,28,,1297.8362318805462,833.3333333333333,0.0,0.0,49.095581880546206,9333.406656400373,10083.406656400373,10050.0,550.9314804332919,0.0,fixed6000,6000.0,6000.0,6000.0,0.0
T_fixed6000,P1,0.8,2025-02-01,2025-02-01,2,2025-02-01 00:20:00,2025-02-01 00:30:00,0.4269,2464.3,0.0,2761.730544932637,0.0,460.28842415543943,14.562339179753735,474.85076333519316,28,,474.85076333519316,64.13409666852647,0.0,0.0,0.0,10083.406656400373,10141.127343402048,10050.0,202.71379086779396,0.0,fixed6000,6000.0,6000.0,6000.0,0.0
T_fixed6000,P1,0.8,2025-02-01,2025-02-01,3,2025-02-01 00:30:00,2025-02-01 00:40:00,0.4272,2581.7688,0.0,2736.037180578772,0.0,456.0061967631287,15.732690263554218,471.7388870266829,28,,471.73888702668296,41.44408702668301,0.0,0.0,0.0,10141.127343402048,10178.427021726062,10050.0,201.52685253779896,0.0,fixed6000,6000.0,6000.0,6000.0,0.0
T_fixed6000,P1,0.8,2025-02-01,2025-02-01,4,2025-02-01 00:40:00,2025-02-01 00:50:00,0.4271,2546.4635,0.0,2677.406836613144,0.0,446.23447276885736,28.460966666666764,474.6954394355241,28,,474.6954394355241,50.284856102190815,0.0,0.0,0.0,10178.427021726062,10223.683392218034,10050.0,202.74242218291235,0.0,fixed6000,6000.0,6000.0,6000.0,0.0
T_fixed6000,P1,0.8,2025-02-01,2025-02-01,5,2025-02-01 00:50:00,2025-02-01 01:00:00,0.4285,2436.31,0.0,2822.6120597427303,0.0,470.435343290455,34.07999999999993,504.51534329045495,28,,504.51534329045495,98.46367662378833,0.0,0.0,0.0,10223.683392218034,10312.300701179443,10050.0,216.18482459995994,0.0,fixed6000,6000.0,6000.0,6000.0,0.0
T_fixed6000,P1,0.8,2025-02-01,2025-02-01,6,2025-02-01 01:00:00,2025-02-01 01:10:00,0.4311,2620.5011,0.0,2848.2915616170603,0.0,474.71526026951005,22.744733333333443,497.4599936028435,28,,497.4599936028435,60.70981026951017,0.0,0.0,0.0,10312.300701179443,10366.939530422003,10050.0,214.45500324218582,0.0,fixed6000,6000.0,6000.0,6000.0,0.0
T_fixed6000,P1,0.8,2025-02-01,2025-02-01,7,2025-02-01 01:10:00,2025-02-01 01:20:00,0.4302,2710.7861,0.0,2791.6672715546147,0.0,465.27787859243574,22.408899999999903,487.68677859243564,28,,487.68677859243564,35.88909525910236,0.0,0.0,0.0,10366.939530422003,10399.239716155196,10050.0,209.80285215046584,0.0,fixed6000,6000.0,6000.0,6000.0,0.0
T_fixed6000,P1,0.8,2025-02-01,2025-02-01,8,2025-02-01 01:20:00,2025-02-01 01:30:00,0.4279,2676.48,0.0,2761.6110471468514,0.0,460.2685078578086,30.656666666666638,490.9251745244752,28,,490.9251745244752,44.845174524475226,0.0,0.0,0.0,10399.239716155196,10439.600373227224,10050.0,210.06688217902294,0.0,fixed6000,6000.0,6000.0,6000.0,0.0
T_fixed6000,P1,0.8,2025-02-01,2025-02-01,9,2025-02-01 01:30:00,2025-02-01 01:40:00,0.4312,2830.598,0.0,2852.6987792797127,0.0,475.44979654661876,19.56973333333326,495.019529879952,28,,495.019529879952,23.25319654661871,0.0,0.0,0.0,10439.600373227224,10460.528250119181,10050.0,213.45242128423533,0.0,fixed6000,6000.0,6000.0,6000.0,0.0
T_fixed6000,P1,0.8,2025-02-01,2025-02-01,10,2025-02-01 01:40:00,2025-02-01 01:50:00,0.4333,2688.1558,0.0,2964.45798609012,0.0,494.07633101501995,17.27055000000007,511.34688101502,28,,511.34688101502,63.32091434835337,0.0,0.0,0.0,10460.528250119181,10517.517073032699,10050.0,221.56660354380818,0.0,fixed6000,6000.0,6000.0,6000.0,0.0
