strategy_id,predictor_id,alpha,terminal_mode,date,initial_kWh,final_kWh,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,loss_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events,solved,solver_seconds,mip_gap,milp_fallback,mip_node_count,mip_dual_bound_yuan,objective_bound_gap_yuan,nominal_terminal_kWh,nominal_terminal_target_kWh,nominal_terminal_lower_kWh,nominal_terminal_upper_kWh,nominal_terminal_violation_kWh,nominal_terminal_error_kWh
T_fixed6000,P1,0.8,fixed6000,2025-02-01,8801.462273333342,7269.76577278695,44626.64872586629,0.0,8506.17998036737,16425.366645564955,14683.07383339937,3273.989312711982,23542.794649841628,0.0,23542.794649841628,0,0,True,0.023156700190156698,0.0,False,1,23542.794649841628,0.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0
T_fixed6000,P1,0.8,fixed6000,2025-02-02,7269.76577278695,7129.7726504980155,92544.99377363615,0.0,10282.816524806469,21220.490046788,17314.590747958322,4045.892421118614,58828.13693866192,0.0,58828.13693866192,0,0,True,0.02514549996703863,0.0,False,1,58828.136938661926,0.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0
T_fixed6000,P1,0.8,fixed6000,2025-02-03,7129.7726504980155,6298.396052752799,87533.82401867397,0.0,3873.7080674293784,22060.20204850161,18617.002597257004,4274.576048989829,55134.997484899905,0.0,55134.997484899905,0,0,True,0.021602099994197488,0.0,False,1,55134.997484899905,-7.275957614183426e-12,6000.0,6000.0,6000.0,6000.0,0.0,0.0
T_fixed6000,P1,0.8,fixed6000,2025-02-04,6298.396052752799,6557.857982118015,88728.71315734097,0.0,2626.512129413666,24599.059692097988,19691.722614170674,4647.875148562097,55661.787179826,0.0,55661.787179826,0,0,True,0.033239000011235476,0.0,False,1,55661.787179826,0.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0
T_fixed6000,P1,0.8,fixed6000,2025-02-05,6557.857982118015,6375.790636107738,86834.1858102328,394.3615061351005,2094.9683297728657,23942.171656162907,19557.01965290122,4567.219349271983,54467.03550158214,1927.8676231867933,56394.903124768935,5,3,True,0.02622610004618764,0.0,False,1,54467.03550158215,0.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0
T_fixed6000,P1,0.8,fixed6000,2025-02-06,6375.790636107738,6441.355769666296,88727.06618814683,21.052866666666773,4031.881676715587,23085.113374887114,18639.933213455864,4379.615027872698,55856.03429408558,122.98032063333395,55979.01461471891,1,1,True,0.02748239994980395,0.0,False,1,55856.03429408558,0.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0
T_fixed6000,P1,0.8,fixed6000,2025-02-07,6441.355769666296,6550.013888855438,43974.3248461327,0.0,8404.766972933208,19295.188943487356,15531.310736954529,3655.220087343684,22727.821357504967,0.0,22727.821357504967,0,0,True,0.03580249985679984,0.0,False,1,22727.821357504967,0.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0
T_fixed6000,P1,0.8,fixed6000,2025-02-08,6550.013888855438,6584.947409231337,40446.90515981955,0.0,5277.95540115101,18738.667756124036,15146.880714122155,3556.8535216259766,20931.495392884368,0.0,20931.495392884368,0,0,True,0.04123299987986684,0.0,False,1,20931.495392884368,0.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0
T_fixed6000,P1,0.8,fixed6000,2025-02-09,6584.947409231337,6620.367931235481,88505.49832343275,0.0,4533.19108899227,23079.014726158406,18662.123458384587,4381.470745769685,55729.10881610919,0.0,55729.10881610919,0,0,True,0.02946220012381673,0.0,False,1,55729.1088161092,0.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0
T_fixed6000,P1,0.8,fixed6000,2025-02-10,6620.367931235481,6538.441540633133,88727.59801424692,0.0,10680.494354377784,19969.472779357504,16249.00670282169,3802.392467138161,55882.71716342737,0.0,55882.71716342737,0,0,True,0.01479980000294745,0.0,False,1,55882.71716342737,0.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0
