month,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kWh,unused_kWh
2025-02,1218196.3429357293,2860.2098116779052,1221056.5527474072,606.952843333331,177980.09521719138
2025-03,1124164.7375535662,27122.438542646127,1151287.1760962124,4560.210112580245,248635.1661185103
2025-04,954832.7087056384,10536.793486521365,965369.5021921598,1892.6963188333375,318224.2001776152
2025-05,976742.7208876659,57099.32136974452,1033842.0422574104,8960.169486499977,360284.95853227365
2025-06,1335812.2968773458,125147.71676926428,1460960.01364661,19547.397053166645,306731.2522698745
2025-07,1507569.2099986295,196585.9823984239,1704155.1923970534,32981.24247388886,368704.52079500485
2025-08,1282862.271549012,17693.36368463961,1300555.6352336516,2709.3334354999915,360965.1108283951
2025-09,1145839.4959594938,25036.459064974708,1170875.9550244685,3890.533000825098,360515.2314600761
2025-10,1139555.9743029897,753.9627065419,1140309.9370095315,135.25200966666267,289800.4871063786
2025-11,1271391.4038490478,2347.04524980172,1273738.4490988497,439.4990264999956,165038.99053230454
2025-12,1679442.3197004618,74190.15481279547,1753632.4745132574,14537.857207166666,201826.27262242802
