group,date,update_hour,kind,objective_yuan,mip_gap,seconds,max_violation_kWh,n_intervals,context
Q42,2025-02-01,0,plan,18072.16102020545,0.0,0.03143860003910959,1.4495071809506044e-12,144,Q42 2025-02-01 00:00 plan
Q42,2025-02-02,0,plan,64818.14930707535,0.0,0.01375929987989366,9.094947017729282e-13,144,Q42 2025-02-02 00:00 plan
Q42,2025-02-03,0,plan,64281.12082453788,0.0,0.01623989990912378,7.958078640513122e-13,144,Q42 2025-02-03 00:00 plan
Q42,2025-02-04,0,plan,61636.54508210473,0.0,0.025198000017553568,9.094947017729282e-13,144,Q42 2025-02-04 00:00 plan
Q42,2025-02-05,0,plan,61518.05575975744,0.0,0.02940390002913773,9.251858538542972e-13,144,Q42 2025-02-05 00:00 plan
Q42,2025-02-06,0,plan,62348.04515554903,0.0,0.0235814000479877,7.958078640513122e-13,144,Q42 2025-02-06 00:00 plan
Q42,2025-02-07,0,plan,18056.674465009193,0.0,0.04315149993635714,9.094947017729282e-13,144,Q42 2025-02-07 00:00 plan
Q42,2025-02-08,0,plan,16751.258643124,0.0,0.04651469993405044,1.8189894035458565e-12,144,Q42 2025-02-08 00:00 plan
Q42,2025-02-09,0,plan,61478.536148350315,1.1834955856180816e-16,0.032204699935391545,1.96139401017111e-11,144,Q42 2025-02-09 00:00 plan
Q42,2025-02-10,0,plan,60147.2896871244,0.0,0.014059399953112006,9.094947017729282e-13,144,Q42 2025-02-10 00:00 plan
Q42,2025-02-11,0,plan,59706.76549013858,0.0,0.014763700077310205,9.094947017729282e-13,144,Q42 2025-02-11 00:00 plan
Q42,2025-02-12,0,plan,58158.41554862725,0.0,0.020678899949416518,9.094947017729282e-13,144,Q42 2025-02-12 00:00 plan
Q42,2025-02-13,0,plan,57734.27242438939,0.0,0.02482130005955696,9.094947017729282e-13,144,Q42 2025-02-13 00:00 plan
Q42,2025-02-14,0,plan,15619.591013695961,0.0,0.04640799993649125,1.0231815394945443e-12,144,Q42 2025-02-14 00:00 plan
Q42,2025-02-15,0,plan,14891.426465196984,0.0,0.0325696999207139,2.5350092395607742e-11,144,Q42 2025-02-15 00:00 plan
Q42,2025-02-16,0,plan,54782.457706906054,0.0,0.01943270000629127,9.094947017729282e-13,144,Q42 2025-02-16 00:00 plan
Q42,2025-02-17,0,plan,54735.56101006254,0.0,0.021467499900609255,8.384404281969182e-13,144,Q42 2025-02-17 00:00 plan
Q42,2025-02-18,0,plan,53761.15830480834,2.70677114988152e-16,0.020427600014954805,9.094947017729282e-13,144,Q42 2025-02-18 00:00 plan
Q42,2025-02-19,0,plan,51949.17894229225,0.0,0.031209300039336085,1.3644742431854238e-11,144,Q42 2025-02-19 00:00 plan
Q42,2025-02-20,0,plan,53317.92167068912,0.0,0.023107500048354268,8.100187187665142e-13,144,Q42 2025-02-20 00:00 plan
Q42,2025-02-21,0,plan,14751.212023371489,0.0,0.04859489994123578,9.094947017729282e-13,144,Q42 2025-02-21 00:00 plan
Q42,2025-02-22,0,plan,14612.847951303736,0.0,0.026131999911740422,1.3507713466272738e-11,144,Q42 2025-02-22 00:00 plan
Q42,2025-02-23,0,plan,50197.964688745364,0.0,0.043664899887517095,8.553158181712206e-13,144,Q42 2025-02-23 00:00 plan
Q42,2025-02-24,0,plan,51504.25521943692,0.0,0.020071599865332246,9.094947017729282e-13,144,Q42 2025-02-24 00:00 plan
Q42,2025-02-25,0,plan,50710.01408425994,0.0,0.028928699903190136,8.100187187665142e-13,144,Q42 2025-02-25 00:00 plan
Q42,2025-02-26,0,plan,49881.41930964924,0.0,0.03793500014580786,2.6147972675971687e-12,144,Q42 2025-02-26 00:00 plan
Q42,2025-02-27,0,plan,48070.69137881963,0.0,0.022599199786782265,9.094947017729282e-13,144,Q42 2025-02-27 00:00 plan
Q42,2025-02-28,0,plan,14011.096080758947,0.0,0.07284689997322857,3.700743415417189e-12,144,Q42 2025-02-28 00:00 plan
Q42,2025-03-01,0,plan,13750.52157945449,0.0,0.09357169992290437,2.4054832200211726e-12,144,Q42 2025-03-01 00:00 plan
Q42,2025-03-02,0,plan,47252.96746307612,0.0,0.02892820001579821,1.1578057148983404e-12,144,Q42 2025-03-02 00:00 plan
Q42,2025-03-03,0,plan,50349.63415394698,0.0,0.020149199990555644,7.958078640513122e-13,144,Q42 2025-03-03 00:00 plan
Q42,2025-03-04,0,plan,50961.60136219575,1.4277333167911133e-16,0.024807400070130825,1.8503717077085944e-12,144,Q42 2025-03-04 00:00 plan
Q42,2025-03-05,0,plan,49633.896008327865,0.0,0.0219822998624295,1.6653345369377348e-12,144,Q42 2025-03-05 00:00 plan
Q42,2025-03-06,0,plan,48684.835787144584,0.0,0.02271770010702312,9.094947017729282e-13,144,Q42 2025-03-06 00:00 plan
Q42,2025-03-07,0,plan,13354.548316597058,0.0,0.03729670005850494,8.242295734817162e-13,144,Q42 2025-03-07 00:00 plan
Q42,2025-03-08,0,plan,12727.278644965641,2.8584105908066523e-16,0.04775179992429912,9.094947017729282e-13,144,Q42 2025-03-08 00:00 plan
Q42,2025-03-09,0,plan,47018.474627024174,0.0,0.04297209996730089,1.3322676295501878e-11,144,Q42 2025-03-09 00:00 plan
Q42,2025-03-10,0,plan,47462.147981469236,0.0,0.06779289990663528,2.087657704552967e-12,144,Q42 2025-03-10 00:00 plan
Q42,2025-03-11,0,plan,49510.86514508487,0.0,0.028298099990934134,9.094947017729282e-13,144,Q42 2025-03-11 00:00 plan
Q42,2025-03-12,0,plan,44811.097209720734,0.0,0.020068200072273612,9.094947017729282e-13,144,Q42 2025-03-12 00:00 plan
Q42,2025-03-13,0,plan,45324.718737399795,0.0,0.036451999796554446,9.094947017729282e-13,144,Q42 2025-03-13 00:00 plan
Q42,2025-03-14,0,plan,12698.159103723268,0.0,0.057452699868008494,4.355721709240849e-09,144,Q42 2025-03-14 00:00 plan
Q42,2025-03-15,0,plan,12706.847155797315,0.0,0.0543760999571532,2.7755575615628914e-12,144,Q42 2025-03-15 00:00 plan
Q42,2025-03-16,0,plan,45598.36827038151,0.0,0.027597200125455856,9.094947017729282e-13,144,Q42 2025-03-16 00:00 plan
Q42,2025-03-17,0,plan,43042.65115065177,0.0,0.020991900004446507,8.242295734817162e-13,144,Q42 2025-03-17 00:00 plan
Q42,2025-03-18,0,plan,43133.37039512589,0.0,0.02653679996728897,9.094947017729282e-13,144,Q42 2025-03-18 00:00 plan
Q42,2025-03-19,0,plan,41822.883229740735,0.0,0.031285000033676624,5.551115123125783e-12,144,Q42 2025-03-19 00:00 plan
Q42,2025-03-20,0,plan,42895.16636140069,0.0,0.02990309987217188,8.100187187665142e-13,144,Q42 2025-03-20 00:00 plan
Q42,2025-03-21,0,plan,11969.497121191045,0.0,0.021431799978017807,8.810729923425242e-13,144,Q42 2025-03-21 00:00 plan
