scenario,year,gdp_trillion,population_million,coal_share,clean_share,pred_mt_raw,pred_mt,intensity_mt_per_trillion_yuan,intensity_base_2025,intensity_reduction_pct,total_yoy_pct,row_type,lower_mt,upper_mt,path_valid
基准,2025,141.65382,140.8,0.524,0.296,12033.160060668566,11639.657907215447,82.16974245534252,82.16974245534252,0.0,,anchor,11499.724530539414,11779.591283891481,True
基准,2026,148.02824189999998,140.9408,0.518,0.302,12154.878135861303,11757.39562110151,79.42670581093695,82.16974245534252,3.3382563489186334,1.0115221153800258,forecast,11617.462244425476,11897.328997777544,True
基准,2027,154.68951278549997,141.08174079999998,0.512,0.308,12278.690092005709,11877.15874293137,76.78063321203176,82.16974245534252,6.5585081348400465,1.0186194773859292,forecast,11679.263063807459,12075.05442205528,True
基准,2028,161.65054086084746,141.22282254079997,0.506,0.314,12404.60111289206,11998.952286977683,74.22772743647458,82.16974245534252,9.665376550479332,1.0254434303894389,forecast,11756.580568900119,12241.324005055247,True
基准,2029,168.9248151995856,141.36404536334075,0.5,0.32,12532.617771705114,12122.782611472334,71.7643680542092,82.16974245534252,12.663267633811081,1.0320094749359354,forecast,11842.915858120266,12402.649364824401,True
基准,2030,176.52643188356694,141.50540940870408,0.494,0.326,12662.747947649099,12248.657337957904,69.38710088490802,82.16974245534252,15.556385098056724,1.038331961561778,forecast,11935.756795389208,12561.5578805266,True
基准,2031,183.58748915890962,141.64691481811278,0.488,0.332,12776.004319911175,12358.210059129768,67.31509927908405,82.16974245534252,18.077996513536164,0.8944059593565923,forecast,12015.444688288808,12700.975429970727,True
基准,2032,190.93098872526602,141.78856173293087,0.482,0.338,12891.023054911084,12469.467511168115,65.30876729031479,82.16974245534252,20.519688465850194,0.9002715725499044,forecast,12099.238596365803,12839.696425970427,True
基准,2033,198.56822827427666,141.93035029466378,0.476,0.34400000000000003,13007.806839056915,12582.432292631518,63.36578818264804,82.16974245534252,22.884280406396574,0.9059310781493135,forecast,12186.640934383699,12978.223650879338,True
基准,2034,206.51095740524772,142.07228064495843,0.47,0.35000000000000003,13126.359360001954,12697.107970581535,61.4839431772393,82.16974245534252,25.17447257346036,0.9113951522486952,forecast,12277.307840553434,13116.908100609637,True
基准,2035,214.77139570145764,142.21435292560338,0.46399999999999997,0.35600000000000004,13246.68525007363,12813.49902586163,59.66110609847225,82.16974245534252,27.392852507847664,0.9166737460984509,forecast,12370.990834887081,13256.00721683618,True
基准,2036,222.28839455100862,142.35656727852896,0.45799999999999996,0.36200000000000004,13348.846129049927,12912.319092809073,58.088138694285625,82.16974245534252,29.30714280155463,0.7712184372745678,forecast,12448.212586727199,13376.425598890948,True
