month,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events,delta_total_cost_yuan_vs_A
2025-02,2105436.2798008453,62.17018333333294,282172.0509110288,566568.6476446502,457121.92063816666,1286365.894772115,282.02884769166485,1286647.9236198068,4,4,53665.35032687755
2025-03,2005130.0824115926,566.0032466666644,364946.9419913766,602270.932632716,487839.4554325,1200731.1476430816,2683.2766443886558,1203414.4242874703,9,3,-40855.75425119209
2025-04,1772027.3754614794,0.0,448178.1031649877,558524.596297325,452404.9230008333,1035172.3705721523,0.0,1035172.3705721523,0,0,-31856.329286033055
2025-05,1818152.420899792,4006.633598833323,532145.8312019096,543172.4122634176,439969.6539333683,1084825.7436679727,24961.085260198768,1109786.8289281714,31,11,-49207.300546201644
2025-06,2372775.153532027,7111.289657166659,529851.1532030165,526537.4936991768,426495.3698963333,1486064.5605596392,46304.33818592812,1532368.8987455675,54,19,-153725.01901125
2025-07,2648851.9289723453,11077.73458633332,612848.0919138269,538222.6954115023,435960.38328331686,1678304.0902882437,68709.75917457695,1747013.8494628204,75,18,-109519.18641194724
2025-08,2210413.240034323,1003.5449738333314,518671.90577227785,571747.4472063784,463115.4322371666,1378236.0235676477,6028.952568343403,1384264.976135991,28,18,2359.169283475261
2025-09,2026742.0963964772,218.418181166667,535185.9261029322,544161.6906563785,440770.96943166666,1254549.9306798468,1231.2031163270076,1255781.1337961738,11,9,-11793.615468831966
2025-10,2014654.4420126316,8.010300000000143,426523.7574050218,594763.7046014555,481758.600727179,1224425.4378862875,37.52024520000067,1224462.9581314875,2,2,199.5948264838662
2025-11,2171321.280470292,15.484550000000013,267580.66636193416,609387.8456580247,493604.154983,1336408.5979604006,72.34334970000005,1336480.9413101005,2,2,-21241.91691288771
2025-12,2816250.5321304523,6354.103749000001,331384.01293107,669387.8248160493,542204.138101,1770006.8148946038,31131.495704128254,1801138.310598732,28,7,-99860.78758255113
