簇编号,边序号,起点,终点,长度_km,费用_元
2,1,10,147,1.000000,445000.00
2,2,10,165,1.414214,629325.04
2,3,147,146,1.414214,629325.04
2,4,165,152,2.000000,890000.00
2,5,146,168,2.236068,995050.25
2,6,168,169,2.000000,890000.00
2,7,168,171,2.000000,890000.00
2,8,171,172,2.000000,890000.00
2,9,169,170,2.236068,995050.25
2,10,172,11,2.236068,995050.25
2,11,11,151,1.000000,445000.00
2,12,151,174,1.000000,445000.00
2,13,11,173,2.000000,890000.00
2,14,170,153,2.236068,995050.25
2,15,170,158,2.236068,995050.25
3,1,96,97,2.000000,890000.00
3,2,96,107,2.000000,890000.00
3,3,96,1,2.236068,995050.25
3,4,97,105,2.236068,995050.25
3,5,105,145,1.414214,629325.04
3,6,107,91,2.236068,995050.25
3,7,91,110,1.414214,629325.04
3,8,91,90,1.414214,629325.04
3,9,97,103,2.828427,1258650.07
3,10,103,108,2.828427,1258650.07
3,11,91,92,2.828427,1258650.07
3,12,1,106,3.000000,1335000.00
3,13,92,93,3.000000,1335000.00
4,1,67,48,2.236068,995050.25
4,2,48,69,1.414214,629325.04
4,3,48,46,2.828427,1258650.07
4,4,46,45,2.236068,995050.25
4,5,45,72,2.236068,995050.25
4,6,72,71,1.414214,629325.04
4,7,45,47,2.236068,995050.25
4,8,47,18,2.828427,1258650.07
4,9,18,17,2.236068,995050.25
4,10,17,19,2.000000,890000.00
4,11,45,68,3.162278,1407213.56
4,12,71,70,3.605551,1604470.32
5,1,24,20,3.000000,1335000.00
6,1,139,112,1.414214,629325.04
6,2,139,140,3.000000,1335000.00
6,3,140,141,2.000000,890000.00
6,4,140,113,2.000000,890000.00
6,5,140,142,2.236068,995050.25
6,6,142,27,2.000000,890000.00
6,7,27,23,3.000000,1335000.00
6,8,23,28,2.236068,995050.25
6,9,28,29,1.414214,629325.04
6,10,29,22,1.414214,629325.04
6,11,29,21,2.000000,890000.00
6,12,21,30,2.000000,890000.00
6,13,23,121,3.162278,1407213.56
7,1,34,39,1.414214,629325.04
7,2,39,120,1.414214,629325.04
7,3,120,119,2.828427,1258650.07
7,4,39,37,3.000000,1335000.00
7,5,37,40,2.236068,995050.25
7,6,40,6,3.000000,1335000.00
7,7,40,115,3.162278,1407213.56
7,8,115,114,1.414214,629325.04
7,9,114,136,2.828427,1258650.07
7,10,119,118,3.162278,1407213.56
7,11,118,124,3.000000,1335000.00
8,1,9,49,1.000000,445000.00
8,2,9,59,2.000000,890000.00
8,3,59,57,3.605551,1604470.32
8,4,57,179,2.000000,890000.00
8,5,179,177,1.000000,445000.00
8,6,179,150,2.000000,890000.00
8,7,150,176,2.236068,995050.25
8,8,176,178,2.828427,1258650.07
9,1,160,157,2.000000,890000.00
9,2,160,159,2.236068,995050.25
9,3,160,148,2.828427,1258650.07
9,4,148,8,3.605551,1604470.32
9,5,8,135,3.162278,1407213.56
9,6,135,116,2.236068,995050.25
9,7,135,117,2.236068,995050.25
9,8,117,132,3.000000,1335000.00
9,9,132,133,3.605551,1604470.32
9,10,133,134,3.605551,1604470.32
10,1,64,65,2.236068,995050.25
10,2,65,52,2.000000,890000.00
10,3,52,85,2.000000,890000.00
10,4,85,86,1.000000,445000.00
10,5,85,7,2.000000,890000.00
10,6,86,87,2.000000,890000.00
10,7,7,44,3.162278,1407213.56
10,8,44,84,2.000000,890000.00
10,9,84,56,2.000000,890000.00
10,10,56,77,1.414214,629325.04
10,11,77,75,2.000000,890000.00
10,12,75,43,2.000000,890000.00
10,13,65,66,4.000000,1780000.00
11,1,98,102,3.000000,1335000.00
11,2,102,104,2.000000,890000.00
11,3,104,3,4.000000,1780000.00
11,4,3,123,3.162278,1407213.56
11,5,123,138,2.828427,1258650.07
11,6,138,5,2.000000,890000.00
11,7,5,137,1.000000,445000.00
11,8,137,131,3.162278,1407213.56
11,9,123,122,3.162278,1407213.56
11,10,122,144,1.414214,629325.04
11,11,144,143,2.000000,890000.00
12,1,51,62,4.000000,1780000.00
12,2,62,61,1.000000,445000.00
12,3,61,60,2.000000,890000.00
12,4,62,63,3.162278,1407213.56
12,5,51,180,4.472136,1990100.50
13,1,32,31,1.000000,445000.00
13,2,32,15,2.000000,890000.00
13,3,15,33,1.414214,629325.04
13,4,33,16,1.414214,629325.04
13,5,32,14,2.236068,995050.25
13,6,14,13,1.414214,629325.04
13,7,13,25,2.828427,1258650.07
13,8,25,26,2.236068,995050.25
13,9,26,12,1.414214,629325.04
13,10,26,58,2.236068,995050.25
13,11,58,50,1.000000,445000.00
13,12,12,175,4.472136,1990100.50
13,13,175,156,2.236068,995050.25
14,1,41,55,3.000000,1335000.00
14,2,55,82,2.000000,890000.00
14,3,82,83,2.000000,890000.00
14,4,82,79,2.236068,995050.25
14,5,79,80,2.000000,890000.00
14,6,80,81,2.236068,995050.25
14,7,83,54,2.828427,1258650.07
14,8,54,88,2.236068,995050.25
14,9,88,53,2.828427,1258650.07
14,10,88,89,5.000000,2225000.00
15,1,161,162,5.099020,2269063.68
15,2,162,154,2.000000,890000.00
15,3,162,163,4.000000,1780000.00
15,4,163,164,3.000000,1335000.00
15,5,163,149,4.000000,1780000.00
15,6,149,155,2.828427,1258650.07
15,7,155,167,3.000000,1335000.00
15,8,149,166,3.162278,1407213.56
16,1,128,130,2.236068,995050.25
16,2,130,129,1.000000,445000.00
16,3,129,100,2.236068,995050.25
16,4,100,99,2.236068,995050.25
16,5,100,101,2.236068,995050.25
16,6,128,2,5.385165,2396398.34
16,7,2,127,1.414214,629325.04
16,8,127,126,2.236068,995050.25
16,9,2,38,5.000000,2225000.00
16,10,38,36,2.236068,995050.25
16,11,36,35,2.828427,1258650.07
17,1,4,73,3.000000,1335000.00
17,2,73,78,2.000000,890000.00
17,3,78,42,3.000000,1335000.00
17,4,42,76,2.828427,1258650.07
17,5,42,74,3.162278,1407213.56
17,6,74,111,2.000000,890000.00
17,7,78,94,8.544004,3802081.67
17,8,94,109,2.236068,995050.25
17,9,109,95,3.162278,1407213.56
