strategy_id,scope,window,emergency_kWh,emergency_cost_yuan,planned_cost_yuan
N_fixed6000,main,00-06,0.0,0.0,3592500.0580885913
N_fixed6000,main,06-10,8209.460815853407,40416.13974739298,680630.1943461874
N_fixed6000,main,10-24,60132.251357680165,384452.97272791323,9030048.803281818
N_fixed6000,diagnostic,19-21,48260.67773838941,328190.1021774192,477322.0096063439
N_fixed6000,diagnostic,23-24,0.0,0.0,790419.677152507
N_free,main,00-06,499.01059217704994,1066.8846460745326,4294099.517693536
N_free,main,06-10,8129.133561180257,40040.06051181902,680630.1943461874
N_free,main,10-24,64467.81857718955,393326.4633569226,8290174.563877113
N_free,diagnostic,19-21,48266.491657245904,328228.13920192246,477322.0096063439
N_free,diagnostic,23-24,1839.3188696883706,3902.5743970098556,507827.84381917363
