date,fixed_total_cost_yuan,free_total_cost_yuan,free_minus_fixed_yuan,fixed_emergency_kWh,free_emergency_kWh,delta_emergency_kWh
2025-02-01,24469.088013217595,22252.00467988426,-2217.0833333333358,0.0,0.0,0.0
2025-02-02,58719.12972126616,58601.55634291614,-117.57337835001817,0.0,0.0,0.0
2025-02-03,57531.37719553483,57406.89572385436,-124.48147168046853,0.0,0.0,0.0
2025-02-04,55121.74658015229,55011.11748276892,-110.62909738337476,0.0,0.0,0.0
2025-02-05,56375.8737931232,56357.5719628058,-18.301830317403073,328.8916053815769,328.8916053815769,0.0
2025-02-06,55907.612856031476,55842.10959158965,-65.50326444182429,25.168905545381335,25.168905545381335,0.0
2025-02-07,22657.147826780638,22640.43120632042,-16.71662046021811,0.0,0.0,0.0
2025-02-08,21093.643401563215,21045.059447583826,-48.58395397938875,0.0,0.0,0.0
2025-02-09,55448.62690805078,55400.8534198608,-47.77348818997416,0.0,0.0,0.0
2025-02-10,55716.25812901037,55627.41590939725,-88.84221961312142,0.0,0.0,0.0
2025-02-11,54724.853665203045,54668.0082071844,-56.84545801864442,0.0,0.0,0.0
2025-02-12,53811.853638237226,53709.1267627166,-102.72687552062416,0.0,0.0,0.0
2025-02-13,53851.65052307079,53798.0179462945,-53.63257677629008,0.0,0.0,0.0
2025-02-14,19760.17265380336,19711.9413034292,-48.231350374160684,0.0,0.0,0.0
2025-02-15,19675.480249238113,19611.580528641658,-63.899720596455154,241.9890395075576,244.0611184490171,2.0720789414594947
2025-02-16,50532.72264035573,50513.50657746455,-19.216062891180627,32.76040374001627,32.76040374001627,0.0
2025-02-17,50553.99693781901,50536.07540423381,-17.92153358519863,0.0,0.0,0.0
2025-02-18,50425.62508713684,50406.48305734466,-19.142029792179528,0.0,0.0,0.0
2025-02-19,49170.026584252126,49270.141290448155,100.11470619602915,57.38278601215791,131.48490757461434,74.10212156245643
2025-02-20,49468.55936903355,49459.32010909872,-9.239259934831352,8.424255809390957,18.864884293585305,10.440628484194349
