month,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events,delta_total_cost_yuan_vs_A
2025-02,1999981.9607179258,606.952843333331,177980.09521719138,577729.5913345679,469000.4450571666,1218196.3429357293,2860.2098116779052,1221056.5527474072,12,9,0.0
2025-03,1885043.195587187,4560.210112580245,248635.1661185103,603019.3753627571,488368.80224816664,1124164.7375535662,27122.438542646127,1151287.1760962124,23,9,0.0
2025-04,1640424.3130604073,1892.6963188333375,318224.2001776152,561096.4811366254,454733.270935,954832.7087056384,10536.793486521365,965369.5021921598,16,4,0.0
2025-05,1643102.8185701028,8960.169486499977,360284.95853227365,546761.6868903291,441794.12233266665,976742.7208876659,57099.32136974452,1033842.0422574104,57,14,0.0
2025-06,2143387.4802517015,19547.397053166645,306731.2522698745,559755.8501104937,453545.39125883335,1335812.2968773458,125147.71676926428,1460960.01364661,100,24,0.0
2025-07,2387922.8985483088,32981.24247388886,368704.52079500485,566364.7623975055,458984.4016869794,1507569.2099986295,196585.98239842392,1704155.1923970534,156,22,0.0
2025-08,2050702.9664406665,2709.3334354999915,360965.1108283951,570696.6967382715,462362.37195716664,1282862.271549012,17693.36368463961,1300555.6352336516,64,37,0.0
2025-09,1850776.1405593394,3890.533000825098,360515.2314600761,558084.3197829217,452316.7449328333,1145839.4959594938,25036.459064974708,1170875.9550244685,29,18,0.0
2025-10,1878731.3049101522,135.25200966666267,289800.4871063786,599611.4913847736,485679.01260466664,1139555.9743029897,753.9627065419,1140309.9370095315,5,5,0.0
2025-11,2070486.272772074,439.4990264999956,165038.99053230454,621701.9884084361,503787.61512549996,1271391.4038490478,2347.04524980172,1273738.4490988497,10,7,0.0
2025-12,2683738.539931658,14537.857207166666,201826.27262242802,697278.7181582303,564865.5298751666,1679442.3197004618,74190.15481279547,1753632.4745132572,73,23,0.0
