date,delta_total,delta_emergency,delta_unused
2025-02-01,565.3333333333321,0.0,90.42206666666425
2025-02-02,34.64227377143834,0.0,123.71154999999453
2025-02-03,48.808283679158194,0.0,174.28266666666605
2025-02-04,70.3508456888303,0.0,127.81323333333512
2025-02-05,50.54215162703622,0.0,72.63968333333469
2025-02-06,26.870275787092396,0.0,76.94823333333443
2025-02-07,28.783259994568652,0.0,51.428583333334245
2025-02-08,17.943568181952287,0.0,50.014483333332464
2025-02-09,17.193641761543404,0.0,15.63340000000062
2025-02-10,2.092439040825411,0.0,8.28150000000096
2025-02-11,-4.265019684877188,0.0,4.2754166666668425
2025-02-12,-2.4733738787836046,0.0,21.124583333334158
2025-02-13,4.813742952843313,0.0,48.37543312757225
2025-02-14,21.084696802907274,0.0,22.21271687242779
2025-02-15,10.390020082100818,0.0,16.838567695474012
2025-02-16,3.6991303156974027,0.0,30.264916666666977
2025-02-17,8.716412648289406,0.0,35.012633333333724
2025-02-18,9.630680115202267,0.0,58.11500000000024
2025-02-19,20.638900348909374,0.0,55.3103833333339
2025-02-20,19.247274050401757,0.0,58.05134999999973
2025-02-21,29.19265015993733,0.0,47.064066666664985
2025-02-22,54.08506058996136,0.0,60.74998333333588
2025-02-23,21.76084555835405,0.0,35.86848333333364
2025-02-24,9.4286959709425,0.0,54.880212139916694
2025-02-25,21.697802580121788,0.0,3.637978807091713e-12
2025-02-26,-4.5744212231657,0.0,64.37316666666607
2025-02-27,23.31255449510354,0.0,59.32394999999997
2025-02-28,67.83481166035199,0.0,30.361695061727914
2025-03-01,79.03672663147881,0.0,52.18792139917605
2025-03-02,9.029049578377453,0.0,16.656299999998737
2025-03-03,2.6988886843973887,0.0,76.82290000000285
2025-03-04,28.59451281526708,0.0,26.51468641975407
2025-03-05,7.691316622454906,0.0,57.9713499999998
2025-03-06,20.544547256424266,0.0,9.633299999999508
2025-03-07,84.58362500992371,0.0,89.23619074073576
2025-03-08,109.31997999423038,0.0,71.13406934156592
2025-03-09,23.812746549621806,0.0,89.82976666666764
2025-03-10,34.174349489017914,0.0,49.291766666666035
2025-03-11,16.848763780762965,0.0,137.40576049382798
2025-03-12,55.034514887178375,0.0,35.101812345683356
2025-03-13,12.02809696838085,0.0,12.626567901235944
2025-03-14,94.65155100408083,0.0,34.67955802468896
2025-03-15,101.24328096916724,0.0,50.12312571810617
2025-03-16,4.947646223183256,0.0,18.532833333334565
2025-03-17,3.581374602705182,0.0,44.6690166666649
2025-03-18,14.175939595188538,0.0,45.72191666666731
2025-03-19,15.328976403216075,0.0,59.23296666666192
2025-03-20,21.14253771148651,0.0,68.47515000000021
2025-03-21,114.29840685863383,0.0,74.51337345679349
2025-03-22,111.61291700606671,0.0,50.483565226337305
2025-03-23,15.126928871693963,0.0,79.97345658436097
2025-03-24,30.376340853326838,0.0,33.31546666666691
2025-03-25,9.798113870616362,0.0,35.44294588477396
