strategy_id,date,slot,nominal_charge_kWh,nominal_discharge_kWh,nominal_unused_kWh,nominal_binary_mode,nominal_state_start_kWh,nominal_state_end_kWh,nominal_planned_cost_yuan
R2_pv_ridge,2025-02-01,0,553.9308074073981,0.0,0.0,0.9999999999999984,8801.462273333342,9300.0,441.9702215683963
R2_pv_ridge,2025-02-01,1,833.3333333333333,0.0,0.0,1.0,9300.0,10050.0,564.6125773669985
R2_pv_ridge,2025-02-01,2,0.0,0.0,0.0,-0.0,10050.0,10050.0,206.34472131153814
R2_pv_ridge,2025-02-01,3,0.0,0.0,0.0,0.0,10050.0,10050.0,221.60576574782147
R2_pv_ridge,2025-02-01,4,0.0,0.0,0.0,0.0,10050.0,10050.0,225.93824368893107
R2_pv_ridge,2025-02-01,5,0.0,0.0,0.0,0.0,10050.0,10050.0,227.01122866046356
R2_pv_ridge,2025-02-01,6,0.0,0.0,0.0,0.0,10050.0,10050.0,225.21191272583022
R2_pv_ridge,2025-02-01,7,0.0,0.0,0.0,0.0,10050.0,10050.0,232.03197905723795
R2_pv_ridge,2025-02-01,8,0.0,0.0,0.0,-0.0,10050.0,10050.0,220.49615683333332
R2_pv_ridge,2025-02-01,9,0.0,0.0,0.0,0.0,10050.0,10050.0,232.14791086666665
R2_pv_ridge,2025-02-01,10,0.0,0.0,0.0,0.0,10050.0,10050.0,234.7259688783333
R2_pv_ridge,2025-02-01,11,0.0,0.0,0.0,0.0,10050.0,10050.0,232.92151681201517
R2_pv_ridge,2025-02-01,12,0.0,0.0,0.0,0.0,10050.0,10050.0,231.40230200999997
R2_pv_ridge,2025-02-01,13,0.0,0.0,0.0,0.0,10050.0,10050.0,242.89201596666663
R2_pv_ridge,2025-02-01,14,0.0,0.0,0.0,0.0,10050.0,10050.0,237.34572216666672
R2_pv_ridge,2025-02-01,15,0.0,0.0,0.0,0.0,10050.0,10050.0,231.92145040000003
R2_pv_ridge,2025-02-01,16,0.0,0.0,0.0,0.0,10050.0,10050.0,238.512140725
R2_pv_ridge,2025-02-01,17,0.0,0.0,0.0,0.0,10050.0,10050.0,247.96631016666666
R2_pv_ridge,2025-02-01,18,0.0,0.0,0.0,0.0,10050.0,10050.0,241.33399928999995
R2_pv_ridge,2025-02-01,19,0.0,0.0,0.0,0.0,10050.0,10050.0,243.053221345
R2_pv_ridge,2025-02-01,20,0.0,0.0,0.0,0.0,10050.0,10050.0,244.21258679201148
R2_pv_ridge,2025-02-01,21,0.0,0.0,0.0,0.0,10050.0,10050.0,243.67230218282046
R2_pv_ridge,2025-02-01,22,0.0,0.0,0.0,0.0,10050.0,10050.0,243.95212246666662
R2_pv_ridge,2025-02-01,23,0.0,0.0,0.0,0.0,10050.0,10050.0,255.248345
R2_pv_ridge,2025-02-01,24,0.0,0.0,0.0,0.0,10050.0,10050.0,246.20275179
R2_pv_ridge,2025-02-01,25,0.0,0.0,0.0,0.0,10050.0,10050.0,246.04809344499995
R2_pv_ridge,2025-02-01,26,0.0,0.0,0.0,0.0,10050.0,10050.0,254.83650733333332
R2_pv_ridge,2025-02-01,27,0.0,0.0,0.0,0.0,10050.0,10050.0,261.09343020999995
R2_pv_ridge,2025-02-01,28,0.0,0.0,0.0,0.0,10050.0,10050.0,261.49177879
R2_pv_ridge,2025-02-01,29,0.0,0.0,0.0,0.0,10050.0,10050.0,258.60472999999996
R2_pv_ridge,2025-02-01,30,0.0,0.0,0.0,0.0,10050.0,10050.0,247.0538758077526
R2_pv_ridge,2025-02-01,31,0.0,0.0,0.0,0.0,10050.0,10050.0,258.2756338096912
R2_pv_ridge,2025-02-01,32,0.0,0.0,0.0,0.0,10050.0,10050.0,262.47438941023245
R2_pv_ridge,2025-02-01,33,833.3333333333333,0.0,0.0,1.0,10050.0,10800.0,546.6577637487932
R2_pv_ridge,2025-02-01,34,0.0,-0.0,0.0,0.0,10800.0,10800.0,358.7436528336907
R2_pv_ridge,2025-02-01,35,0.0,581.2784863349731,0.0,0.0,10800.0,10154.135015183363,0.0
R2_pv_ridge,2025-02-01,36,0.0,575.214793671552,0.0,0.0,10154.135015183363,9515.007466659416,0.0
R2_pv_ridge,2025-02-01,37,0.0,597.6538274551442,0.0,0.0,9515.007466659416,8850.947658375922,0.0
R2_pv_ridge,2025-02-01,38,0.0,575.4593791035818,0.0,0.0,8850.947658375922,8211.548348260832,0.0
R2_pv_ridge,2025-02-01,39,0.0,583.77132202876,0.0,0.0,8211.548348260832,7562.9135460066545,0.0
R2_pv_ridge,2025-02-01,40,0.0,631.3808844746715,0.0,0.0,7562.9135460066545,6861.379229923687,0.0
R2_pv_ridge,2025-02-01,41,0.0,627.9106313406938,0.0,0.0,6861.379229923687,6163.700750656249,0.0
R2_pv_ridge,2025-02-01,42,0.0,566.4249470771118,0.0,0.0,6163.700750656249,5534.339698348346,0.0
R2_pv_ridge,2025-02-01,43,0.0,547.4702091545878,0.0,0.0,5534.339698348346,4926.03946595436,0.0
R2_pv_ridge,2025-02-01,44,0.0,543.516886506485,0.0,0.0,4926.03946595436,4322.131814280488,0.0
R2_pv_ridge,2025-02-01,45,0.0,496.08708516646516,0.0,0.0,4322.131814280488,3770.923941873304,0.0
