day,kind,objective_yuan,mip_gap,seconds,max_violation_kWh,n_intervals,context
2025-01-03,january_plan,59605.98536948673,0.0,0.02554449997842312,7.958078640513122e-13,144,public January 2025-01-03
2025-01-04,january_plan,20671.68138895648,0.0,0.02777539985254407,9.094947017729282e-13,144,public January 2025-01-04
2025-01-05,january_plan,29312.71574765826,0.0,0.033375300001353025,8.526512829121202e-13,144,public January 2025-01-05
2025-01-06,january_plan,73779.85653574244,0.0,0.02484650001861155,9.094947017729282e-13,144,public January 2025-01-06
2025-01-07,january_plan,72495.67848223704,0.0,0.02484490000642836,9.094947017729282e-13,144,public January 2025-01-07
2025-01-08,january_plan,73217.72000947355,0.0,0.023202499840408564,9.094947017729282e-13,144,public January 2025-01-08
2025-01-09,january_plan,71997.00530482126,0.0,0.01592730008997023,9.094947017729282e-13,144,public January 2025-01-09
2025-01-10,january_plan,22237.572614123932,0.0,0.027333199977874756,9.094947017729282e-13,144,public January 2025-01-10
2025-01-11,january_plan,22219.017160228763,0.0,0.029893500031903386,9.094947017729282e-13,144,public January 2025-01-11
2025-01-12,january_plan,72774.23651414017,0.0,0.023897300008684397,7.958078640513122e-13,144,public January 2025-01-12
2025-01-13,january_plan,72045.13965261688,0.0,0.030379300005733967,9.094947017729282e-13,144,public January 2025-01-13
2025-01-14,january_plan,68990.38224680994,0.0,0.026467100018635392,9.094947017729282e-13,144,public January 2025-01-14
2025-01-15,january_plan,70215.13298742381,2.0724756344153383e-16,0.014133800053969026,9.094947017729282e-13,144,public January 2025-01-15
2025-01-16,january_plan,70881.98793057942,0.0,0.02467780001461506,7.958078640513122e-13,144,public January 2025-01-16
2025-01-17,january_plan,21779.011248428335,0.0,0.02591169998049736,9.094947017729282e-13,144,public January 2025-01-17
2025-01-18,january_plan,21260.153984488825,0.0,0.04350159992463887,9.094947017729282e-13,144,public January 2025-01-18
2025-01-19,january_plan,69391.89709036067,0.0,0.038221499882638454,9.094947017729282e-13,144,public January 2025-01-19
2025-01-20,january_plan,70241.40981634469,0.0,0.02294560009613633,9.094947017729282e-13,144,public January 2025-01-20
2025-01-21,january_plan,67843.17824190302,0.0,0.030309800058603287,9.094947017729282e-13,144,public January 2025-01-21
2025-01-22,january_plan,65429.31811255281,0.0,0.029010199941694736,7.958078640513122e-13,144,public January 2025-01-22
2025-01-23,january_plan,70912.82987721477,0.0,0.027062200009822845,7.958078640513122e-13,144,public January 2025-01-23
2025-01-24,january_plan,20915.67264149887,0.0,0.0381398000754416,9.094947017729282e-13,144,public January 2025-01-24
2025-01-25,january_plan,19118.89883592911,0.0,0.03620249987579882,1.8189894035458565e-12,144,public January 2025-01-25
2025-01-26,january_plan,64938.69897026843,0.0,0.0246906999964267,9.094947017729282e-13,144,public January 2025-01-26
2025-01-27,january_plan,67394.47250739514,0.0,0.025634799851104617,7.958078640513122e-13,144,public January 2025-01-27
2025-01-28,january_plan,63941.52020450316,0.0,0.031261400086805224,9.094947017729282e-13,144,public January 2025-01-28
2025-01-29,january_plan,65749.56498901489,0.0,0.028971699997782707,9.094947017729282e-13,144,public January 2025-01-29
2025-01-30,january_plan,61697.561190016044,0.0,0.02343910001218319,7.958078640513122e-13,144,public January 2025-01-30
2025-01-31,january_plan,18088.181221324077,0.0,0.0370624999050051,2.6716406864579767e-12,144,public January 2025-01-31
