month,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events,delta_total_cost_yuan_vs_A
2025-02,1908033.3616351886,13948.220717666652,90593.60271862346,616636.796051232,499128.4884836667,1149570.7079766884,83411.86531624083,1232982.5732929292,139,52,0.0
2025-03,1768021.8008496047,32048.360112370912,156776.51155679012,623221.8397518537,506245.85681333486,1043145.4373867476,201124.7411519148,1244270.1785386624,176,53,0.0
2025-04,1484401.612580027,32192.501576179002,192486.6580280551,565168.9194376365,458791.0623094856,860771.5923681853,206257.10749000008,1067028.6998581854,161,52,0.0
2025-05,1436796.0093434064,49565.372354333325,203716.3559434976,517048.44253459794,421213.8817470223,842822.9871576362,316171.1423167368,1158994.129474373,216,55,0.0
2025-06,1857448.9148464284,94827.2559472739,96275.00202572017,558896.5191478693,452888.5165632204,1124705.7557802917,561388.1619765258,1686093.9177568175,461,74,0.0
2025-07,2056239.9869270106,104389.27763769371,106325.72817278616,570177.9385524837,460693.6616772322,1274714.2671029454,581818.7687718222,1856533.0358747677,534,86,0.0
2025-08,1877496.2072408386,31238.421239999996,212906.64486685206,575907.6902832622,464192.57093594235,1174372.7228223048,207533.08403021106,1381905.8068525158,188,63,0.0
2025-09,1718168.0925382036,34432.777525927966,248393.82526954735,598862.1923565842,483039.014812,1053888.079048129,213686.6702168769,1267574.7492650058,177,56,0.0
2025-10,1747405.5889511337,29398.641728999966,179274.13596193414,646250.2785440328,523853.77485916665,1046869.8776715467,177393.4856334569,1224263.3633050036,189,59,0.0
2025-11,1934550.1266631295,30496.049580987645,53122.435729629615,657953.8342209875,534002.5016898332,1173523.4697626184,184199.38846036987,1357722.8582229882,204,66,0.0
2025-12,2460004.9902331275,66786.67762976133,26256.093862757174,726306.502325268,589807.8645584696,1521051.6163350472,379947.48184623604,1900999.098181283,293,83,0.0
