slot,interval,load_kW,pv_kW,price_yuan_kWh,grid_kWh,charge_bus_kWh,discharge_bus_kWh,unused_kWh,state_start_kWh,state_end_kWh,cost_yuan
0,00:00-00:10,2404.3697,0.0,0.4248,617.0717812757205,216.34349794238713,0.0,0.0,6000.0,6194.709148148148,262.13209268592607
1,00:10-00:20,2406.5763,0.0,0.4245,1234.4293833333331,833.3333333333333,0.0,0.0,6194.709148148148,6944.709148148148,524.0152732249999
2,00:20-00:30,2408.53,0.0,0.4269,401.4216666666667,0.0,0.0,0.0,6944.709148148148,6944.709148148148,171.36690950000002
3,00:30-00:40,2606.2237,0.0,0.4272,434.37061666666665,0.0,0.0,0.0,6944.709148148148,6944.709148148148,185.56312744000002
4,00:40-00:50,2754.444,0.0,0.4271,459.07399999999996,0.0,0.0,0.0,6944.709148148148,6944.709148148148,196.07050539999997
5,00:50-01:00,2673.75,0.0,0.4285,445.625,0.0,0.0,0.0,6944.709148148148,6944.709148148148,190.9503125
6,01:00-01:10,2455.302,0.0,0.4311,409.217,0.0,0.0,0.0,6944.709148148148,6944.709148148148,176.41344869999998
7,01:10-01:20,2521.5309,0.0,0.4302,420.25515,0.0,0.0,0.0,6944.709148148148,6944.709148148148,180.79376553000003
8,01:20-01:30,2714.97,0.0,0.4279,452.49499999999995,0.0,0.0,0.0,6944.709148148148,6944.709148148148,193.62261049999998
9,01:30-01:40,2517.6478,0.0,0.4312,419.6079666666667,0.0,0.0,0.0,6944.709148148148,6944.709148148148,180.9349552266667
10,01:40-01:50,2572.2155,0.0,0.4333,428.7025833333333,0.0,0.0,0.0,6944.709148148148,6944.709148148148,185.7568293583333
11,01:50-02:00,2902.32,0.0,0.4311,483.72,0.0,0.0,0.0,6944.709148148148,6944.709148148148,208.531692
12,02:00-02:10,2866.8569,0.0,0.4293,477.80948333333333,0.0,0.0,0.0,6944.709148148148,6944.709148148148,205.123611195
13,02:10-02:20,2810.9403,0.0,0.4324,468.49005,0.0,0.0,0.0,6944.709148148148,6944.709148148148,202.57509762
14,02:20-02:30,2870.89,0.0,0.4367,478.4816666666666,0.0,0.0,0.0,6944.709148148148,6944.709148148148,208.9529438333333
15,02:30-02:40,2816.0837,0.0,0.4348,469.34728333333334,0.0,0.0,0.0,6944.709148148148,6944.709148148148,204.07219879333334
16,02:40-02:50,2797.8571,0.0,0.4335,466.3095166666667,0.0,0.0,0.0,6944.709148148148,6944.709148148148,202.145175475
17,02:50-03:00,2796.24,0.0,0.4357,466.03999999999996,0.0,0.0,0.0,6944.709148148148,6944.709148148148,203.05362799999997
18,03:00-03:10,2650.1249,0.0,0.4374,441.68748333333326,0.0,0.0,0.0,6944.709148148148,6944.709148148148,193.19410520999998
19,03:10-03:20,2698.7717,0.0,0.4371,449.79528333333326,0.0,0.0,0.0,6944.709148148148,6944.709148148148,196.60551834499995
20,03:20-03:30,2892.59,0.0,0.4356,482.09833333333336,0.0,0.0,0.0,6944.709148148148,6944.709148148148,210.002034
21,03:30-03:40,2848.5039,0.0,0.4353,474.75065,0.0,0.0,0.0,6944.709148148148,6944.709148148148,206.65895794500003
22,03:40-03:50,2894.0586,0.0,0.436,482.34309999999994,0.0,0.0,0.0,6944.709148148148,6944.709148148148,210.30159159999997
23,03:50-04:00,3013.38,0.0,0.4378,502.23,0.0,0.0,0.0,6944.709148148148,6944.709148148148,219.87629400000003
24,04:00-04:10,2870.754,0.0,0.4401,478.45899999999995,0.0,0.0,0.0,6944.709148148148,6944.709148148148,210.56980589999998
25,04:10-04:20,2925.2862,0.0,0.4389,487.54769999999996,0.0,0.0,0.0,6944.709148148148,6944.709148148148,213.98468552999998
26,04:20-04:30,3093.45,0.0,0.4364,515.5749999999999,0.0,0.0,0.0,6944.709148148148,6944.709148148148,224.99692999999996
27,04:30-04:40,2847.3578,0.0015,0.4393,474.55938333333336,0.0,0.0,0.0,6944.709148148148,6944.709148148148,208.47393709833335
28,04:40-04:50,2829.5625,0.0,0.4422,471.59375,0.0,0.0,0.0,6944.709148148148,6944.709148148148,208.53875624999998
29,04:50-05:00,3059.43,0.0,0.4395,509.905,0.0,0.0,0.0,6944.709148148148,6944.709148148148,224.10324749999998
30,05:00-05:10,2923.1631,0.021,0.4333,487.19034999999997,0.0,0.0,0.0,6944.709148148148,6944.709148148148,211.099578655
31,05:10-05:20,2939.9741,0.0,0.4439,489.9956833333333,0.0,0.0,0.0,6944.709148148148,6944.709148148148,217.50908383166666
32,05:20-05:30,3231.66,0.0,0.4301,538.6099999999999,0.0,0.0,0.0,6944.709148148148,6944.709148148148,231.65616099999994
33,05:30-05:40,3334.4986,0.2921,0.3713,1389.0344166666664,833.3333333333333,0.0,0.0,6944.709148148148,7694.709148148148,515.7484789083333
