k,date,weekday,month,publication_hour,kind,j,lead_hours,h_start,h_end,interval_start,interval_end,n_valid_slots,valid,b_kW,y_kW
31,2025-02-01,5,2025-02,6,hour,0,1,36,41,2025-02-01 06:00:00,2025-02-01 07:00:00,6,True,-213.8931240814724,-199.5972066235563
32,2025-02-02,6,2025-02,6,hour,0,1,36,41,2025-02-02 06:00:00,2025-02-02 07:00:00,6,True,-205.66964784606662,-227.48734455604517
33,2025-02-03,0,2025-02,6,hour,0,1,36,41,2025-02-03 06:00:00,2025-02-03 07:00:00,6,True,-212.89701186529678,-97.52132265272878
34,2025-02-04,1,2025-02,6,hour,0,1,36,41,2025-02-04 06:00:00,2025-02-04 07:00:00,6,True,-182.32170479521014,-145.33542231457386
35,2025-02-05,2,2025-02,6,hour,0,1,36,41,2025-02-05 06:00:00,2025-02-05 07:00:00,6,True,-8.798049307300895,-31.827382695554054
36,2025-02-06,3,2025-02,6,hour,0,1,36,41,2025-02-06 06:00:00,2025-02-06 07:00:00,6,True,-99.76111047135555,-33.365444664850656
37,2025-02-07,4,2025-02,6,hour,0,1,36,41,2025-02-07 06:00:00,2025-02-07 07:00:00,6,True,-176.68918419597495,-114.723422653181
38,2025-02-08,5,2025-02,6,hour,0,1,36,41,2025-02-08 06:00:00,2025-02-08 07:00:00,6,True,-7.476693418508678,-170.53446960445004
39,2025-02-09,6,2025-02,6,hour,0,1,36,41,2025-02-09 06:00:00,2025-02-09 07:00:00,6,True,-114.80576163391667,-168.92659993274506
40,2025-02-10,0,2025-02,6,hour,0,1,36,41,2025-02-10 06:00:00,2025-02-10 07:00:00,6,True,-33.524323486757794,-174.7709182770268
41,2025-02-11,1,2025-02,6,hour,0,1,36,41,2025-02-11 06:00:00,2025-02-11 07:00:00,6,True,-170.00464183346472,-57.135204497738265
42,2025-02-12,2,2025-02,6,hour,0,1,36,41,2025-02-12 06:00:00,2025-02-12 07:00:00,6,True,-86.15776670870218,-59.65987531999766
43,2025-02-13,3,2025-02,6,hour,0,1,36,41,2025-02-13 06:00:00,2025-02-13 07:00:00,6,True,3.9573957677505405,-114.61363526184732
44,2025-02-14,4,2025-02,6,hour,0,1,36,41,2025-02-14 06:00:00,2025-02-14 07:00:00,6,True,-92.46458241097223,-78.93100243811789
45,2025-02-15,5,2025-02,6,hour,0,1,36,41,2025-02-15 06:00:00,2025-02-15 07:00:00,6,True,37.19928560962876,118.24088996837297
46,2025-02-16,6,2025-02,6,hour,0,1,36,41,2025-02-16 06:00:00,2025-02-16 07:00:00,6,True,3.470534036419849,77.18401515818566
47,2025-02-17,0,2025-02,6,hour,0,1,36,41,2025-02-17 06:00:00,2025-02-17 07:00:00,6,True,-96.21795014300876,-61.09312003061556
48,2025-02-18,1,2025-02,6,hour,0,1,36,41,2025-02-18 06:00:00,2025-02-18 07:00:00,6,True,-3.026788937624891,-71.26801725562594
49,2025-02-19,2,2025-02,6,hour,0,1,36,41,2025-02-19 06:00:00,2025-02-19 07:00:00,6,True,-49.03673927782605,58.73343679084943
50,2025-02-20,3,2025-02,6,hour,0,1,36,41,2025-02-20 06:00:00,2025-02-20 07:00:00,6,True,-15.573136421408739,-92.26336772511225
51,2025-02-21,4,2025-02,6,hour,0,1,36,41,2025-02-21 06:00:00,2025-02-21 07:00:00,6,True,54.68064428144021,-104.88747443241505
52,2025-02-22,5,2025-02,6,hour,0,1,36,41,2025-02-22 06:00:00,2025-02-22 07:00:00,6,True,-33.39041192093456,12.561964006791337
53,2025-02-23,6,2025-02,6,hour,0,1,36,41,2025-02-23 06:00:00,2025-02-23 07:00:00,6,True,54.390720954238155,-10.341396448562591
54,2025-02-24,0,2025-02,6,hour,0,1,36,41,2025-02-24 06:00:00,2025-02-24 07:00:00,6,True,-71.26980445171232,54.7009148660959
