predictor,hour,n,mae_kW,bias_kW
P0,0,2004,0.0,0.0
P0,1,2004,0.0,0.0
P0,2,2004,0.0,0.0
P0,3,2004,0.0008103293413173654,0.0008103293413173654
P0,4,2004,3.1012998325607337,-2.944579638105077
P0,5,2004,22.795024000193507,-6.404629562074313
P0,6,2004,85.78826691559063,-12.544309359863538
P0,7,2004,183.19156346607608,-9.726818186757859
P0,8,2004,283.23005967928736,-11.36916665272349
P0,9,2004,379.40246739912607,-8.202352898033293
P0,10,2004,448.85126901894824,14.755873495881607
P0,11,2004,486.69100627571106,23.95083990661357
P0,12,2004,493.6219920712264,16.885123647718018
P0,13,2004,415.747081803601,-1.863744455296911
P0,14,2004,349.9236541006212,-13.92458798074405
P0,15,2004,261.6423628613914,-14.44949457702522
P0,16,2004,158.38689780213298,-14.024178678946505
P0,17,2004,67.49457929493033,-11.509106567558465
P0,18,2004,14.840361351903445,-5.429036967006137
P0,19,2004,2.406161293993948,-2.281505268037643
P0,20,2004,0.0008088822355289421,0.0008088822355289421
P0,21,2004,0.0,0.0
P0,22,2004,0.0,0.0
P0,23,2004,0.0,0.0
P1,0,2004,0.0,0.0
P1,1,2004,0.0,0.0
P1,2,2004,0.0,0.0
P1,3,2004,0.0008103293413173654,0.0008103293413173654
P1,4,2004,3.3126344826518155,-3.1031797780590855
P1,5,2004,24.273147707406324,-4.466887570161686
P1,6,2004,87.69455912555557,-8.443096015067644
P1,7,2004,181.82691256290863,-4.735105454850639
P1,8,2004,283.8445527625806,-3.1447070415419147
P1,9,2004,380.3979184305568,3.283211807170178
P1,10,2004,446.10874880338275,24.829548683510772
P1,11,2004,483.4311619594099,37.11566092729903
P1,12,2004,491.07036241438965,31.21920117469597
P1,13,2004,412.5486306299937,6.494318397875976
P1,14,2004,347.9355352823725,-3.7565265496552636
P1,15,2004,258.4937631792142,-6.7615869039712475
P1,16,2004,157.60391802731766,-7.761966691901299
P1,17,2004,67.27605349113685,-7.152003681245593
P1,18,2004,15.446934368733846,-3.948761639295096
P1,19,2004,2.5715797075818525,-2.4171638541549925
P1,20,2004,0.0008088822355289421,0.0008088822355289421
P1,21,2004,0.0,0.0
P1,22,2004,0.0,0.0
P1,23,2004,0.0,0.0
