comparison,month,delta_total_cost_yuan,delta_planned_cost_yuan,delta_emergency_cost_yuan,delta_emergency_kWh,delta_planned_kWh
P1_q80 minus P0_q80 (pre-registered main comparison),2025-02,-465.7353824735619,-648.2614460499026,182.5260635762097,-2.9896807684317537,-829.420227332972
P1_q80 minus P0_q80 (pre-registered main comparison),2025-03,-2170.7834324862342,2107.2618937902153,-4278.045326276399,-567.6824739858257,2141.455075883772
P1_q80 minus P0_q80 (pre-registered main comparison),2025-04,2000.178620880586,5531.04523874179,-3530.86661786116,-515.9866638212798,9032.788160004653
P1_q80 minus P0_q80 (pre-registered main comparison),2025-05,-2415.5285624236567,-1819.1067494408926,-596.4218129826259,-101.8815484782508,-2885.3127961554565
P1_q80 minus P0_q80 (pre-registered main comparison),2025-06,772.0255133172031,2775.37129251007,-2003.345779192532,-272.85845256846005,2854.145489377901
P1_q80 minus P0_q80 (pre-registered main comparison),2025-07,-92.03946489235386,-4327.693546699593,4235.654081807341,707.8584462121999,-6088.4896715790965
P1_q80 minus P0_q80 (pre-registered main comparison),2025-08,-9621.932890739059,-139.77415149635635,-9482.158739242896,-1396.470929045944,-1475.0478027483914
P1_q80 minus P0_q80 (pre-registered main comparison),2025-09,347.6151833855547,-1616.3352882110048,1963.9504715964358,288.2283171130075,-1877.8620446475688
P1_q80 minus P0_q80 (pre-registered main comparison),2025-10,-1386.3542751215864,-158.74480891320854,-1227.609466208387,-280.3543428871226,-240.37462484603748
P1_q80 minus P0_q80 (pre-registered main comparison),2025-11,-1432.7077660679352,-1437.9883526549675,5.280586587138714,0.7569648204040504,-1998.999510558555
P1_q80 minus P0_q80 (pre-registered main comparison),2025-12,252.34158040955663,-542.3631185446866,794.7046989542869,128.60234022318764,-972.4005955113098
P1_q75 minus P0_q75 (pre-registered paired robustness comparison),2025-02,1675.5191257360857,-1255.5179116297513,2931.037037365848,482.4311240092861,-1582.2324483876582
P1_q75 minus P0_q75 (pre-registered paired robustness comparison),2025-03,-1424.1285385717638,2579.7912570375483,-4003.9197956092466,-550.1088043313139,3070.455460647121
P1_q75 minus P0_q75 (pre-registered paired robustness comparison),2025-04,347.26388392364606,5158.6861226827605,-4811.422238759042,-708.3480489375179,8997.053145585582
P1_q75 minus P0_q75 (pre-registered paired robustness comparison),2025-05,755.4715347207384,-1091.310672624968,1846.7822073456264,249.69747085436666,-1611.0792942584958
P1_q75 minus P0_q75 (pre-registered paired robustness comparison),2025-06,-2528.728757318342,3491.4434836281,-6020.172240946442,-880.8108248835524,3616.408345740987
P1_q75 minus P0_q75 (pre-registered paired robustness comparison),2025-07,252.95162781164981,-4408.891356304288,4661.842984115894,799.7976927961554,-6502.940451724455
P1_q75 minus P0_q75 (pre-registered paired robustness comparison),2025-08,-14187.61103278934,526.7115610346664,-14714.322593824094,-2221.541487773815,126.88068070006557
P1_q75 minus P0_q75 (pre-registered paired robustness comparison),2025-09,1141.1657541473396,-1458.944710146403,2600.1104642937426,371.5978279794781,-1953.9821947610471
P1_q75 minus P0_q75 (pre-registered paired robustness comparison),2025-10,-1002.9549810329918,-122.33859894704074,-880.6163820858055,-221.49790312009827,98.85840941104107
P1_q75 minus P0_q75 (pre-registered paired robustness comparison),2025-11,230.26390410144813,-1901.734017085284,2131.997921186732,377.20590559520235,-2616.724422625499
P1_q75 minus P0_q75 (pre-registered paired robustness comparison),2025-12,-118.86328342254274,-508.82201087102294,389.9587274486548,59.180741186874,-705.3365148734301
