month,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,loss_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events
2025-02,1991197.8987320003,317.92793681012205,169873.0197737377,577764.9368696213,470001.8020412151,109998.91613598606,1212452.8024639345,1518.376477154688,1213971.1789410892,15,10
2025-03,1856033.3771748228,6717.877474070867,222647.76232649732,599200.1885224569,485414.36266672716,113854.94803743763,1105081.3801023222,42501.12217330327,1147582.5022756252,37,15
2025-04,1586403.1260684521,4955.210674128306,268405.0120878192,554746.172504046,449522.4468492847,105421.55578921404,922690.7101990144,31356.037010895365,954046.7472099097,19,5
2025-05,1611701.6835197266,7361.824056976663,328735.29497423564,539897.3641494147,436379.6165136137,102476.36047200969,959228.6478369966,46927.780657554955,1006156.4284945516,46,13
2025-06,2133067.371049526,19984.776498576866,299682.6141953852,545724.9738851398,442348.60671575496,103722.34257915344,1329052.3069177435,128470.61841830118,1457522.9253360447,93,29
2025-07,2323625.5671495255,10364.942839327563,276951.73716723954,592261.181654936,480041.66834998905,112564.08131549241,1459682.584530809,64059.77143314839,1523742.3559639573,97,30
2025-08,2011751.4824985093,4858.867396712625,325119.38656034874,563312.8614340535,455934.7623658467,106990.70418405501,1259224.7386031486,32488.439565337496,1291713.178168486,68,35
2025-09,1799113.9574294956,8690.759866178289,313693.1218073255,556136.3618307256,450408.63359237695,105659.03991555891,1111468.5921336806,56951.18553248809,1168419.7776661688,34,16
2025-10,1861689.9437938165,3455.891397291962,277502.60189387243,592490.4582069606,479980.8159430579,112580.24759214696,1129735.0256105806,20583.84927566891,1150318.8748862494,28,10
2025-11,2069447.084101786,226.41907561891122,164794.02678463276,618131.2787773509,501224.2103679121,117504.70680750313,1272171.947043582,1094.9585014503925,1273266.9055450324,9,7
2025-12,2671544.2085979884,11029.790428833534,184882.92245241266,703644.431527818,569990.2911867417,133696.69772908645,1669916.136893032,55212.71842759654,1725128.8553206285,55,19
