month,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kWh,unused_kWh
2025-02,1217019.5623993194,2860.2098116779052,1219879.7722109973,606.952843333331,176486.7172589609
2025-03,1122872.5592764446,27122.438542646127,1149994.9978190907,4560.210112580245,246973.17489340948
2025-04,953500.3740413097,10536.793486521365,964037.167527831,1892.6963188333375,316444.61415251234
2025-05,975052.1913971886,57099.32136974452,1032151.5127669331,8960.169486499977,357919.37214379426
2025-06,1333225.278060397,125014.62096235961,1458239.8990227564,19520.560515833313,301714.26042645884
2025-07,1505078.7031219816,196350.6837697739,1701429.3868917553,32939.33069055553,364109.84569969965
2025-08,1281205.7775071606,17693.36368463959,1298899.1411918001,2709.3334354999884,358799.9440538704
2025-09,1143392.614697733,25036.459064974722,1168429.0737627076,3890.533000825101,356536.9181308642
2025-10,1138070.8614979805,753.9627065419,1138824.8242045224,135.25200966666267,287573.7864786008
2025-11,1270736.050213787,2347.04524980172,1273083.0954635886,439.4990264999956,163628.33940679018
2025-12,1678660.4763651802,74731.13991258341,1753391.6162777636,14639.119436833336,199835.88112325108
