strategy_id,group,date,delta_total_cost_yuan,delta_emergency_cost_yuan,delta_unused_kWh,total_cost_yuan
T_q80_4800,worst_5,2025-12-05,221.2352594368349,210.9631445999985,34.22833333333341,29954.602320748883
T_q80_4800,worst_5,2025-06-05,22.553189362195553,0.0,15.458247530861627,56034.54125437349
T_q80_4800,worst_5,2025-06-02,20.515097210824024,0.0,11.605364197528615,64349.60872947973
T_q80_4800,worst_5,2025-07-07,18.175423086591763,0.0,-26.812250411522655,58130.57869548944
T_q80_4800,worst_5,2025-06-03,14.62163378974219,6.366462912410498e-12,15.158907613174051,53627.59223395887
T_q80_4800,best_5,2025-02-01,-564.7499999999927,0.0,-60.76499999999942,23623.597572109877
T_q80_4800,best_5,2025-09-05,-217.208380118871,0.0,-355.34017283950016,24281.262470215428
T_q80_4800,best_5,2025-09-06,-212.7644672617971,0.0,-363.35241728393885,23700.835126990736
T_q80_4800,best_5,2025-07-26,-189.61412196016317,0.0,-266.1606022633732,29170.02996572797
T_q80_4800,best_5,2025-08-01,-184.38846035052484,0.0,-120.94073750206007,26736.396489502436
T_q80_7200,worst_5,2025-02-01,565.3333333333321,0.0,90.42206666666425,24753.6809054432
T_q80_7200,worst_5,2025-09-07,401.1811748867549,0.0,274.5056833333347,47156.06696408507
T_q80_7200,worst_5,2025-09-02,259.38205838573776,0.0,262.18601666666655,47680.45335164975
T_q80_7200,worst_5,2025-09-06,225.4474270324681,0.0,919.1496691358043,24139.047021285
T_q80_7200,worst_5,2025-06-20,191.701057862967,0.0,192.03366748971894,23247.95813487723
T_q80_7200,best_5,2025-12-05,-450.8046878457899,-451.3758888510001,-102.72913333333338,29282.56237346626
T_q80_7200,best_5,2025-12-04,-189.80668716183573,-200.27112742449935,-39.653233333333446,73762.07024957461
T_q80_7200,best_5,2025-06-03,-19.63497912807361,0.0,-35.903353909464386,53593.33562104106
T_q80_7200,best_5,2025-06-04,-17.830905788250675,0.0,-19.618086419747215,55915.44628790828
T_q80_7200,best_5,2025-06-02,-15.86296582553041,0.0,-21.149423868315353,64313.23066644338
