group,date,update_hour,published_at,remaining_intervals,state_at_update_kWh,old_ordinary_yuan,old_adjustment_yuan,old_predicted_emergency_yuan,old_predicted_total_yuan,new_ordinary_yuan,new_adjustment_yuan,new_predicted_emergency_yuan,new_predicted_total_yuan,delta_predicted_yuan,accepted,revision_kWh
B2,2025-02-01,6,2025-02-01 06:00,109,10800.0,13644.507140500216,0.0,0.0,13644.507140500216,10782.38838230536,1431.0593790974278,0.0,12213.447761402787,-1431.059379097429,True,5064.559277144103
B2,2025-02-01,12,2025-02-01 12:00,73,7299.7686883333345,10782.388382305358,1358.974901422282,1686.5789476245711,13827.942231352212,11005.58168589632,1247.3782496268007,0.0,12252.959935523122,-1574.9822958290897,True,281.0431771936469
B2,2025-02-01,18,2025-02-01 18:00,37,10800.0,5499.960932494915,0.0,0.0,5499.960932494915,5499.960932494917,1.094574031412776e-12,0.0,5499.960932494918,2.7284841053187847e-12,False,1.7905676941154525e-12
B2,2025-02-02,6,2025-02-02 06:00,109,10800.0,45334.56351330837,0.0,165.92235688537465,45500.48587019375,42566.950386024015,1416.9910350192513,0.0,43983.941421043266,-1516.5444491504823,True,4103.799691775516
B2,2025-02-02,12,2025-02-02 12:00,73,7054.5416870303025,31519.52574315314,925.0360399877598,990.6148927475718,33435.17667588847,30524.255203611003,1443.5202987694115,0.0,31967.775502380413,-1467.4011735080567,True,1981.1114745041682
B2,2025-02-02,18,2025-02-02 18:00,37,10800.0,13577.558975011996,0.0,0.0,13577.558975011996,13577.558975011994,2.6756026727525757e-12,3.950799509766511e-12,13577.558975012002,5.4569682106375694e-12,False,7.617018127348274e-12
B2,2025-02-03,6,2025-02-03 06:00,109,10800.0,46281.744145195196,0.0,16.266312291353234,46298.01045748655,42196.838508590015,2044.6692277853624,0.0,44241.50773637538,-2056.5027211111665,True,5651.240591444161
B2,2025-02-03,12,2025-02-03 12:00,73,6453.963972126618,31790.3439143665,1228.712753369418,471.6038330137047,33490.66050074962,30709.928201052357,1766.704200543717,0.0,32476.632401596074,-1014.0280991535437,True,1699.6034612444737
B2,2025-02-03,18,2025-02-03 18:00,37,10800.0,13423.677320762246,0.0,0.0,13423.677320762246,13423.677320762246,9.303562364948448e-13,0.0,13423.677320762248,1.8189894035458565e-12,False,3.183231456205249e-12
B2,2025-02-04,6,2025-02-04 06:00,109,10800.0,46444.153678261246,0.0,756.1668715296971,47200.320549790944,42948.02649546254,1893.6346644924283,8.723873179405928e-12,44841.66115995497,-2358.6593898359715,True,5058.0943510356665
B2,2025-02-04,12,2025-02-04 12:00,73,6990.6762931832745,31058.659044571377,1772.8942338383913,132.57194291542507,32964.125221325194,29728.458957097697,2437.9942775752306,8.723873179405928e-12,32166.453234672936,-797.671986652258,True,1965.8871498168305
B2,2025-02-04,18,2025-02-04 18:00,37,10800.0,12692.873518543127,0.0,8.723873179405928e-12,12692.873518543136,12692.873518543127,2.202344262514089e-12,1.1475549399619922e-11,12692.873518543141,5.4569682106375694e-12,False,7.219114195322618e-12
B2,2025-02-05,6,2025-02-05 06:00,109,10800.0,42318.82343489172,0.0,2256.0179631563933,44574.84139804811,42371.42357776036,402.63164054918406,0.0,42774.05521830954,-1800.7861797385704,True,995.1356019625279
B2,2025-02-05,12,2025-02-05 12:00,73,6248.479159831566,31000.471864512314,188.16578455743172,15.042735251236394,31203.680384320982,29574.140873078828,901.331280274174,0.0,30475.472153353003,-728.208230967979,True,1829.8014075002275
B2,2025-02-05,18,2025-02-05 18:00,37,10777.635701252006,12778.22353281102,0.0,140.41201325940582,12918.635546070425,12804.150240706582,12.963353947781156,0.0,12817.113594654364,-101.52195141606171,True,20.12786887319487
B2,2025-02-06,6,2025-02-06 06:00,109,10800.0,46310.758014757674,0.0,0.0,46310.758014757674,41900.00329309893,2205.3773608293745,6.3948846218409025e-12,44105.38065392831,-2205.377360829363,True,5992.112752410416
B2,2025-02-06,12,2025-02-06 12:00,73,6706.287185916864,31065.419889607114,1836.0633286497953,6.394884621840902e-12,32901.483218256915,29065.331032605773,2836.107757150463,0.0,31901.438789756234,-1000.0444285006815,True,2809.6681336741713
B2,2025-02-06,18,2025-02-06 18:00,37,10761.803885655392,12700.52500713709,0.0,239.81048430117752,12940.335491438267,12744.80538053565,22.140186699280246,0.0,12766.94556723493,-173.3899242033367,True,34.37650291014711
B2,2025-02-07,6,2025-02-07 06:00,109,10800.0,12289.298776094936,0.0,18.687951050250103,12307.986727145186,10848.580396781665,723.2518020047042,3.1273543754650743e-12,11571.832198786373,-736.154528358813,True,2684.6497716988342
B2,2025-02-07,12,2025-02-07 12:00,73,6973.029725370374,10848.580396781666,497.0229456103199,0.0,11345.603342391987,9582.090073409736,1127.375494948216,3.1273543754650743e-12,10709.465568357955,-636.1377740340322,True,2383.145054219095
B2,2025-02-07,18,2025-02-07 18:00,37,10572.389435436131,5000.490853121003,0.0,0.0,5000.490853121003,4966.857665390481,16.816593865260533,0.0,4983.674259255742,-16.816593865260984,True,34.072725894560904
B2,2025-02-08,6,2025-02-08 06:00,109,9075.742795677337,8974.125790732165,0.0,3261.9616677818312,12236.087458513997,9408.862011718053,217.36811049294403,0.0,9626.230122210996,-2609.857336303001,True,528.8883983669916
B2,2025-02-08,12,2025-02-08 12:00,73,7284.76475789956,9408.862011718053,217.36811049294403,0.0,9626.230122210996,9279.843152403317,152.85868083557645,0.0,9432.701833238893,-193.52828897210384,True,154.5986284186713
B2,2025-02-08,18,2025-02-08 18:00,37,10549.186012959219,5010.89824523049,0.0,100.23892973843661,5111.137174968927,5030.946031178179,10.023892973844182,0.0,5040.969924152023,-70.16725081690402,True,16.39766558783606
B2,2025-02-09,6,2025-02-09 06:00,109,10800.0,44189.037529448484,0.0,211.69352258678313,44400.73105203527,42560.57635417854,840.6303468390414,0.0,43401.20670101758,-999.5243510176879,True,1999.9071208890746
B2,2025-02-09,12,2025-02-09 12:00,73,7368.420251971915,30877.08876731873,13.224901315135284,66.02273084752957,30956.336399481395,29751.124351292,572.7523401720034,0.0,30323.876691464004,-632.4597080173917,True,1854.8530313736096
B2,2025-02-09,18,2025-02-09 18:00,37,10800.0,12999.922471214577,0.0,0.0,12999.922471214577,12999.922471214577,1.9344440715940438e-12,0.0,12999.922471214579,1.8189894035458565e-12,False,7.617018127348274e-12
B2,2025-02-10,6,2025-02-10 06:00,109,10800.0,41170.035993366495,0.0,1.8532726946422382,41171.88926606114,35103.791765378824,3033.492768532762,0.0,38137.28453391159,-3034.60473214955,True,8737.384377266539
B2,2025-02-10,12,2025-02-10 12:00,73,6555.160151459976,27076.741303764527,1942.8186810995371,12350.620334682002,41370.18031954607,28547.110515577377,1230.8544938931775,0.0,29777.965009470554,-11592.215310075513,True,2434.1727606652494
B2,2025-02-10,18,2025-02-10 18:00,37,10800.0,13088.888953664313,0.0,0.0,13088.888953664313,13088.888953664315,1.2182766795376665e-12,2.216131633758778e-12,13088.888953664318,5.4569682106375694e-12,False,4.604316927725449e-12
B2,2025-02-11,6,2025-02-11 06:00,109,10800.0,41872.21202793818,0.0,1.760520874610608,41873.97254881279,37599.103045274234,2136.906595506897,7.930793799459934e-13,39736.00964078113,-2137.962908031659,True,5725.435869421232
B2,2025-02-11,12,2025-02-11 12:00,73,6507.652819499777,28594.973811513933,1964.7189877785436,7.930793799459934e-13,30559.69279929248,27871.37014937509,2326.520818847966,7.930793799459934e-13,30197.890968223055,-361.8018310694242,True,1162.7839256525112
B2,2025-02-11,18,2025-02-11 18:00,37,10800.0,13051.333772986025,0.17605208746098147,7.930793799459934e-13,13051.509825073486,13051.333772986027,0.17605208746109077,1.0847543308045714e-12,13051.509825073488,1.8189894035458565e-12,False,6.821210263296962e-13
B2,2025-02-12,6,2025-02-12 06:00,109,10800.0,41158.427605033925,0.0,0.0,41158.427605033925,36458.3107354377,2350.058434798113,2.0688730728579686e-12,38808.36917023581,-2350.058434798113,True,6597.000919067372
B2,2025-02-12,12,2025-02-12 12:00,73,6396.375091220859,28082.840335669727,1355.726716400801,491.925238908502,29930.49229097903,27991.979816922307,1401.1569757745115,0.0,29393.13679269682,-537.3554982822097,True,416.73713818589545
B2,2025-02-12,18,2025-02-12 18:00,37,10800.0,12882.120643221735,0.0,0.0,12882.120643221735,12882.120643221733,1.8608091068017526e-12,0.0,12882.120643221735,0.0,False,5.6843418860808015e-12
B2,2025-02-13,6,2025-02-13 06:00,109,10798.401718592162,37280.99009291659,0.0,67.38398518891154,37348.3740781055,34145.128760641186,1576.1687755914004,0.0,35721.29753623259,-1627.0765418729134,True,4595.305071567558
B2,2025-02-13,12,2025-02-13 12:00,73,6400.6284497535835,27107.183173868103,509.8490437524105,4958.3569127780565,32575.38913039857,27667.45041286924,454.8693049467867,0.0,28122.319717816026,-4453.069412582543,True,847.45453740242
B2,2025-02-13,18,2025-02-13 18:00,37,10800.0,12979.654074325588,0.0,0.0,12979.654074325588,12979.65407432559,1.3855299130227652e-12,4.7850789997028174e-14,12979.654074325592,3.637978807091713e-12,False,4.547473508864641e-12
B2,2025-02-14,6,2025-02-14 06:00,109,10089.579190490886,9011.213811679874,0.0,3822.1270294359288,12833.340841115803,9375.385936192439,320.81493305774404,2.0849029169767162e-12,9696.200869250184,-3137.1399718656194,True,945.1413840756388
B2,2025-02-14,12,2025-02-14 12:00,73,7869.720945490885,9375.385936192439,320.81493305774404,213.60800958706977,9909.808878837253,9358.02526346359,312.13459669332025,2.0849029169767162e-12,9670.159860156913,-239.6490186803403,True,107.96470737698377
